market,band,side,h,arm,n,sess,net,med,win,t,t_deov,lift,rand_mean,rand_pct
index,slight_ITM,CE,3,unselected,300,145,0.05392195869743701,-0.04075734070764907,0.48333333333333334,1.3938662470573018,0.8055815008278181,0.0,,
index,slight_ITM,CE,3,rv_bottom_quintile,267,129,-0.004437316822590301,-0.09618235451863776,0.45692883895131087,-0.1261753380068434,-0.07770170827013408,-0.05835927552002731,-0.00020230977831512206,0.03
index,slight_ITM,PE,3,unselected,286,138,-0.05153052758863838,-0.3119689817317053,0.2902097902097902,-1.0835494346253591,-0.6138488593777983,0.0,,
index,slight_ITM,PE,3,rv_bottom_quintile,254,118,-0.03683691315368517,-0.3065840141276238,0.28346456692913385,-0.7526431522952658,-0.4258326238137269,0.014693614434953213,-0.038564371177696205,0.86
stock,deep_ITM,CE,3,unselected,7543,159,-0.13331119435588937,-0.17419642857142853,0.3310353970568739,-7.05667330042367,-4.065034817714103,0.0,,
stock,deep_ITM,CE,3,RS_decile,1267,152,-0.09669658861136449,-0.14666666666666667,0.3472770323599053,-4.818139556289685,-2.791567743052031,0.03661460574452488,-0.13271289773399142,1.0
stock,deep_ITM,CE,3,RS_quintile,2542,152,-0.10837834392729527,-0.15822041792692604,0.33477576711250984,-5.850598288303186,-3.3573002103675105,0.024932850428594097,-0.13253509383287693,1.0
stock,deep_ITM,CE,3,alpha_decile,905,98,-0.127560403557009,-0.1771428571428571,0.34033149171270716,-4.950727885199872,-2.8461521052666616,0.005750790798880356,-0.16086529513984388,1.0
stock,deep_ITM,CE,3,moverich_quintile,1472,156,-0.1084526653829328,-0.09570939739744132,0.4001358695652174,-4.396544774925379,-2.531885480488001,0.024858528972956567,-0.137732496083739,0.98
stock,deep_ITM,CE,3,moverich_decile,593,129,-0.12788002556205333,-0.23384615384615376,0.28836424957841483,-4.426291813771485,-2.586842936495419,0.005431168793836039,-0.15027104070843453,0.8766666666666667
stock,deep_ITM,CE,3,rv_quintile,1598,153,-0.13344905120442524,-0.18822729714211622,0.304755944931164,-5.561156275561428,-3.250041443992643,-0.0001378568485358722,-0.13899850650277135,0.7033333333333334
stock,deep_ITM,CE,3,RS_and_moverich,526,142,-0.13190636810324646,-0.12781573217201958,0.34220532319391633,-4.937290832909542,-2.828339172896337,0.0014048262526429045,-0.1302114640433914,0.46
stock,deep_ITM,CE,3,RS_decile_WRONGWAY,173,78,-0.1309330156069451,-0.16779342723004692,0.3352601156069364,-2.5262363052706593,-1.4830219339331505,0.0023781787489442763,-0.09748227129633293,0.15
stock,deep_ITM,CE,3,rv_bottom_quintile,885,147,-0.1169771093680557,-0.1514285714285713,0.3525423728813559,-4.622639428203628,-2.7709465192177736,0.01633408498783366,-0.14774094393953702,0.9866666666666667
stock,deep_ITM,CE,5,unselected,3529,85,-0.13409109206523323,-0.2237758383096003,0.34344006800793425,-4.317807831757073,-1.976388293535766,0.0,,
stock,deep_ITM,CE,5,RS_decile,618,81,-0.09558226341343679,-0.1747460550630059,0.3592233009708738,-2.991865195236727,-1.5879764355038073,0.038508828651796445,-0.11106826218860538,0.79
stock,deep_ITM,CE,5,RS_quintile,1229,82,-0.09592563317677842,-0.17113924050632917,0.36859235150528885,-3.076166525632222,-1.474221111323661,0.03816545888845481,-0.12028314605471853,0.9833333333333333
stock,deep_ITM,CE,5,alpha_decile,426,52,-0.16400691361753947,-0.23303104168739425,0.323943661971831,-4.717218749687521,,-0.029915821552306238,-0.17675585257340828,0.6933333333333334
stock,deep_ITM,CE,5,moverich_quintile,707,84,-0.0768529043691931,-0.081814882032668,0.42998585572843,-1.8667252375569343,-0.8366842702562067,0.057238187696040124,-0.13284949043153274,0.9666666666666667
stock,deep_ITM,CE,5,moverich_decile,291,67,-0.15543810661947488,-0.32393155590927186,0.24054982817869416,-3.4939773660581976,-1.5348515594418104,-0.02134701455424165,-0.162273327913526,0.6
stock,deep_ITM,CE,5,rv_quintile,789,83,-0.12691671975862576,-0.2491176470588235,0.3244613434727503,-3.4583103631276138,-1.8422998366338885,0.007174372306607474,-0.12726471537004386,0.5
stock,deep_ITM,CE,5,RS_and_moverich,262,72,-0.06983874651071237,-0.1414826480679453,0.37786259541984735,-1.4579981559118187,-0.7133849712570746,0.06425234555452086,-0.08216938194312595,0.6266666666666667
stock,deep_ITM,CE,5,RS_decile_WRONGWAY,103,48,-0.0528057802732517,-0.1287804878048781,0.4077669902912621,-0.6268154173325042,,0.08128531179198153,-0.05893135289682455,0.55
stock,deep_ITM,CE,5,rv_bottom_quintile,352,79,-0.0810569862827479,-0.1751393856715855,0.39204545454545453,-1.8037930973189322,-0.7952150463194902,0.053034105782485325,-0.12700292714535386,0.9033333333333333
stock,deep_ITM,CE,10,unselected,281,10,-0.13785749852243465,-0.2810027347310848,0.37722419928825623,-1.124373778131171,,0.0,,
stock,deep_ITM,CE,10,RS_quintile,115,9,-0.11784906528704904,-0.2747069943289225,0.3826086956521739,-0.9900575663111059,,0.020008433235385606,,
stock,deep_ITM,PE,3,unselected,6159,159,-0.18341965811897717,-0.2640490797546012,0.2690371813606105,-8.034735565359275,-4.656851110618424,0.0,,
stock,deep_ITM,PE,3,RS_decile,1174,152,-0.16615834372737337,-0.19904044041696672,0.30664395229982966,-6.849323337637743,-3.944925220871165,0.017261314391603805,-0.17123354307819424,0.6533333333333333
stock,deep_ITM,PE,3,RS_quintile,2313,153,-0.17128750423354136,-0.19400651465798052,0.3099870298313878,-7.1658638392152625,-4.20523957775419,0.012132153885435815,-0.17330982107060494,0.59
stock,deep_ITM,PE,3,alpha_decile,803,97,-0.15068958830482249,-0.19400651465798052,0.32503113325031135,-4.799704317695299,-2.746100246877928,0.03273006981415469,-0.18752707583977826,0.9966666666666667
stock,deep_ITM,PE,3,moverich_quintile,1116,141,-0.15491901397349458,-0.21962822207534705,0.3100358422939068,-5.336009326529494,-3.059452296429899,0.02850064414548259,-0.17473117954139664,0.93
stock,deep_ITM,PE,3,moverich_decile,683,108,-0.11749721877897847,-0.1923595505617977,0.31332357247437775,-3.5048736076612736,-2.092523824019991,0.06592243933999871,-0.16012413424829117,0.98
