market,band,side,h,arm,sess,lift,t,t_deov
index,deep_ITM,CE,3,RS_RIGHT_minus_WRONG,0,,,
index,deep_ITM,CE,3,rv_bottom_quintile,59,-0.005329082695019126,-1.1026070565760233,-0.6941146446480267
index,deep_ITM,CE,5,RS_RIGHT_minus_WRONG,0,,,
index,deep_ITM,PE,3,RS_RIGHT_minus_WRONG,0,,,
index,deep_ITM,PE,3,rv_bottom_quintile,66,0.0016328520503269828,1.7422293295038391,1.2134982513657198
index,deep_ITM,PE,5,RS_RIGHT_minus_WRONG,0,,,
index,deep_ITM,PE,5,rv_bottom_quintile,38,0.002429600707614011,1.4051881622580917,
index,slight_ITM,CE,3,RS_RIGHT_minus_WRONG,0,,,
index,slight_ITM,CE,3,rv_bottom_quintile,129,-0.004259894632821007,-1.705832425038332,-0.8942258599557827
index,slight_ITM,CE,5,RS_RIGHT_minus_WRONG,0,,,
index,slight_ITM,CE,5,rv_bottom_quintile,73,-0.01135551776127638,-1.7293114860102172,-0.8849502141683194
index,slight_ITM,PE,3,RS_RIGHT_minus_WRONG,0,,,
index,slight_ITM,PE,3,rv_bottom_quintile,118,0.0016200635897853897,0.9058162604393634,0.6713204779447525
index,slight_ITM,PE,5,RS_RIGHT_minus_WRONG,0,,,
index,slight_ITM,PE,5,rv_bottom_quintile,75,-0.0006586445511944946,-0.3789576074433832,0.2558392462631537
stock,deep_ITM,CE,3,RS_RIGHT_minus_WRONG,78,0.049424925700139115,1.0598906741593868,0.6407450252225183
stock,deep_ITM,CE,3,RS_decile,152,0.03542722292274005,2.7633381745052166,1.6509731826798513
stock,deep_ITM,CE,3,RS_quintile,152,0.023745467606809283,2.825592050390323,1.7826930411711694
stock,deep_ITM,CE,3,alpha_decile,98,0.033278158932052784,2.0435624382829976,1.3496311280414865
stock,deep_ITM,CE,3,moverich_quintile,156,0.03149890132324296,2.394100384529363,1.361472166887854
stock,deep_ITM,CE,3,moverich_decile,129,0.02163054814119563,1.1497552586192012,0.6958625413920819
