date,poc,vah,val,var,ibh,ibl,ibr,ib_broken_up,ib_broken_dn,fa_up,fa_dn,session_high,session_low,open_price,close_price,total_tpos,daily_move,daily_pct,close_pct_range,day_type,ib_ext_up_fail,ib_ext_dn_fail,ib_ext_up_reversal,ib_ext_dn_reversal,poor_high,poor_low,excess_high,excess_low,tail_high_buckets,tail_low_buckets,buyer_fail_score,seller_fail_score,net_failure,next_day_move,next_3d_move
2025-04-03,23250,23300,23250,50,23282.45,23145.8,136.65000000000146,True,False,True,False,23306.5,23145.8,23150.3,23241.6,447,91.29999999999927,0.3943793384966902,0.5961418792781509,FAILED_AUCTION,True,False,True,False,True,False,False,True,0,2,6,0,-6,-329.5499999999993,-694.3999999999978
2025-04-04,22950,23000,22850,150,23214.7,22940.95,273.75,False,True,False,False,23214.7,22857.45,23190.4,22912.05,474,-278.3500000000022,-1.2002811508210387,0.1528341497550694,TREND_DN,False,False,False,False,False,True,True,False,4,0,1,1,0,-674.0499999999993,-491.6499999999978
2025-04-07,21950,22050,21850,200,22190.0,21743.65,446.34999999999854,True,False,False,False,22254.0,21743.65,21758.4,22238.0,542,479.59999999999854,2.204206191631731,0.9686489663956107,TREND_UP,False,False,False,False,False,False,False,False,4,2,0,1,1,309.2000000000007,606.5
2025-04-08,22500,22650,22350,300,22577.55,22378.15,199.39999999999782,True,True,True,True,22697.2,22270.85,22446.75,22547.2,530,100.45000000000073,0.4475035361466614,0.6481763809077067,FAILED_AUCTION,True,True,False,True,True,False,False,False,1,2,5,5,0,-126.79999999999927,796.8999999999978
2025-04-09,22400,22450,22350,100,22468.7,22356.6,112.10000000000218,False,True,False,True,22468.7,22353.25,22460.3,22420.4,473,-39.89999999999782,-0.17764678120950217,0.5816370723256911,FAILED_AUCTION,False,True,False,True,True,True,False,False,0,0,1,6,5,424.09999999999854,1012.8999999999978
2025-04-11,22800,22900,22750,150,22874.45,22695.4,179.04999999999927,True,False,True,False,22923.9,22695.4,22695.4,22844.5,448,149.09999999999854,0.65696132255875,0.6525164113785494,FAILED_AUCTION,True,False,False,False,True,True,False,False,0,1,5,2,-3,499.59999999999854,993.25
2025-04-15,23300,23350,23300,50,23368.35,23207.0,161.34999999999854,False,False,False,False,23368.35,23207.0,23368.35,23344.1,415,-24.25,-0.10377283804804362,0.8497056089246965,NORMAL,False,False,False,False,True,False,False,True,0,2,1,1,0,89.20000000000073,777.1000000000022
2025-04-16,23300,23450,23300,150,23372.75,23277.0,95.75,True,True,False,True,23452.2,23273.05,23344.1,23433.3,461,89.20000000000073,0.38210939809202643,0.8945018141222366,FAILED_AUCTION,False,True,False,True,True,True,False,False,0,1,1,7,6,404.4500000000007,700.75
2025-04-17,23800,23900,23350,550,23434.6,23298.55,136.04999999999927,True,False,False,False,23872.35,23298.55,23401.85,23837.75,477,435.90000000000146,1.8626732501917647,0.9397002439874546,TREND_UP,False,False,False,False,True,True,False,False,0,1,1,2,1,283.4500000000007,463.09999999999854
2025-04-21,24100,24200,24000,200,24061.45,23903.65,157.79999999999927,True,False,False,False,24189.55,23903.65,23949.15,24121.2,451,172.04999999999927,0.7183971038638084,0.7609303952430952,TREND_UP,False,False,False,False,True,False,False,True,0,2,1,1,0,12.849999999998545,123.84999999999854
2025-04-22,24150,24250,24150,100,24202.6,24072.0,130.59999999999854,True,False,True,False,24242.6,24072.0,24185.4,24134.05,414,-51.35000000000218,-0.2123181754281599,0.36371629542790035,FAILED_AUCTION,True,False,True,False,True,False,False,True,0,2,6,0,-6,166.79999999999927,-94.70000000000073
2025-04-23,24200,24350,24200,150,24359.3,24189.55,169.75,False,True,False,True,24359.3,24119.95,24357.6,24300.85,448,-56.75,-0.23298682957270012,0.7557969500731102,FAILED_AUCTION,False,True,False,True,True,False,False,False,0,2,1,6,5,-55.79999999999927,12.05000000000291
2025-04-24,24250,24300,24250,50,24347.85,24239.45,108.39999999999782,False,True,False,True,24347.85,24216.15,24277.9,24245.05,458,-32.85000000000218,-0.13530824329947064,0.21943811693241044,FAILED_AUCTION,False,True,False,False,True,True,False,False,1,1,2,5,3,-205.70000000000073,80.40000000000146
2025-04-25,24050,24100,23900,200,24365.45,23950.15,415.2999999999993,False,True,False,True,24365.45,23847.85,24289.0,24039.35,480,-249.65000000000146,-1.0278315286755382,0.369976816074187,FAILED_AUCTION,False,True,False,False,False,True,True,False,5,1,0,5,5,273.5500000000029,294.8500000000022
2025-04-28,24300,24350,24250,100,24279.3,24054.05,225.25,True,False,False,False,24355.1,24054.05,24070.25,24312.9,440,242.65000000000146,1.0080909005930618,0.8598239495100575,TREND_UP,False,False,False,False,True,False,False,True,0,4,1,1,0,12.549999999999272,0.75
2025-04-29,24300,24400,24300,100,24457.65,24290.75,166.90000000000146,False,False,False,False,24457.65,24290.75,24370.7,24325.45,449,-45.25,-0.1856737804002347,0.20790892750150045,NORMAL,False,False,False,False,True,True,False,False,1,0,2,1,-1,8.75,134.04999999999927
2025-04-30,24300,24400,24300,100,24395.2,24268.8,126.40000000000146,True,True,True,True,24396.15,24198.75,24342.05,24334.2,438,-7.849999999998545,-0.03224872186195717,0.686170212765956,FAILED_AUCTION,True,True,False,True,True,False,False,True,0,2,5,6,1,-20.549999999999272,1.7000000000007276
2025-05-02,24300,24450,24250,200,24589.15,24305.85,283.3000000000029,False,True,False,True,24589.15,24238.5,24311.9,24313.65,472,1.75,0.0071981210847362805,0.21431626978468885,FAILED_AUCTION,False,True,False,True,False,True,False,False,3,0,1,6,5,145.84999999999854,95.64999999999782
2025-05-05,24450,24500,24400,100,24511.3,24400.65,110.64999999999782,True,False,True,False,24526.4,24400.65,24419.5,24459.5,439,40.0,0.1638035176805422,0.4679920477137061,FAILED_AUCTION,True,False,False,False,True,True,False,False,1,0,5,1,-4,-123.59999999999854,-185.70000000000073
2025-05-06,24350,24400,24350,50,24509.65,24379.8,129.85000000000218,False,True,False,False,24509.65,24331.8,24500.75,24335.9,418,-164.84999999999854,-0.6728365458200201,0.023053134664054724,TREND_DN,False,False,False,False,False,True,True,False,2,0,1,1,0,73.39999999999782,-297.25
2025-05-07,24350,24450,24350,100,24449.6,24220.0,229.59999999999854,False,False,False,False,24449.6,24220.0,24233.3,24409.3,444,176.0,0.7262733511325326,0.8244773519163784,NORMAL,False,False,False,False,True,False,False,True,0,3,1,1,0,-135.5,510.9500000000007
2025-05-08,24350,24450,24350,100,24447.25,24373.45,73.79999999999927,False,True,False,False,24447.25,24150.2,24431.5,24273.8,479,-157.70000000000073,-0.6454781736692414,0.4160915670762459,TREND_DN,False,False,False,False,True,False,False,True,0,4,1,0,-1,-235.14999999999782,304.5499999999993
2025-05-09,24000,24050,23950,100,24164.25,23935.75,228.5,False,False,False,False,24164.25,23935.75,23935.75,24038.65,468,102.90000000000146,0.4299008804821301,0.45032822757112234,NORMAL,False,False,False,False,False,True,False,False,2,0,0,1,1,881.5999999999985,647.0999999999985
2025-05-12,24700,24900,24650,250,24737.8,24378.85,358.9500000000007,True,False,False,False,24944.8,24378.85,24420.1,24920.25,439,500.15000000000146,2.048107911106021,0.9566216096828355,TREND_UP,False,False,False,False,True,False,False,True,1,5,1,1,0,-341.90000000000146,115.04999999999927
2025-05-13,24700,24800,24550,250,24973.8,24675.6,298.2000000000007,False,True,False,False,24973.8,24547.5,24864.05,24578.35,535,-285.7000000000007,-1.1490485258837588,0.07236687778559371,TREND_DN,False,False,False,False,False,True,True,False,3,0,1,1,0,107.40000000000146,434.75
2025-05-14,24600,24750,24600,150,24758.55,24581.75,176.79999999999927,True,True,True,True,24767.55,24535.55,24613.8,24685.75,440,71.95000000000073,0.2923156928227284,0.6474137931034514,FAILED_AUCTION,True,True,False,True,True,True,False,False,0,1,5,6,1,349.5499999999993,249.59999999999854
2025-05-15,24600,25100,24550,550,24706.75,24494.45,212.29999999999927,True,False,False,False,25116.25,24494.45,24694.45,25035.3,507,340.84999999999854,1.380269655732355,0.8698134448375671,TREND_UP,False,False,False,False,True,True,False,False,0,1,1,2,1,-22.200000000000728,-321.4500000000007
2025-05-16,25000,25050,24950,100,25070.0,24975.8,94.20000000000073,False,True,False,True,25070.0,24953.05,25064.65,25013.1,450,-51.55000000000291,-0.20566814218432294,0.5134672937152536,FAILED_AUCTION,False,True,False,True,True,True,False,False,0,0,1,6,5,-77.75,-199.64999999999782
2025-05-19,25000,25050,24950,100,25058.7,24965.8,92.90000000000146,True,True,True,False,25062.95,24916.65,25005.35,24935.35,422,-70.0,-0.27994009282013654,0.12781954887216118,FAILED_AUCTION,True,False,True,False,True,True,False,False,0,1,7,1,-6,-221.5,-298.34999999999854
2025-05-20,24850,24950,24650,300,25010.35,24863.4,146.9499999999971,False,True,False,False,25010.35,24669.7,24996.2,24713.85,448,-282.3500000000022,-1.129571694897633,0.12960516659327198,TREND_DN,False,False,False,False,True,True,False,False,1,0,2,1,-1,99.60000000000218,131.3000000000029
2025-05-21,24750,24900,24750,150,24870.2,24692.65,177.54999999999927,True,True,True,True,24946.2,24685.35,24744.25,24813.45,466,69.20000000000073,0.2796609313274831,0.4910868315123677,FAILED_AUCTION,True,True,False,True,True,True,False,False,1,1,5,6,1,-176.45000000000073,182.89999999999782
2025-05-22,24550,24650,24500,150,24737.5,24541.6,195.90000000000146,False,True,False,True,24737.5,24462.4,24733.95,24637.0,463,-96.95000000000073,-0.39197135920465886,0.6346782988004342,FAILED_AUCTION,False,True,False,True,False,True,False,False,2,1,0,6,6,208.15000000000146,200.70000000000073
