action,confidence,cvd_pressure_ratio,entry_atr,entry_atr_15m,entry_atr_1m,entry_atr_pct,entry_histogram,entry_hour_ist,entry_macd,entry_minute_ist,entry_price,entry_reason,entry_style,entry_time,exit_price,exit_reason,exit_time,gross_atr,gross_atr_15m,gross_r,holding_bars,htf_bias,ib_extension_pct,ib_range_atr,ib_range_atr_15m,initial_risk,initial_stop_price,lot_size,lots,mae_atr,mae_atr_15m,mfe_atr,mfe_atr_15m,mfe_capture,mp_day_type,mp_periods,mp_poc,mp_reason,mp_vah,mp_val,net_2bps_atr,net_2bps_atr_15m,net_2bps_pnl,net_2bps_r,net_5bps_atr,net_5bps_atr_15m,net_5bps_pnl,net_5bps_r,of_volume_coverage,pnl,price_from_poc_atr,price_from_poc_atr_15m,qty,return_pct,session_date,stop_distance_atr,stop_distance_atr_15m,strategy_key,symbol,target_distance_atr,target_distance_atr_15m,target_price,trade_horizon,underlying
SELL,0.75,-0.333,0.1786,0.232143,0.1786,0.058176,,20.8,,1248,307.0,ib_break_down,ib_break,2026-02-23T15:18:00+00:00,303.9,trail_stop,2026-02-24T18:18:00+00:00,17.357223,13.353838,2.019544,1075,weak,0.1538,7.278835,5.6,1535.0,308.535,1000,1,3.639418,2.799998,32.754759,25.199984,0.529915,trend_down,48,307.8,ib_break_down,308.0,307.4,16.673124,12.827524,2977.82,1.939948,15.646976,12.038054,2794.55,1.820554,1.0,3100.0,-4.479283,-3.446154,1000,1.0098,2026-02-24,8.594625,6.612304,commodity_futures,ALUMINI,17.18925,13.224607,303.93,positional,ALUMINI
BUY,0.75,8.941,0.2143,0.760714,0.2143,0.067095,,11.2667,,676,319.4,ib_break_up,ib_break,2026-03-02T05:46:00+00:00,323.1,trail_stop,2026-03-02T11:23:00+00:00,17.265516,4.863852,2.305296,337,strong,0.1169,17.965469,5.061033,1605.0,317.795,1000,1,0.699953,0.197183,25.19832,7.098594,0.685185,trend_up,10,317.2,ib_break_up,318.6,316.8,16.665889,4.694931,3571.5,2.225234,15.766449,4.441551,3378.75,2.10514,1.0,3700.0,10.265982,2.892019,1000,1.1584,2026-03-02,7.489501,2.10986,commodity_futures,ALUMINI,14.979001,4.21972,322.61,positional,ALUMINI
BUY,0.75,2.471,0.4643,1.196429,0.4643,0.144732,,20.25,,1215,320.8,ib_break_up,ib_break,2026-03-02T14:45:00+00:00,328.7,trail_stop,2026-03-04T15:14:00+00:00,17.014861,6.602983,2.628952,1339,strong,0.4805,8.292053,3.21791,3005.0,317.795,1000,1,5.276761,2.04776,23.906957,9.277609,0.711712,trend_up,46,322.6,ib_break_up,324.4,320.3,16.735085,6.49441,7770.1,2.585724,16.315421,6.33155,7575.25,2.520882,1.0,7900.0,-3.876804,-1.504478,1000,2.4626,2026-03-04,6.472109,2.511641,commodity_futures,ALUMINI,12.944217,5.023282,326.81,positional,ALUMINI
BUY,0.75,7.48,0.2571,0.753571,0.2571,0.077323,,10.1,,606,332.5,ib_break_up,ib_break,2026-03-05T04:36:00+00:00,333.8,trail_stop,2026-03-05T06:09:00+00:00,5.056398,1.725119,0.781955,93,strong,0.2128,9.140412,3.118483,1662.5,330.8375,1000,1,1.944769,0.663507,13.224426,4.511851,0.382353,trend_up,5,330.8,ib_break_up,331.8,330.2,4.538079,1.548281,1166.74,0.701798,3.760599,1.283024,966.85,0.581564,1.0,1300.0,6.612213,2.255924,1000,0.391,2026-03-05,6.466356,2.206162,commodity_futures,ALUMINI,12.932711,4.412325,335.825,positional,ALUMINI
BUY,0.75,3.172,0.2393,0.707143,0.2393,0.071754,,16.1667,,970,333.5,ib_break_up,ib_break,2026-03-06T10:40:00+00:00,338.15,trail_stop,2026-03-06T16:51:00+00:00,19.431676,6.575756,2.788606,371,strong,0.0606,13.790221,4.666667,1667.5,331.8325,1000,1,3.969912,1.343434,27.998328,9.474746,0.69403,trend_up,29,331.1,ib_break_up,332.5,330.6,18.87033,6.385795,4515.67,2.708048,18.028312,6.100852,4314.18,2.587211,1.0,4650.0,10.029252,3.393939,1000,1.3943,2026-03-06,6.968241,2.35808,commodity_futures,ALUMINI,13.936481,4.716161,336.835,positional,ALUMINI
SELL,0.75,-0.909,0.3321,1.382143,0.3321,0.097691,,16.6833,,1001,339.95,ib_break_down,ib_break,2026-03-09T11:11:00+00:00,335.5,trail_stop,2026-03-10T06:45:00+00:00,13.399578,3.219638,1.25,629,neutral,0.0043,35.230352,8.465116,3560.0,343.51,1000,1,2.107799,0.50646,24.691358,5.932816,0.542683,trend_down,31,345.5,ib_break_down,347.2,340.6,12.992803,3.121898,4314.91,1.212053,12.382641,2.975289,4112.27,1.155133,1.0,4450.0,-16.711834,-4.015504,1000,1.309,2026-03-10,10.719663,2.57571,commodity_futures,ALUMINI,18.518519,4.449612,333.8,positional,ALUMINI
BUY,0.75,0.615,0.3,1.45,0.3,0.089272,,12.5833,,755,336.05,ib_break_up,ib_break,2026-03-10T07:05:00+00:00,332.5,value_migration_reversal,2026-03-10T08:24:00+00:00,-11.833333,-2.448276,-0.770901,79,strong,0.3265,24.5,5.068966,4605.0,331.445,1000,1,11.833333,2.448276,0.5,0.103448,-23.666666,trend_up,15,332.9,ib_break_up,335.5,331.6,-12.279033,-2.54049,-3683.71,-0.799937,-12.947583,-2.67881,-3884.28,-0.843491,1.0,-3550.0,10.5,2.172414,1000,-1.0564,2026-03-10,15.35,3.175862,commodity_futures,ALUMINI,30.7,6.351724,345.26,positional,ALUMINI
BUY,0.75,0.692,0.2036,1.096429,0.2036,0.060976,,14.55,,873,333.9,ib_break_up,ib_break,2026-03-10T09:03:00+00:00,337.3,trail_stop,2026-03-10T14:54:00+00:00,16.699411,3.100976,1.384929,351,strong,0.034,36.100196,6.703583,2455.0,331.445,1000,1,1.719057,0.319218,29.715128,5.517913,0.561983,trend_down,23,332.8,ib_break_up,334.9,331.8,16.040079,2.978542,3265.76,1.330248,15.051081,2.794891,3064.4,1.248228,1.0,3400.0,5.40275,1.003257,1000,1.0183,2026-03-10,12.057957,2.239087,commodity_futures,ALUMINI,24.115914,4.478174,338.81,positional,ALUMINI
BUY,0.75,0.436,0.4143,0.914286,0.4143,0.122938,,22.9667,,1378,337.0,ib_break_up,ib_break,2026-03-10T17:28:00+00:00,345.9,trail_stop,2026-03-13T06:09:00+00:00,21.482018,9.734372,1.60216,2006,strong,0.4558,17.740768,8.039062,5555.0,331.445,1000,1,0.482742,0.21875,35.964277,16.29687,0.597315,trend_up,56,338.8,ib_break_up,340.0,333.6,21.152353,9.584988,8763.42,1.577573,20.657857,9.360911,8558.55,1.540693,1.0,8900.0,-4.344678,-1.96875,1000,2.6409,2026-03-13,13.408158,6.075779,commodity_futures,ALUMINI,26.816317,12.151559,348.11,positional,ALUMINI
SELL,0.75,-0.941,0.1821,0.503571,0.1821,0.052516,,13.1333,,788,346.75,ib_break_down,ib_break,2026-03-16T07:38:00+00:00,342.5,trail_stop,2026-03-16T11:23:00+00:00,23.338825,8.439723,2.451405,225,neutral,0.0612,13.454146,4.865248,1733.7,348.4837,1000,1,2.745744,0.992909,34.321801,12.411358,0.68,trend_down,17,347.6,ib_break_down,348.3,347.3,22.581823,8.165979,4112.15,2.371892,21.446321,7.755361,3905.38,2.252624,1.0,4250.0,-4.667765,-1.687943,1000,1.2257,2026-03-16,9.520593,3.442811,commodity_futures,ALUMINI,19.041735,6.885821,343.2825,positional,ALUMINI
