action,confidence,cvd_pressure_ratio,entry_atr,entry_atr_15m,entry_atr_1m,entry_atr_pct,entry_histogram,entry_hour_ist,entry_macd,entry_minute_ist,entry_price,entry_reason,entry_style,entry_time,exit_price,exit_reason,exit_time,gross_atr,gross_atr_15m,gross_r,holding_bars,htf_bias,ib_extension_pct,ib_range_atr,ib_range_atr_15m,initial_risk,initial_stop_price,lot_size,lots,mae_atr,mae_atr_15m,mfe_atr,mfe_atr_15m,mfe_capture,mp_day_type,mp_periods,mp_poc,mp_reason,mp_vah,mp_val,net_2bps_atr,net_2bps_atr_15m,net_2bps_pnl,net_2bps_r,net_5bps_atr,net_5bps_atr_15m,net_5bps_pnl,net_5bps_r,of_volume_coverage,pnl,price_from_poc_atr,price_from_poc_atr_15m,qty,return_pct,session_date,stop_distance_atr,stop_distance_atr_15m,strategy_key,symbol,target_distance_atr,target_distance_atr_15m,target_price,trade_horizon,underlying
BUY,0.75,2.0,44.4286,231.357143,44.4286,0.029297,,17.1833,,1031,151650.0,ib_break_up,ib_break,2026-03-25T11:41:00+00:00,150375.0,stop_loss,2026-03-25T12:30:00+00:00,-28.697731,-5.51096,-1.681503,49,strong,0.1933,29.102875,5.588762,7582.5,150891.75,10,1,28.697731,5.51096,3.061091,0.587836,-9.375001,trend_up,32,150740.0,ib_break_up,151140.0,150460.0,-30.057328,-5.77205,-13354.05,-1.761167,-32.096724,-6.163685,-14260.12,-1.880663,0.9,-12750.0,20.482302,3.933313,10,-0.8408,2026-03-25,17.066709,3.2774,commodity_futures,GOLD,34.133419,6.554801,153166.5,positional,GOLD
SELL,0.75,-0.5,52.2143,245.0,52.2143,0.034798,,20.8,,1248,150050.0,ib_break_down,ib_break,2026-03-25T15:18:00+00:00,147455.0,trail_stop,2026-03-26T13:45:00+00:00,49.699029,10.591837,3.458847,292,neutral,0.0441,24.763331,5.277551,7502.5,150800.25,10,1,9.575921,2.040816,65.556754,13.971429,0.758107,trend_up,47,150700.0,ib_break_down,151100.0,150320.0,48.559475,10.348976,25354.99,3.379539,46.850145,9.984684,24462.47,3.260576,0.8,25950.0,-12.448697,-2.653061,10,1.7294,2026-03-26,14.368669,3.062245,commodity_futures,GOLD,28.737338,6.12449,148549.5,positional,GOLD
BUY,0.75,1.5,33.0,491.857143,33.0,0.022266,,20.15,,1209,148210.0,ib_break_up,ib_break,2026-03-26T14:39:00+00:00,147288.0,stop_loss,2026-03-26T15:53:00+00:00,-27.939394,-1.874528,-1.103663,74,neutral,0.4822,32.363636,2.171362,8354.0,147374.6,10,1,27.939394,1.874528,0.0,0.0,,trend_down,13,147300.0,ib_break_up,147520.0,146760.0,-29.730291,-1.994684,-9811.0,-1.174407,-32.416636,-2.174918,-10697.49,-1.280523,0.917,-9220.0,27.575758,1.850131,10,-0.6221,2026-03-26,25.315152,1.698461,commodity_futures,GOLD,50.630303,3.396921,149880.8,positional,GOLD
SELL,0.75,-1.0,45.4286,271.5,45.4286,0.031081,,21.8833,,1313,146162.0,ib_break_down,ib_break,2026-03-26T16:23:00+00:00,147197.0,stop_loss,2026-03-27T03:45:00+00:00,-22.783005,-3.812155,-1.3178,101,neutral,0.4354,23.509419,3.933702,7854.0,146947.4,10,1,22.783005,3.812155,18.974831,3.174954,-1.200696,trend_down,20,147300.0,ib_break_down,147620.0,146740.0,-24.074521,-4.028257,-10936.72,-1.392503,-26.011797,-4.352411,-11816.8,-1.504558,0.737,-10350.0,-25.050299,-4.191529,10,-0.7081,2026-03-27,17.288668,2.892818,commodity_futures,GOLD,33.943375,5.679558,144620.0,positional,GOLD
BUY,0.75,4.5,91.7143,538.785714,91.7143,0.061267,,10.7,,642,149697.0,ib_break_up,ib_break,2026-03-30T05:12:00+00:00,150707.0,trail_stop,2026-03-30T10:47:00+00:00,11.012459,1.874586,1.111356,335,strong,0.0584,27.651086,4.706881,9088.0,148788.2,10,1,0.512461,0.087233,21.261679,3.61925,0.517949,trend_up,7,148420.0,ib_break_up,149480.0,148380.0,10.357373,1.763074,9499.19,1.045246,9.374743,1.595807,8597.98,0.946081,0.833,10100.0,13.923674,2.370145,10,0.6747,2026-03-30,9.909033,1.686756,commodity_futures,GOLD,19.818065,3.373512,151514.6,positional,GOLD
SELL,0.75,-45.5,48.4286,450.357143,48.4286,0.032029,,18.5,,1110,151201.0,ib_break_down,ib_break,2026-03-31T13:00:00+00:00,152072.0,stop_loss,2026-03-31T13:59:00+00:00,-17.98524,-1.934021,-1.152109,59,neutral,0.1974,20.401168,2.193814,7560.05,151957.005,10,1,17.98524,1.934021,6.091442,0.655036,-2.952542,trend_down,7,151720.0,ib_break_down,152040.0,151500.0,-19.237694,-2.068702,-9316.55,-1.232339,-21.116375,-2.270723,-10226.36,-1.352685,1.0,-8710.0,-10.716808,-1.152419,10,-0.5761,2026-03-31,15.610714,1.678679,commodity_futures,GOLD,31.221427,3.357358,149688.99,positional,GOLD
BUY,0.75,13.5,99.9286,339.0,99.9286,0.065567,,22.5667,,1354,152408.0,ib_break_up,ib_break,2026-03-31T17:04:00+00:00,153822.0,trail_stop,2026-04-01T06:07:00+00:00,14.150103,4.171091,1.855546,213,neutral,0.0243,9.887059,2.914454,7620.4,151645.96,10,1,2.862043,0.843658,22.105784,6.516224,0.640109,trend_up,23,151980.0,ib_break_up,152160.0,151540.0,13.537206,3.990425,13527.54,1.775175,12.617859,3.719425,12608.85,1.654618,0.95,14140.0,4.283058,1.262537,10,0.9278,2026-04-01,7.625845,2.247906,commodity_futures,GOLD,15.25169,4.495811,153932.08,positional,GOLD
SELL,0.75,-8.667,201.7143,515.285714,201.7143,0.132476,,11.1833,,671,152265.0,ib_break_down,ib_break,2026-04-02T05:41:00+00:00,150575.0,trail_stop,2026-04-02T06:18:00+00:00,8.378186,3.279734,2.219814,37,neutral,0.1385,7.55524,2.957582,7613.25,153026.325,10,1,0.0,0.0,13.345608,5.224286,0.627786,trend_down,9,152900.0,ib_break_down,153500.0,152560.0,8.07792,3.162191,16294.32,2.140258,7.627521,2.985877,15385.8,2.020924,1.0,16900.0,-3.148017,-1.232326,10,1.1099,2026-04-02,3.774274,1.477481,commodity_futures,GOLD,6.766997,2.649016,150900.0,positional,GOLD
SELL,0.75,-1.0,53.0714,302.5,53.0714,0.034972,,23.4833,,1409,151755.0,ib_break_down,ib_break,2026-04-02T17:59:00+00:00,153226.0,stop_loss,2026-04-06T07:53:00+00:00,-27.717377,-4.86281,-1.248515,237,neutral,0.4731,28.716032,5.038017,11782.0,152933.2,10,1,27.717377,4.86281,4.427997,0.77686,-6.259574,trend_down,58,151200.0,ib_break_down,152480.0,150060.0,-28.8667,-5.06445,-15319.96,-1.300285,-30.590685,-5.366911,-16234.91,-1.377941,0.9,-14710.0,10.45761,1.834711,10,-0.9693,2026-04-06,22.200281,3.894876,commodity_futures,GOLD,44.400562,7.789752,149398.6,positional,GOLD
SELL,0.75,-0.667,12.6429,320.285714,12.6429,0.008307,,16.9,,1014,152200.0,ib_break_down,ib_break,2026-04-07T11:24:00+00:00,156075.0,stop_loss,2026-04-08T03:45:00+00:00,-306.496136,-12.098573,-5.091984,411,neutral,0.0315,20.090327,0.793042,7610.0,152961.0,10,1,314.247522,12.40455,83.683332,3.303301,-3.662571,trend_down,32,152300.0,ib_break_down,152920.0,152220.0,-311.372786,-12.291073,-39366.55,-5.173003,-318.687762,-12.579823,-40291.38,-5.29453,0.9,-38750.0,-7.909578,-0.312221,10,-2.546,2026-04-08,60.191886,2.376004,commodity_futures,GOLD,102.82451,4.058876,150900.0,positional,GOLD
BUY,0.75,6.0,40.2143,540.357143,40.2143,0.025671,,11.1167,,667,156650.0,ib_break_up,ib_break,2026-04-08T05:37:00+00:00,155800.0,stop_loss,2026-04-08T09:40:00+00:00,-21.13676,-1.573034,-1.085222,243,strong,0.1053,23.623437,1.758096,7832.5,155866.75,10,1,21.13676,1.573034,12.433388,0.925314,-1.7,trend_up,9,156060.0,ib_break_up,156280.0,155700.0,-22.690685,-1.688679,-9124.9,-1.165005,-25.021572,-1.862148,-10062.25,-1.284679,1.0,-8500.0,14.671398,1.09187,10,-0.5426,2026-04-08,19.476902,1.449504,commodity_futures,GOLD,38.953805,2.899009,158216.5,positional,GOLD
BUY,0.75,0.25,26.0714,206.5,26.0714,0.016916,,11.6,,696,154122.0,ib_break_up,ib_break,2026-04-09T06:06:00+00:00,155292.0,trail_stop,2026-04-10T06:00:00+00:00,44.876762,5.66586,1.518278,864,neutral,0.1851,20.098652,2.53753,7706.1,153351.39,10,1,12.312342,1.554479,76.827481,9.699758,0.584124,trend_up,11,153820.0,ib_break_up,154040.0,153740.0,42.503172,5.366185,11081.17,1.437974,38.942788,4.916673,10152.93,1.317519,0.7,11700.0,11.583574,1.46247,10,0.7591,2026-04-10,29.557676,3.731768,commodity_futures,GOLD,59.115352,7.463535,155663.22,positional,GOLD
SELL,0.75,-0.25,14.7143,121.0,14.7143,0.009488,,13.55,,813,155082.0,ib_break_down,ib_break,2026-04-10T08:03:00+00:00,155532.0,value_migration_reversal,2026-04-10T13:49:00+00:00,-30.582495,-3.719008,-0.580338,346,neutral,0.3082,22.495124,2.735537,7754.1,155857.41,10,1,42.67957,5.190083,35.815499,4.355372,-0.85389,trend_down,19,155460.0,ib_break_down,155560.0,155200.0,-34.804428,-4.23242,-5121.23,-0.660454,-41.137329,-5.002537,-6053.07,-0.780628,0.722,-4500.0,-25.689295,-3.123967,10,-0.2902,2026-04-10,52.697716,6.408347,commodity_futures,GOLD,74.893131,9.107438,153980.0,positional,GOLD
SELL,0.75,-1.75,17.5714,105.571429,17.5714,0.011423,,17.5167,,1051,153828.0,ib_break_down,ib_break,2026-04-13T12:01:00+00:00,154599.0,stop_loss,2026-04-13T13:12:00+00:00,-43.87812,-7.303112,-1.002418,71,weak,0.43,22.764265,3.788904,7691.4,154597.14,10,1,43.87812,7.303112,3.016265,0.50203,-14.54717,trend_down,35,154300.0,ib_break_down,154420.0,154000.0,-47.388677,-7.887412,-8326.85,-1.082619,-52.654512,-8.763863,-9252.14,-1.202919,0.7,-7710.0,-26.861832,-4.470907,10,-0.5012,2026-04-13,43.772266,7.285494,commodity_futures,GOLD,87.544533,14.570988,152289.72,positional,GOLD
