action,confidence,cvd_pressure_ratio,entry_atr,entry_atr_15m,entry_atr_1m,entry_atr_pct,entry_histogram,entry_hour_ist,entry_macd,entry_minute_ist,entry_price,entry_reason,entry_style,entry_time,exit_price,exit_reason,exit_time,gross_atr,gross_atr_15m,gross_r,holding_bars,htf_bias,ib_extension_pct,ib_range_atr,ib_range_atr_15m,initial_risk,initial_stop_price,lot_size,lots,mae_atr,mae_atr_15m,mfe_atr,mfe_atr_15m,mfe_capture,mp_day_type,mp_periods,mp_poc,mp_reason,mp_vah,mp_val,net_2bps_atr,net_2bps_atr_15m,net_2bps_pnl,net_2bps_r,net_5bps_atr,net_5bps_atr_15m,net_5bps_pnl,net_5bps_r,of_volume_coverage,pnl,price_from_poc_atr,price_from_poc_atr_15m,qty,return_pct,session_date,stop_distance_atr,stop_distance_atr_15m,strategy_key,symbol,target_distance_atr,target_distance_atr_15m,target_price,trade_horizon,underlying
SELL,0.75,,0.2429,,0.2429,0.089863,,11.3333,,680,270.3,ib_break_down,ib_break,2026-02-20T05:50:00+00:00,271.7,stop_loss,2026-02-20T06:30:00+00:00,-5.763689,,-1.035886,40,weak,0.2,10.292301,,1689.375,271.6515,1250,1,6.175381,,1.646768,,-3.500001,trend_down,10,271.4,ib_break_down,272.6,271.2,-6.209963,,-1885.5,-1.116093,-6.879374,,-2088.75,-1.236404,1.0,-1750.0,-4.528613,,1250,-0.5179,2026-02-20,5.564018,,commodity_futures,NATURALGAS,11.128036,,267.597,positional,NATURALGAS
BUY,0.75,,0.6571,1.521429,0.6571,0.24008,,18.9833,,1139,273.7,ib_break_up,ib_break,2026-02-20T13:29:00+00:00,272.1,stop_loss,2026-02-20T13:32:00+00:00,-2.434941,-1.051643,-1.169163,3,strong,0.16,3.804596,1.643192,1710.625,272.3315,1250,1,2.434941,1.051643,1.065287,0.460094,-2.285714,trend_up,40,272.0,ib_break_up,272.4,270.2,-2.601065,-1.123391,-2136.45,-1.248929,-2.850251,-1.231014,-2341.12,-1.368579,1.0,-2000.0,2.587125,1.117371,1250,-0.5846,2026-02-20,2.082636,0.899483,commodity_futures,NATURALGAS,4.165272,1.798967,276.437,positional,NATURALGAS
SELL,0.75,-0.301,0.3,0.85,0.3,0.111317,,16.1833,,971,269.5,ib_break_down,ib_break,2026-02-24T10:41:00+00:00,271.7,stop_loss,2026-02-24T16:32:00+00:00,-7.333333,-2.588235,-1.004566,351,weak,0.3636,11.0,3.882353,2737.5,271.69,1250,1,8.0,2.823529,14.0,4.941176,-0.523809,trend_down,29,272.0,ib_break_down,272.6,271.0,-7.694133,-2.715576,-2885.3,-1.053991,-8.235333,-2.906588,-3088.25,-1.128128,1.0,-2750.0,-8.333333,-2.941176,1250,-0.8163,2026-02-24,7.3,2.576471,commodity_futures,NATURALGAS,14.6,5.152941,265.12,positional,NATURALGAS
SELL,0.75,-0.721,0.2429,1.428571,0.2429,0.094038,,12.4,,744,258.3,ib_break_down,ib_break,2026-02-25T06:54:00+00:00,259.9,stop_loss,2026-02-25T12:20:00+00:00,-6.587073,-1.12,-1.23887,326,weak,0.2308,5.351997,0.91,1614.375,259.5915,1250,1,6.587073,1.12,3.705228,0.63,-1.777778,trend_down,14,260.0,ib_break_down,260.2,258.8,-7.013751,-1.192548,-2129.55,-1.319117,-7.653767,-1.30137,-2323.88,-1.439489,1.0,-2000.0,-6.998765,-1.19,1250,-0.6194,2026-02-25,5.317003,0.90405,commodity_futures,NATURALGAS,10.634006,1.808101,255.717,positional,NATURALGAS
SELL,0.75,-1.188,0.2071,1.1,0.2071,0.079654,,10.9,,654,260.0,ib_break_down,ib_break,2026-02-26T05:24:00+00:00,255.3,trail_stop,2026-02-26T12:02:00+00:00,22.694351,4.272727,3.615385,398,neutral,0.4667,7.242878,1.363636,1625.0,261.3,1250,1,0.965717,0.181818,32.351521,6.090909,0.701493,trend_down,8,261.0,ib_break_down,261.4,260.6,22.196717,4.179036,5746.18,3.536108,21.450266,4.0385,5552.94,3.417192,1.0,5875.0,-4.828585,-0.909091,1250,1.8077,2026-02-26,6.277161,1.181818,commodity_futures,NATURALGAS,8.691453,1.636364,258.2,positional,NATURALGAS
BUY,0.75,0.432,0.1429,0.771429,0.1429,0.055195,,11.5,,690,258.9,ib_break_up,ib_break,2026-02-27T06:00:00+00:00,262.9,trail_stop,2026-02-27T13:35:00+00:00,27.991603,5.185182,3.089996,455,neutral,0.4444,6.298111,1.166667,1618.125,257.6055,1250,1,9.097271,1.685184,38.488453,7.129626,0.727273,trend_up,11,258.0,ib_break_up,258.4,257.8,27.261302,5.049901,4869.55,3.009378,26.16585,4.846979,4673.88,2.888451,1.0,5000.0,6.298111,1.166667,1250,1.545,2026-02-27,9.058782,1.678055,commodity_futures,NATURALGAS,18.117565,3.356109,261.489,positional,NATURALGAS
SELL,0.75,-0.34,0.1929,1.714286,0.1929,0.072655,,10.4667,,628,265.5,ib_break_down,ib_break,2026-03-02T04:58:00+00:00,267.0,stop_loss,2026-03-02T05:49:00+00:00,-7.77605,-0.875,-1.129944,51,weak,0.1818,11.404873,1.283333,1659.375,266.8275,1250,1,7.77605,0.875,3.11042,0.35,-2.5,trend_up,6,266.8,ib_break_down,267.6,266.2,-8.328149,-0.937125,-2008.12,-1.210169,-9.156299,-1.030312,-2207.81,-1.330508,1.0,-1875.0,-6.739243,-0.758333,1250,-0.565,2026-03-02,6.881804,0.774375,commodity_futures,NATURALGAS,13.763608,1.54875,262.845,positional,NATURALGAS
BUY,0.75,1.57,0.3357,1.464286,0.3357,0.124935,,11.7,,702,268.7,ib_break_up,ib_break,2026-03-02T06:12:00+00:00,277.1,trail_stop,2026-03-02T09:10:00+00:00,25.022341,5.736584,6.252326,178,strong,0.2727,6.55347,1.502439,1679.375,267.3565,1250,1,0.0,0.0,29.192732,6.692682,0.857143,trend_up,11,266.8,ib_break_up,267.6,265.6,24.69717,5.662036,10363.55,6.171076,24.209413,5.550214,10158.88,6.0492,1.0,10500.0,5.659815,1.297561,1250,3.1262,2026-03-02,4.002085,0.917512,commodity_futures,NATURALGAS,8.00417,1.835024,271.387,positional,NATURALGAS
BUY,0.75,1.733,0.6786,3.6,0.6786,0.232796,,19.7667,,1186,291.5,ib_break_up,ib_break,2026-03-03T14:16:00+00:00,286.8,stop_loss,2026-03-03T16:46:00+00:00,-6.926024,-1.305556,-1.13253,150,strong,0.0074,19.893899,3.75,5187.5,287.35,1250,1,7.220749,1.361111,5.30504,1.0,-1.305555,trend_up,12,286.0,ib_break_up,290.0,284.8,-7.096463,-1.337683,-6019.57,-1.1604,-7.352122,-1.385875,-6236.44,-1.202205,1.0,-5875.0,8.104922,1.527778,1250,-1.6123,2026-03-03,6.115532,1.152778,commodity_futures,NATURALGAS,12.231064,2.305556,299.8,positional,NATURALGAS
BUY,0.75,0.332,0.2571,2.057143,0.2571,0.091041,,10.9167,,655,282.4,ib_break_up,ib_break,2026-03-04T05:25:00+00:00,281.8,value_migration_reversal,2026-03-04T07:33:00+00:00,-2.333722,-0.291667,-0.375,128,neutral,0.2333,11.668611,1.458333,2000.0,280.8,1250,1,2.333722,0.291667,12.446519,1.555555,-0.1875,trend_down,8,281.0,ib_break_up,281.4,279.6,-2.772618,-0.346519,-891.05,-0.445525,-3.430961,-0.428799,-1102.62,-0.551313,1.0,-750.0,5.445352,0.680556,1250,-0.2125,2026-03-04,6.223259,0.777778,commodity_futures,NATURALGAS,12.446519,1.555555,285.6,positional,NATURALGAS
SELL,0.75,-2.632,0.55,1.578571,0.55,0.198341,,16.2167,,973,277.3,ib_break_down,ib_break,2026-03-04T10:43:00+00:00,279.7,stop_loss,2026-03-04T12:20:00+00:00,-4.363636,-1.520362,-1.043478,97,neutral,0.4667,5.454545,1.900452,2875.0,279.6,1250,1,4.363636,1.520362,3.454545,1.20362,-1.263158,trend_down,29,283.2,ib_break_down,284.6,280.8,-4.566182,-1.590933,-3139.25,-1.091913,-4.87,-1.696788,-3348.12,-1.164565,1.0,-3000.0,-10.727273,-3.737557,1250,-0.8655,2026-03-04,4.181818,1.457014,commodity_futures,NATURALGAS,8.363636,2.914028,272.7,positional,NATURALGAS
BUY,0.75,0.385,0.3214,1.828571,0.3214,0.116071,,10.7667,,646,276.9,ib_break_up,ib_break,2026-03-05T05:16:00+00:00,275.4,stop_loss,2026-03-05T06:01:00+00:00,-4.667082,-0.820313,-1.020408,45,neutral,0.4737,5.911637,1.039062,1837.5,275.43,1250,1,6.533914,1.148438,1.244555,0.21875,-3.750001,trend_up,8,275.2,ib_break_up,275.8,274.4,-5.010765,-0.880721,-2013.08,-1.095551,-5.526291,-0.971332,-2220.19,-1.208265,1.0,-1875.0,5.289359,0.929687,1250,-0.5417,2026-03-05,4.57374,0.803906,commodity_futures,NATURALGAS,9.14748,1.607813,279.84,positional,NATURALGAS
SELL,0.75,-0.421,0.2214,1.621429,0.2214,0.080862,,12.35,,741,273.8,ib_break_down,ib_break,2026-03-05T06:51:00+00:00,275.5,stop_loss,2026-03-05T08:08:00+00:00,-7.67841,-1.048458,-1.241782,77,neutral,0.1579,8.581752,1.171806,1711.25,275.169,1250,1,7.67841,1.048458,3.613369,0.493392,-2.125,trend_down,14,274.6,ib_break_down,276.2,274.2,-8.174616,-1.116213,-2262.32,-1.322031,-8.918925,-1.217845,-2468.31,-1.442403,1.0,-2125.0,-3.613369,-0.493392,1250,-0.6209,2026-03-05,6.183379,0.844317,commodity_futures,NATURALGAS,7.226739,0.986784,272.2,positional,NATURALGAS
SELL,0.75,-0.572,0.2643,1.107143,0.2643,0.096707,,10.6667,,640,273.3,ib_break_down,ib_break,2026-03-06T05:10:00+00:00,275.0,stop_loss,2026-03-06T09:05:00+00:00,-6.432085,-1.535484,-1.244054,235,neutral,0.3333,5.675369,1.354839,1708.125,274.6665,1250,1,7.945516,1.896774,5.297011,1.264516,-1.214286,trend_down,7,274.0,ib_break_down,274.6,273.8,-6.846992,-1.634531,-2262.07,-1.324303,-7.469353,-1.783103,-2467.69,-1.444676,1.0,-2125.0,-2.648505,-0.632258,1250,-0.622,2026-03-06,5.170261,1.234258,commodity_futures,NATURALGAS,10.340522,2.468516,270.567,positional,NATURALGAS
SELL,0.75,-2.093,1.1571,4.964286,1.1571,0.376906,,11.6833,,701,307.0,ib_break_down,ib_break,2026-03-09T06:11:00+00:00,312.4,stop_loss,2026-03-09T06:22:00+00:00,-4.66684,-1.08777,-1.082164,11,weak,0.0261,13.222712,3.082014,6237.5,311.99,1250,1,4.753262,1.107914,0.0,0.0,,trend_down,11,313.2,ib_break_down,321.0,310.4,-4.7739,-1.112724,-6904.85,-1.10699,-4.934491,-1.150155,-7137.12,-1.144228,1.0,-6750.0,-5.358223,-1.248921,1250,-1.759,2026-03-09,4.312505,1.00518,commodity_futures,NATURALGAS,8.625011,2.01036,297.02,positional,NATURALGAS
SELL,0.75,-0.309,0.4214,2.221429,0.4214,0.147137,,11.3,,678,286.4,ib_break_down,ib_break,2026-03-10T05:48:00+00:00,284.0,trail_stop,2026-03-10T07:36:00+00:00,5.695301,1.080386,1.325967,108,weak,0.0851,11.153299,2.115756,2262.5,288.21,1250,1,2.610346,0.495177,12.33982,2.340836,0.461538,trend_down,10,288.2,ib_break_down,289.6,287.0,5.424585,1.029031,2857.4,1.262939,5.01851,0.952,2643.5,1.168398,1.0,3000.0,-4.271476,-0.810289,1250,0.838,2026-03-10,4.295206,0.814791,commodity_futures,NATURALGAS,8.590413,1.629582,282.78,positional,NATURALGAS
SELL,0.75,-0.729,0.5714,1.907143,0.5714,0.20014,,15.9,,954,285.5,ib_break_down,ib_break,2026-03-10T10:24:00+00:00,288.6,stop_loss,2026-03-10T10:37:00+00:00,-5.425271,-1.625468,-1.143911,13,weak,0.2766,8.225411,2.464419,3387.5,288.21,1250,1,6.475324,1.940075,0.0,0.0,,trend_down,28,283.8,ib_break_down,287.6,281.8,-5.626216,-1.685673,-4018.53,-1.18628,-5.927634,-1.775981,-4233.81,-1.249834,1.0,-3875.0,2.975149,0.891386,1250,-1.0858,2026-03-10,4.742737,1.420974,commodity_futures,NATURALGAS,9.485474,2.841947,280.08,positional,NATURALGAS
SELL,0.75,-0.511,0.3786,1.621429,0.3786,0.126074,,13.2333,,794,300.3,ib_break_down,ib_break,2026-03-12T07:44:00+00:00,302.7,stop_loss,2026-03-12T09:35:00+00:00,-6.339144,-1.480176,-1.121495,111,neutral,0.1458,12.678288,2.960352,2675.0,302.44,1250,1,6.339144,1.480176,4.226096,0.986784,-1.5,trend_down,17,302.2,ib_break_down,303.4,301.0,-6.657686,-1.554555,-3150.75,-1.17785,-7.135499,-1.666123,-3376.88,-1.262383,1.0,-3000.0,-5.018489,-1.171806,1250,-0.7992,2026-03-12,5.652404,1.319823,commodity_futures,NATURALGAS,11.304807,2.639647,296.02,positional,NATURALGAS
BUY,0.75,0.251,0.3071,1.892857,0.3071,0.105751,,10.7,,642,290.4,ib_break_up,ib_break,2026-03-16T05:12:00+00:00,288.5,stop_loss,2026-03-16T05:59:00+00:00,-6.18691,-1.003774,-1.043956,47,strong,0.2353,11.071312,1.796226,2275.0,288.58,1250,1,6.838163,1.109434,2.930641,0.475472,-2.111112,trend_down,7,288.0,ib_break_up,288.6,286.6,-6.563921,-1.06494,-2519.72,-1.107571,-7.129437,-1.156691,-2736.81,-1.202995,1.0,-2375.0,7.815044,1.267925,1250,-0.6543,2026-03-16,5.926408,0.96151,commodity_futures,NATURALGAS,11.852817,1.923019,294.04,positional,NATURALGAS
SELL,0.75,-0.842,0.4857,1.4,0.4857,0.170123,,16.3,,978,285.5,ib_break_down,ib_break,2026-03-16T10:48:00+00:00,287.4,stop_loss,2026-03-16T11:19:00+00:00,-3.91188,-1.357143,-1.104651,31,weak,0.2059,7.000206,2.428571,2150.0,287.22,1250,1,3.91188,1.357143,1.441219,0.5,-2.714286,trend_down,30,288.6,ib_break_down,290.4,287.8,-4.147787,-1.438986,-2518.22,-1.171267,-4.501647,-1.56175,-2733.06,-1.271192,1.0,-2375.0,-6.382541,-2.214286,1250,-0.6655,2026-03-16,3.541281,1.228571,commodity_futures,NATURALGAS,7.082561,2.457143,282.06,positional,NATURALGAS
SELL,0.75,-0.427,0.3714,1.171429,0.3714,0.132833,,14.9833,,899,279.6,ib_break_down,ib_break,2026-03-17T09:29:00+00:00,281.3,stop_loss,2026-03-17T10:05:00+00:00,-4.577275,-1.451219,-1.216023,36,weak,0.1053,5.115778,1.621951,1747.5,280.998,1250,1,4.577275,1.451219,1.077006,0.341463,-4.25,trend_down,24,280.6,ib_break_down,282.2,280.4,-4.879321,-1.546982,-2265.22,-1.296266,-5.332391,-1.690627,-2475.56,-1.416631,1.0,-2125.0,-2.692515,-0.853659,1250,-0.608,2026-03-17,3.764136,1.193414,commodity_futures,NATURALGAS,7.528271,2.386828,276.804,positional,NATURALGAS
BUY,0.75,0.364,0.2929,1.285714,0.2929,0.103645,,16.1333,,968,282.6,ib_break_up,ib_break,2026-03-17T10:38:00+00:00,285.5,trail_stop,2026-03-17T12:35:00+00:00,9.90099,2.255556,1.972789,117,neutral,0.4737,6.486856,1.477778,1837.5,281.13,1250,1,4.438375,1.011111,16.387846,3.733334,0.604167,trend_up,29,281.2,ib_break_up,282.0,280.2,9.513076,2.167185,3482.97,1.895497,8.931205,2.034628,3269.94,1.779558,1.0,3625.0,4.779788,1.088889,1250,1.0262,2026-03-17,5.018778,1.143334,commodity_futures,NATURALGAS,10.037555,2.286667,285.54,positional,NATURALGAS
SELL,0.75,-0.256,0.3429,1.207143,0.3429,0.126205,,11.9167,,715,271.7,ib_break_down,ib_break,2026-03-18T06:25:00+00:00,274.0,stop_loss,2026-03-18T08:33:00+00:00,-6.707495,-1.905325,-1.03139,128,weak,0.1373,14.873141,4.224852,2787.5,273.93,1250,1,6.707495,1.905325,0.58326,0.16568,-11.500009,trend_down,12,273.2,ib_break_down,274.2,272.2,-7.02578,-1.995737,-3011.43,-1.080332,-7.503208,-2.131355,-3216.06,-1.153744,1.0,-2875.0,-4.374453,-1.242604,1250,-0.8465,2026-03-18,6.503354,1.847337,commodity_futures,NATURALGAS,13.006707,3.694674,267.24,positional,NATURALGAS
BUY,0.75,0.452,0.6571,1.728571,0.6571,0.234679,,18.1333,,1088,280.0,ib_break_up,ib_break,2026-03-18T12:38:00+00:00,296.9,trail_stop,2026-03-19T09:51:00+00:00,25.719069,9.776862,4.193548,728,neutral,0.4902,7.761376,2.950413,5037.5,275.97,1250,1,0.456552,0.173554,33.480444,12.727276,0.768182,trend_down,37,273.2,ib_break_up,275.6,271.6,25.543479,9.710113,20980.78,4.164918,25.280094,9.60999,20764.44,4.121973,1.0,21125.0,10.348501,3.933884,1250,6.0357,2026-03-19,6.133009,2.331406,commodity_futures,NATURALGAS,12.266017,4.662811,288.06,positional,NATURALGAS
BUY,0.75,3.29,0.9357,2.742857,0.9357,0.310143,,18.9333,,1136,301.7,ib_break_up,ib_break,2026-03-19T13:26:00+00:00,296.3,stop_loss,2026-03-19T16:12:00+00:00,-5.77108,-1.96875,-1.046512,166,strong,0.123,13.038367,4.447917,6450.0,296.54,1250,1,5.877952,2.005208,4.168003,1.421875,-1.384615,trend_up,40,297.0,ib_break_up,299.0,295.0,-5.898899,-2.012354,-6899.5,-1.06969,-6.090627,-2.077761,-7123.75,-1.104457,1.0,-6750.0,5.022977,1.713542,1250,-1.7899,2026-03-19,5.514588,1.88125,commodity_futures,NATURALGAS,11.029176,3.7625,312.02,positional,NATURALGAS
BUY,0.75,0.556,0.2857,1.392857,0.2857,0.097342,,14.4167,,865,293.5,ib_break_up,ib_break,2026-03-20T08:55:00+00:00,295.6,trail_stop,2026-03-20T10:15:00+00:00,7.350368,1.507692,1.431005,80,neutral,0.1563,11.20056,2.297436,1834.375,292.0325,1250,1,4.20021,0.861539,15.050753,3.08718,0.488372,trend_down,22,291.8,ib_break_up,292.8,290.8,6.937977,1.423104,2477.72,1.350719,6.319391,1.296221,2256.81,1.23029,1.0,2625.0,5.950298,1.220513,1250,0.7155,2026-03-20,5.136507,1.05359,commodity_futures,NATURALGAS,10.273014,2.10718,296.435,positional,NATURALGAS
BUY,0.75,0.265,0.55,1.7,0.55,0.186821,,16.8333,,1010,294.4,ib_break_up,ib_break,2026-03-20T11:20:00+00:00,292.0,stop_loss,2026-03-20T11:27:00+00:00,-4.363636,-1.411765,-1.016949,7,neutral,0.4375,5.818182,1.882353,2950.0,292.04,1250,1,4.545455,1.470588,0.0,0.0,,trend_down,32,292.0,ib_break_up,294.0,290.8,-4.576873,-1.480753,-3146.6,-1.066644,-4.896727,-1.584235,-3366.5,-1.141186,1.0,-3000.0,4.363636,1.411765,1250,-0.8152,2026-03-20,4.290909,1.388235,commodity_futures,NATURALGAS,5.454545,1.764706,297.4,positional,NATURALGAS
SELL,0.75,-1.451,0.7786,1.892857,0.7786,0.269412,,17.3333,,1040,289.0,ib_break_down,ib_break,2026-03-20T11:50:00+00:00,290.9,stop_loss,2026-03-20T14:41:00+00:00,-2.440277,-1.003774,-1.079545,171,neutral,0.25,4.109941,1.690566,2200.0,290.76,1250,1,2.568713,1.056604,3.981505,1.637736,-0.612903,trend_down,34,291.8,ib_break_down,294.2,290.6,-2.589237,-1.065046,-2519.97,-1.145443,-2.812677,-1.156955,-2737.44,-1.24429,1.0,-2375.0,-3.596198,-1.479245,1250,-0.6574,2026-03-20,2.260468,0.929811,commodity_futures,NATURALGAS,4.520935,1.859623,285.48,positional,NATURALGAS
SELL,0.75,-0.266,0.4071,1.542857,0.4071,0.148848,,16.4833,,989,273.5,ib_break_down,ib_break,2026-03-24T10:59:00+00:00,275.5,stop_loss,2026-03-24T11:53:00+00:00,-4.912798,-1.296296,-1.117318,54,weak,0.4783,5.649718,1.490741,2237.5,275.29,1250,1,5.895357,1.555556,1.965119,0.518519,-2.5,trend_down,30,275.0,ib_break_down,276.6,274.2,-5.18251,-1.367463,-2637.25,-1.178659,-5.587079,-1.474213,-2843.12,-1.27067,1.0,-2500.0,-3.684598,-0.972222,1250,-0.7313,2026-03-24,4.396954,1.160185,commodity_futures,NATURALGAS,8.793908,2.320371,269.92,positional,NATURALGAS
BUY,0.75,0.254,0.75,1.828571,0.75,0.266241,,20.2,,1212,281.7,ib_break_up,ib_break,2026-03-26T14:42:00+00:00,286.9,trail_stop,2026-03-27T13:01:00+00:00,6.933333,2.843751,1.3,794,strong,0.5,6.666667,2.734375,5000.0,277.7,1250,1,4.533333,1.859375,13.6,5.578126,0.509804,trend_up,13,279.0,ib_break_up,280.4,277.6,6.781707,2.78156,6357.85,1.27157,6.554267,2.688274,6144.62,1.228925,1.0,6500.0,3.6,1.476562,1250,1.8459,2026-03-27,5.333333,2.187501,commodity_futures,NATURALGAS,9.2,3.773438,288.6,positional,NATURALGAS
BUY,0.75,0.553,0.2786,1.05,0.2786,0.099111,,15.8833,,953,281.1,ib_break_up,ib_break,2026-03-30T10:23:00+00:00,278.8,stop_loss,2026-03-30T11:26:00+00:00,-8.255564,-2.190476,-1.636428,63,strong,0.1111,9.691314,2.571429,1756.875,279.6945,1250,1,8.614501,2.285714,6.460876,1.714286,-1.277778,trend_up,28,279.2,ib_break_up,280.0,278.6,-8.657502,-2.297124,-3014.97,-1.716101,-9.260409,-2.457095,-3224.94,-1.83561,1.0,-2875.0,6.819813,1.809524,1250,-0.8182,2026-03-30,5.044867,1.338571,commodity_futures,NATURALGAS,10.089734,2.677143,283.911,positional,NATURALGAS
SELL,0.75,-2.22,0.5429,1.3,0.5429,0.195781,,17.95,,1077,277.3,ib_break_down,ib_break,2026-03-30T12:27:00+00:00,279.0,stop_loss,2026-03-30T12:47:00+00:00,-3.131332,-1.307692,-1.055901,20,weak,0.2963,4.973292,2.076923,2012.5,278.91,1250,1,3.315528,1.384615,1.105176,0.461538,-2.833333,trend_down,36,279.2,ib_break_down,280.2,278.6,-3.336268,-1.393277,-2264.07,-1.125006,-3.643673,-1.521654,-2472.69,-1.228665,1.0,-2125.0,-3.499724,-1.461538,1250,-0.6131,2026-03-30,2.965555,1.238462,commodity_futures,NATURALGAS,5.931111,2.476923,274.08,positional,NATURALGAS
BUY,0.75,0.425,0.2357,1.714286,0.2357,0.085585,,10.0333,,602,275.4,ib_break_up,ib_break,2026-04-01T04:32:00+00:00,273.9,stop_loss,2026-04-01T05:25:00+00:00,-6.364022,-0.875,-1.027397,53,neutral,0.3636,9.333899,1.283333,1825.0,273.94,1250,1,6.78829,0.933333,0.424268,0.058333,-15.000005,trend_up,5,274.0,ib_break_up,274.4,272.8,-6.830123,-0.939085,-2012.33,-1.102644,-7.529275,-1.035212,-2218.31,-1.215514,1.0,-1875.0,5.939754,0.816667,1250,-0.5447,2026-04-01,6.194315,0.851667,commodity_futures,NATURALGAS,12.38863,1.703333,278.32,positional,NATURALGAS
SELL,0.75,-0.761,0.3,0.878571,0.3,0.110294,,11.7333,,704,272.0,ib_break_down,ib_break,2026-04-01T06:14:00+00:00,270.4,trail_stop,2026-04-01T11:22:00+00:00,5.333333,1.821139,1.176471,308,weak,0.1818,7.333333,2.504065,1700.0,273.36,1250,1,2.333333,0.796748,11.0,3.756099,0.484848,trend_down,11,273.8,ib_break_down,274.4,273.0,4.971733,1.697666,1864.4,1.096706,4.429333,1.512456,1661.0,0.977059,1.0,2000.0,-6.0,-2.04878,1250,0.5882,2026-04-01,4.533333,1.547968,commodity_futures,NATURALGAS,9.066667,3.095936,269.28,positional,NATURALGAS
BUY,0.75,0.354,0.2214,1.407143,0.2214,0.081278,,10.6,,636,272.4,ib_break_up,ib_break,2026-04-02T05:06:00+00:00,271.0,stop_loss,2026-04-02T05:39:00+00:00,-6.323397,-0.994924,-1.0279,33,neutral,0.1538,11.743451,1.847716,1702.5,271.038,1250,1,6.323397,0.994924,1.355014,0.213198,-4.666665,trend_up,7,271.6,ib_break_up,272.2,270.4,-6.814273,-1.072158,-1885.85,-1.107695,-7.550587,-1.18801,-2089.62,-1.227386,1.0,-1750.0,3.613369,0.568528,1250,-0.514,2026-04-02,6.151762,0.967919,commodity_futures,NATURALGAS,6.323397,0.994924,273.8,positional,NATURALGAS
SELL,0.75,-0.317,0.2286,1.128571,0.2286,0.084887,,13.1167,,787,269.3,ib_break_down,ib_break,2026-04-02T07:37:00+00:00,270.7,stop_loss,2026-04-02T10:28:00+00:00,-6.124234,-1.240507,-1.039733,171,weak,0.0385,11.373578,2.303797,1683.125,270.6465,1250,1,6.124234,1.240507,8.311461,1.683545,-0.736842,trend_down,17,270.6,ib_break_down,272.0,270.0,-6.596675,-1.336203,-1885.0,-1.119941,-7.305337,-1.479747,-2087.5,-1.240253,1.0,-1750.0,-5.686789,-1.151899,1250,-0.5199,2026-04-02,5.890201,1.193102,commodity_futures,NATURALGAS,11.780402,2.386203,266.607,positional,NATURALGAS
SELL,0.75,-0.319,0.2429,1.157143,0.2429,0.092112,,10.5,,630,263.7,ib_break_down,ib_break,2026-04-06T05:00:00+00:00,265.3,stop_loss,2026-04-06T08:47:00+00:00,-6.587073,-1.382716,-1.025641,227,weak,0.0714,17.291066,3.62963,1950.0,265.26,1250,1,6.587073,1.382716,11.115685,2.333333,-0.592593,trend_down,7,264.0,ib_break_down,266.0,263.8,-7.022643,-1.474148,-2132.25,-1.093462,-7.675998,-1.611296,-2330.62,-1.195192,1.0,-2000.0,-1.235076,-0.259259,1250,-0.6068,2026-04-06,6.422396,1.348148,commodity_futures,NATURALGAS,12.844792,2.696296,260.58,positional,NATURALGAS
BUY,0.75,1.433,0.3714,1.4,0.3714,0.138324,,15.5167,,931,268.5,ib_break_up,ib_break,2026-04-06T10:01:00+00:00,266.9,stop_loss,2026-04-06T10:10:00+00:00,-4.308024,-1.142857,-1.025641,9,neutral,0.0714,11.308562,3.0,1950.0,266.94,1250,1,4.577275,1.214286,0.0,0.0,,trend_up,27,264.0,ib_break_up,265.6,261.8,-4.596338,-1.219343,-2133.85,-1.094282,-5.02881,-1.334071,-2334.62,-1.197244,1.0,-2000.0,12.116317,3.214286,1250,-0.5959,2026-04-06,4.200323,1.114286,commodity_futures,NATURALGAS,8.400646,2.228571,271.62,positional,NATURALGAS
SELL,0.75,-0.42,0.2643,0.828571,0.2643,0.100609,,13.85,,831,262.7,ib_break_down,ib_break,2026-04-07T08:21:00+00:00,264.7,stop_loss,2026-04-07T10:25:00+00:00,-7.567159,-2.413794,-1.522649,124,weak,0.2353,6.432085,2.051724,1641.875,264.0135,1250,1,7.567159,2.413794,9.08059,2.896553,-0.833333,trend_down,20,264.2,ib_break_down,265.4,263.8,-7.96625,-2.541098,-2631.85,-1.602954,-8.564888,-2.732053,-2829.62,-1.723411,1.0,-2500.0,-5.675369,-1.810345,1250,-0.7613,2026-04-07,4.969731,1.585259,commodity_futures,NATURALGAS,9.939463,3.170519,260.073,positional,NATURALGAS
