action,confidence,cvd_pressure_ratio,entry_atr,entry_atr_15m,entry_atr_1m,entry_atr_pct,entry_histogram,entry_hour_ist,entry_macd,entry_minute_ist,entry_price,entry_reason,entry_style,entry_time,exit_price,exit_reason,exit_time,gross_atr,gross_atr_15m,gross_r,holding_bars,htf_bias,ib_extension_pct,ib_range_atr,ib_range_atr_15m,initial_risk,initial_stop_price,lot_size,lots,mae_atr,mae_atr_15m,mfe_atr,mfe_atr_15m,mfe_capture,mp_day_type,mp_periods,mp_poc,mp_reason,mp_vah,mp_val,net_2bps_atr,net_2bps_atr_15m,net_2bps_pnl,net_2bps_r,net_5bps_atr,net_5bps_atr_15m,net_5bps_pnl,net_5bps_r,of_volume_coverage,pnl,price_from_poc_atr,price_from_poc_atr_15m,qty,return_pct,session_date,stop_distance_atr,stop_distance_atr_15m,strategy_key,symbol,target_distance_atr,target_distance_atr_15m,target_price,trade_horizon,underlying
BUY,0.75,,211.5714,,211.5714,0.085164,,11.5333,,692,248427.0,ib_break_up,ib_break,2026-02-20T06:02:00+00:00,253350.0,trail_stop,2026-02-20T09:24:00+00:00,23.26874,,3.963337,202,strong,0.0449,16.84065,,6210.675,247184.865,5,1,3.048616,,32.367324,,0.718896,trend_up,11,247300.0,ib_break_up,248300.0,246100.0,22.794407,,24113.22,3.882545,22.082907,,23360.56,3.761356,1.0,24615.0,5.326807,,5,1.9817,2026-02-20,5.870997,,commodity_futures,SILVERM,11.741993,,250911.27,positional,SILVERM
BUY,0.75,0.421,456.5714,1279.071429,456.5714,0.169414,,20.1833,,1211,269500.0,ib_break_up,ib_break,2026-02-23T14:41:00+00:00,267500.0,stop_loss,2026-02-23T14:51:00+00:00,-4.380476,-1.563634,-1.256281,10,strong,0.0431,10.162704,3.627632,7960.0,267908.0,5,1,4.380476,1.563634,0.545369,0.194672,-8.032132,trend_up,45,266700.0,ib_break_up,267700.0,265300.0,-4.615707,-1.647601,-10537.0,-1.323744,-4.968555,-1.773552,-11342.5,-1.424937,1.0,-10000.0,6.132666,2.189088,5,-0.7421,2026-02-23,3.486859,1.244653,commodity_futures,SILVERM,6.973718,2.489306,272684.0,positional,SILVERM
BUY,0.75,30.222,261.0,,261.0,0.087757,,11.7667,,706,297412.0,ib_break_up,ib_break,2026-03-02T06:16:00+00:00,300300.0,trail_stop,2026-03-02T08:42:00+00:00,11.065134,,1.220884,146,strong,0.0348,27.068966,,11827.5,295046.5,5,1,0.16092,,20.51341,,0.53941,trend_up,12,295700.0,ib_break_up,296700.0,293900.0,10.607117,,13842.29,1.170348,9.920092,,12945.72,1.094544,1.0,14440.0,6.559387,,5,0.971,2026-03-02,9.063218,,commodity_futures,SILVERM,18.126437,,302143.0,positional,SILVERM
SELL,0.75,-26.333,897.7857,2966.142857,897.7857,0.309599,,20.5333,,1232,289983.0,ib_break_down,ib_break,2026-03-02T15:02:00+00:00,292490.0,stop_loss,2026-03-02T15:08:00+00:00,-2.792426,-0.845205,-1.120447,6,weak,0.0167,7.869361,2.381881,11187.5,292220.5,5,1,2.826955,0.855657,0.972392,0.294322,-2.871708,trend_down,47,301100.0,ib_break_down,302700.0,294700.0,-2.922184,-0.88448,-13117.47,-1.172512,-3.11682,-0.943392,-13991.18,-1.250608,1.0,-12535.0,-12.382688,-3.747965,5,-0.8645,2026-03-02,2.492243,0.754347,commodity_futures,SILVERM,4.984486,1.508693,285508.0,positional,SILVERM
BUY,0.75,4.263,262.2857,1272.857143,262.2857,0.093799,,15.4,,924,279626.0,ib_break_up,ib_break,2026-03-04T09:54:00+00:00,277327.0,stop_loss,2026-03-04T12:40:00+00:00,-8.765251,-1.806173,-1.054974,166,strong,0.0241,25.636167,5.282604,10896.0,277446.8,5,1,9.257081,1.90752,8.673748,1.787318,-1.010549,trend_up,26,277800.0,ib_break_up,279100.0,276700.0,-9.189943,-1.893685,-12051.95,-1.10609,-9.826981,-2.024953,-12887.38,-1.182763,1.0,-11495.0,6.961874,1.434568,5,-0.8222,2026-03-04,8.308497,1.712054,commodity_futures,SILVERM,16.616994,3.424108,283984.4,positional,SILVERM
SELL,0.75,-23.253,846.7857,1819.642857,846.7857,0.310689,,19.9333,,1196,272551.0,ib_break_down,ib_break,2026-03-04T14:26:00+00:00,274965.0,stop_loss,2026-03-04T14:31:00+00:00,-2.85078,-1.326634,-1.094189,5,neutral,0.0281,7.940616,3.695231,11031.0,274757.2,5,1,3.127119,1.455231,0.0,0.0,,trend_down,44,277800.0,ib_break_down,280400.0,276700.0,-2.980097,-1.386812,-12617.52,-1.143823,-3.174071,-1.47708,-13438.79,-1.218275,1.0,-12070.0,-6.198735,-2.884632,5,-0.8857,2026-03-04,2.605382,1.212436,commodity_futures,SILVERM,5.210763,2.424871,268138.6,positional,SILVERM
SELL,0.75,-0.882,355.5,1750.642857,355.5,0.129832,,11.1167,,667,273815.0,ib_break_down,ib_break,2026-03-05T05:37:00+00:00,267501.0,trail_stop,2026-03-05T06:12:00+00:00,17.7609,3.606675,3.400474,35,neutral,0.084,13.603376,2.762414,9284.0,275671.8,5,1,2.075949,0.421559,25.499297,5.178098,0.696525,trend_down,9,275600.0,ib_break_down,276700.0,274400.0,17.456362,3.544833,31028.68,3.342168,16.999556,3.45207,30216.71,3.254708,1.0,31570.0,-5.021097,-1.019625,5,2.3059,2026-03-05,5.223066,1.060639,commodity_futures,SILVERM,10.446132,2.121278,270101.4,positional,SILVERM
SELL,0.75,-1.0,216.2143,1505.785714,216.2143,0.079515,,11.0167,,661,271916.0,ib_break_down,ib_break,2026-03-06T05:31:00+00:00,273585.0,stop_loss,2026-03-06T08:00:00+00:00,-7.719193,-1.108391,-1.015763,149,neutral,0.1712,16.127518,2.315735,8215.5,273559.1,5,1,8.005946,1.149566,5.147671,0.739149,-1.499551,trend_down,9,273300.0,ib_break_down,274100.0,272700.0,-8.223786,-1.180845,-8890.5,-1.082162,-8.980676,-1.289526,-9708.75,-1.18176,1.0,-8345.0,-6.401057,-0.919121,5,-0.6138,2026-03-06,7.599405,1.091191,commodity_futures,SILVERM,12.561611,1.80371,269200.0,positional,SILVERM
BUY,0.75,7.277,628.0714,1914.571429,628.0714,0.22718,,21.0333,,1262,276464.0,ib_break_up,ib_break,2026-03-06T15:32:00+00:00,274724.0,stop_loss,2026-03-06T15:46:00+00:00,-2.770386,-0.90882,-1.152242,14,strong,0.1331,5.551917,1.821295,7550.5,274953.9,5,1,2.803821,0.919788,0.534971,0.175496,-5.178572,trend_up,49,272800.0,ib_break_up,274000.0,269500.0,-2.945903,-0.966398,-9251.19,-1.225242,-3.20918,-1.052765,-10077.97,-1.334742,1.0,-8700.0,5.833732,1.913744,5,-0.6294,2026-03-06,2.404344,0.78874,commodity_futures,SILVERM,4.808689,1.577481,279484.2,positional,SILVERM
SELL,0.75,-1.493,418.5,1619.071429,418.5,0.156006,,10.0167,,601,268259.0,ib_break_down,ib_break,2026-03-09T04:31:00+00:00,270043.0,stop_loss,2026-03-09T05:35:00+00:00,-4.262843,-1.101866,-1.207118,64,weak,0.1571,7.725209,1.996824,7389.5,269736.9,5,1,4.399044,1.137072,4.081243,1.054926,-1.044496,trend_down,5,270600.0,ib_break_down,271800.0,269600.0,-4.520097,-1.168361,-9458.3,-1.279965,-4.905976,-1.268104,-10265.76,-1.389235,1.0,-8920.0,-5.593787,-1.445891,5,-0.665,2026-03-09,3.531422,0.912807,commodity_futures,SILVERM,7.062843,1.825614,265303.2,positional,SILVERM
BUY,0.75,1.814,452.7857,1907.785714,452.7857,0.166283,,11.7,,702,272298.0,ib_break_up,ib_break,2026-03-09T06:12:00+00:00,270758.0,stop_loss,2026-03-09T06:38:00+00:00,-3.401167,-0.807219,-1.131114,26,strong,0.0922,7.140243,1.694635,6807.45,270936.51,5,1,3.573434,0.848104,0.0,0.0,,trend_up,11,271300.0,ib_break_up,271900.0,268400.0,-3.641041,-0.864149,-8243.06,-1.210887,-4.000851,-0.949545,-9057.64,-1.330548,1.0,-7700.0,2.204133,0.52312,5,-0.5656,2026-03-09,3.006919,0.713649,commodity_futures,SILVERM,6.013838,1.427299,275020.98,positional,SILVERM
BUY,0.75,1.041,220.7143,952.428571,220.7143,0.080231,,12.0167,,721,275097.0,ib_break_up,ib_break,2026-03-12T06:31:00+00:00,276650.0,trail_stop,2026-03-12T07:00:00+00:00,7.036245,1.630568,1.082305,29,neutral,0.1292,15.146277,3.509975,7174.5,273662.1,5,1,0.0,0.0,14.801941,3.430178,0.47536,trend_up,13,272300.0,ib_break_up,273700.0,271300.0,6.536281,1.514707,7213.25,1.005401,5.786333,1.340916,6385.63,0.890046,1.0,7765.0,12.672491,2.936703,5,0.5645,2026-03-12,6.501165,1.50657,commodity_futures,SILVERM,13.002329,3.013139,277966.8,positional,SILVERM
SELL,0.75,-1.815,426.0,1010.0,426.0,0.157404,,11.4,,684,270642.0,ib_break_down,ib_break,2026-03-13T05:54:00+00:00,268312.0,trail_stop,2026-03-13T07:34:00+00:00,5.469484,2.306931,1.410497,100,neutral,0.1636,8.36385,3.527723,8259.5,272293.9,5,1,2.887324,1.217822,10.309859,4.348515,0.53051,trend_down,10,272900.0,ib_break_down,273900.0,272100.0,5.216454,2.200207,11111.05,1.345244,4.836908,2.040122,10302.61,1.247365,1.0,11650.0,-5.300469,-2.235644,5,0.8609,2026-03-13,3.8777,1.635545,commodity_futures,SILVERM,7.755399,3.271089,267338.2,positional,SILVERM
SELL,0.75,-0.386,221.4286,1341.428571,221.4286,0.082011,,16.2167,,973,270000.0,ib_break_down,ib_break,2026-03-13T10:43:00+00:00,272391.0,stop_loss,2026-03-13T12:02:00+00:00,-10.798063,-1.782428,-1.04233,79,neutral,0.3438,16.090966,2.656124,11469.5,272293.9,5,1,11.290321,1.863685,0.0,0.0,,trend_down,29,269200.0,ib_break_down,271600.0,266400.0,-11.287965,-1.863296,-12497.39,-1.08962,-12.022817,-1.984597,-13310.98,-1.160554,1.0,-11955.0,3.612903,0.596379,5,-0.8856,2026-03-13,10.359547,1.710043,commodity_futures,SILVERM,20.719094,3.420085,265412.2,positional,SILVERM
SELL,0.75,-1.142,194.5714,1437.928571,194.5714,0.074835,,10.4667,,628,260000.0,ib_break_down,ib_break,2026-03-16T04:58:00+00:00,261584.0,stop_loss,2026-03-16T06:15:00+00:00,-8.14097,-1.101585,-1.218462,77,weak,0.082,13.162263,1.781034,6500.0,261300.0,5,1,8.634363,1.168347,10.279003,1.39089,-0.792,trend_down,6,261500.0,ib_break_down,262200.0,260700.0,-8.677107,-1.174131,-8441.58,-1.298705,-9.481311,-1.282951,-9223.96,-1.419071,1.0,-7920.0,-7.709252,-1.043167,5,-0.6092,2026-03-16,6.681352,0.904078,commodity_futures,SILVERM,13.362704,1.808157,257400.0,positional,SILVERM
BUY,0.75,0.465,569.5714,1600.357143,569.5714,0.216419,,19.0333,,1142,263180.0,ib_break_up,ib_break,2026-03-16T13:32:00+00:00,261471.0,stop_loss,2026-03-16T14:30:00+00:00,-3.000502,-1.067887,-1.298731,58,neutral,0.1597,4.496363,1.600268,6579.5,261864.1,5,1,3.121646,1.111002,4.0153,1.429056,-0.747267,trend_up,41,257400.0,ib_break_up,261200.0,256200.0,-3.184728,-1.133453,-9069.65,-1.378471,-3.461068,-1.231803,-9856.63,-1.498082,1.0,-8545.0,10.147981,3.611694,5,-0.6494,2026-03-16,2.310334,0.822254,commodity_futures,SILVERM,4.620667,1.644508,265811.8,positional,SILVERM
BUY,0.75,0.426,286.2857,1425.857143,286.2857,0.106704,,10.35,,621,268300.0,ib_break_up,ib_break,2026-03-17T04:51:00+00:00,266559.0,stop_loss,2026-03-17T05:35:00+00:00,-6.081338,-1.22102,-1.125186,44,strong,0.0946,13.696108,2.749925,7736.5,266752.7,5,1,6.147705,1.234345,0.349301,0.070133,-17.410022,trend_up,6,265500.0,ib_break_up,267400.0,264000.0,-6.454992,-1.296043,-9239.86,-1.19432,-7.015473,-1.408577,-10042.15,-1.298022,1.0,-8705.0,9.78044,1.963731,5,-0.6489,2026-03-17,5.404741,1.085172,commodity_futures,SILVERM,10.809482,2.170344,271394.6,positional,SILVERM
SELL,0.75,-2.0,516.9286,1317.357143,516.9286,0.196457,,11.5333,,692,263126.0,ib_break_down,ib_break,2026-03-17T06:02:00+00:00,265259.0,stop_loss,2026-03-17T06:33:00+00:00,-4.126295,-1.619151,-1.036292,31,weak,0.2249,7.585187,2.976414,10291.5,265184.3,5,1,4.654415,1.826384,0.0,0.0,,trend_up,11,267700.0,ib_break_down,268800.0,265300.0,-4.330728,-1.69937,-11193.39,-1.087634,-4.637376,-1.819698,-11985.96,-1.164647,1.0,-10665.0,-8.848417,-3.472103,5,-0.8106,2026-03-17,3.981788,1.562446,commodity_futures,SILVERM,7.963576,3.124893,259009.4,positional,SILVERM
SELL,0.75,-0.292,125.9286,1056.428571,125.9286,0.04924,,10.5667,,634,255744.0,ib_break_down,ib_break,2026-03-18T05:04:00+00:00,257664.0,stop_loss,2026-03-18T05:07:00+00:00,-15.246735,-1.817444,-1.501502,3,weak,0.126,19.415764,2.314402,6393.6,257022.72,5,1,16.739645,1.995402,0.0,0.0,,trend_down,7,256600.0,ib_break_down,257000.0,255500.0,-16.06213,-1.914641,-10113.41,-1.581802,-17.285224,-2.060437,-10883.52,-1.702252,1.0,-9600.0,-6.797503,-0.810277,5,-0.7508,2026-03-18,10.154326,1.210418,commodity_futures,SILVERM,20.308651,2.420836,253186.56,positional,SILVERM
SELL,0.75,-4.68,414.4286,1139.071429,414.4286,0.16731,,11.15,,669,247701.0,ib_break_down,ib_break,2026-03-19T05:39:00+00:00,241780.0,trail_stop,2026-03-19T06:56:00+00:00,14.287141,5.198094,3.705488,77,weak,0.1472,8.621509,3.136766,7989.5,249298.9,5,1,1.445364,0.525867,19.60772,7.133881,0.728649,trend_down,9,249900.0,ib_break_down,250700.0,249000.0,14.050922,5.11215,29115.52,3.644223,13.696592,4.983234,28381.3,3.552325,1.0,29605.0,-5.306101,-1.93052,5,2.3904,2026-03-19,3.85567,1.402809,commodity_futures,SILVERM,7.71134,2.805619,244505.2,positional,SILVERM
SELL,0.75,-0.494,425.8571,2130.142857,425.8571,0.178706,,11.8667,,712,238301.0,ib_break_down,ib_break,2026-03-20T06:22:00+00:00,240842.0,stop_loss,2026-03-20T08:15:00+00:00,-5.96679,-1.192878,-1.036212,113,neutral,0.0126,18.419324,3.682382,12261.0,240753.2,5,1,5.96679,1.192878,9.34351,1.86795,-0.638603,trend_up,12,242300.0,ib_break_down,245000.0,239500.0,-6.191816,-1.237865,-13184.14,-1.075291,-6.529353,-1.305345,-13902.86,-1.133909,1.0,-12705.0,-9.390474,-1.877339,5,-1.0663,2026-03-20,5.75827,1.15119,commodity_futures,SILVERM,11.038914,2.206894,233600.0,positional,SILVERM
SELL,0.75,-1.194,393.5714,2165.928571,393.5714,0.179041,,10.5667,,634,219822.0,ib_break_down,ib_break,2026-03-24T05:04:00+00:00,222295.0,stop_loss,2026-03-24T05:41:00+00:00,-6.283485,-1.141774,-1.40992,37,neutral,0.0602,12.373867,2.248458,8770.0,221576.0,5,1,6.550273,1.190252,4.629401,0.84121,-1.3573,trend_down,7,221700.0,ib_break_down,222700.0,220400.0,-6.508154,-1.182598,-12807.12,-1.460333,-6.845158,-1.243835,-13470.29,-1.535951,1.0,-12365.0,-4.771688,-0.867065,5,-1.125,2026-03-24,4.456625,0.809814,commodity_futures,SILVERM,8.913249,1.619629,216314.0,positional,SILVERM
BUY,0.75,0.816,215.7143,1238.642857,215.7143,0.093897,,10.4167,,625,229736.0,ib_break_up,ib_break,2026-03-27T04:55:00+00:00,228417.0,stop_loss,2026-03-27T08:28:00+00:00,-6.114569,-1.064875,-1.012979,213,strong,0.1191,14.40331,2.508391,6510.5,228433.9,5,1,6.378808,1.110893,9.169536,1.596909,-0.666835,trend_up,6,228400.0,ib_break_up,229100.0,227700.0,-6.539347,-1.138852,-7053.15,-1.08335,-7.176513,-1.249817,-7740.38,-1.188908,1.0,-6595.0,6.193377,1.0786,5,-0.5741,2026-03-27,6.036225,1.051231,commodity_futures,SILVERM,12.07245,2.102462,232340.2,positional,SILVERM
SELL,0.75,-0.801,292.7857,1065.142857,292.7857,0.129441,,17.4833,,1049,226193.0,ib_break_down,ib_break,2026-03-27T11:59:00+00:00,227714.0,stop_loss,2026-03-27T13:46:00+00:00,-5.194926,-1.427977,-1.344869,107,neutral,0.0212,10.611857,2.91698,5654.825,227323.965,5,1,5.488656,1.508718,3.989266,1.096567,-1.302226,trend_up,34,228300.0,ib_break_down,230800.0,227400.0,-5.504987,-1.513207,-8058.91,-1.425138,-5.970078,-1.641051,-8739.77,-1.545542,1.0,-7605.0,-7.19639,-1.978138,5,-0.6724,2026-03-27,3.862774,1.061797,commodity_futures,SILVERM,5.099293,1.40169,224700.0,positional,SILVERM
BUY,0.75,0.273,283.5714,1425.857143,283.5714,0.120958,,12.0833,,725,234437.0,ib_break_up,ib_break,2026-03-30T06:35:00+00:00,232556.0,stop_loss,2026-03-30T07:03:00+00:00,-6.63325,-1.319206,-1.013197,28,strong,0.1224,15.498742,3.082356,9282.5,232580.5,5,1,6.947104,1.381625,0.81461,0.162008,-8.142854,trend_up,13,233700.0,ib_break_up,234200.0,230900.0,-6.962615,-1.38471,-9871.99,-1.063506,-7.456663,-1.482965,-10572.48,-1.138969,1.0,-9405.0,2.598993,0.516882,5,-0.8023,2026-03-30,6.546852,1.302024,commodity_futures,SILVERM,13.093704,2.604048,238150.0,positional,SILVERM
BUY,0.75,1.202,362.3571,1586.571429,362.3571,0.149752,,19.9833,,1199,241971.0,ib_break_up,ib_break,2026-03-31T14:29:00+00:00,240600.0,stop_loss,2026-03-31T14:49:00+00:00,-3.78356,-0.864127,-1.074115,20,strong,0.0317,10.619359,2.425356,6382.0,240694.6,5,1,4.031934,0.920854,1.730337,0.395192,-2.186603,trend_up,12,239500.0,ib_break_up,240500.0,238600.0,-4.049912,-0.924959,-7337.57,-1.149729,-4.449438,-1.016207,-8061.43,-1.263151,1.0,-6855.0,6.81924,1.557446,5,-0.5666,2026-03-31,3.522492,0.804502,commodity_futures,SILVERM,7.044984,1.609004,244523.8,positional,SILVERM
BUY,0.75,0.445,296.9286,1077.714286,296.9286,0.120885,,11.25,,675,245630.0,ib_break_up,ib_break,2026-04-01T05:45:00+00:00,243997.0,stop_loss,2026-04-01T05:57:00+00:00,-5.499639,-1.515244,-1.166512,12,strong,0.0088,15.266296,4.206124,6999.5,244230.1,5,1,5.822949,1.604321,0.0,0.0,,trend_up,10,243200.0,ib_break_up,244600.0,242000.0,-5.829433,-1.606108,-8654.63,-1.236464,-6.324125,-1.742404,-9389.07,-1.341391,1.0,-8165.0,8.183786,2.254772,5,-0.6648,2026-04-01,4.714601,1.298953,commodity_futures,SILVERM,9.429203,2.597906,248429.8,positional,SILVERM
BUY,0.75,0.275,133.7143,1070.857143,133.7143,0.056796,,10.4,,624,235431.0,ib_break_up,ib_break,2026-04-06T04:54:00+00:00,234250.0,stop_loss,2026-04-06T06:01:00+00:00,-8.832264,-1.102855,-1.003266,67,strong,0.0671,20.498929,2.559632,5885.775,234253.845,5,1,8.832264,1.102855,8.607905,1.07484,-1.026064,trend_up,6,234400.0,ib_break_up,235200.0,233800.0,-9.534778,-1.190575,-6374.68,-1.083066,-10.58855,-1.322156,-7079.2,-1.202765,1.0,-5905.0,7.710469,0.96278,5,-0.5016,2026-04-06,8.803509,1.099264,commodity_futures,SILVERM,17.607017,2.198529,237785.31,positional,SILVERM
BUY,0.75,0.379,195.4286,851.285714,195.4286,0.082421,,10.2833,,617,237109.0,ib_break_up,ib_break,2026-04-07T04:47:00+00:00,235770.0,stop_loss,2026-04-07T05:26:00+00:00,-6.851607,-1.572915,-1.129438,39,neutral,0.1169,13.785086,3.164625,5927.725,235923.455,5,1,6.851607,1.572915,5.582602,1.281591,-1.227314,trend_up,6,235700.0,ib_break_up,236900.0,235500.0,-7.335548,-1.684013,-7167.88,-1.209212,-8.061458,-1.850659,-7877.2,-1.328874,1.0,-6695.0,7.209794,1.655143,5,-0.5647,2026-04-07,6.066384,1.392652,commodity_futures,SILVERM,12.132769,2.785305,239480.09,positional,SILVERM
SELL,0.75,-1.073,230.0,1020.071429,230.0,0.098543,,18.3167,,1099,233400.0,ib_break_down,ib_break,2026-04-07T12:49:00+00:00,229947.0,trail_stop,2026-04-07T14:23:00+00:00,15.013043,3.385057,2.289484,94,weak,0.2598,11.713043,2.640992,7541.0,234908.2,5,1,5.073913,1.144038,25.408696,5.729011,0.590862,trend_down,38,235500.0,ib_break_down,236200.0,234300.0,14.610133,3.294211,16801.65,2.22804,14.005767,3.157942,16106.63,2.135875,1.0,17265.0,-9.130435,-2.058679,5,1.4794,2026-04-07,6.557391,1.478524,commodity_futures,SILVERM,13.114783,2.957048,230383.6,positional,SILVERM
BUY,0.75,0.495,124.1429,512.642857,124.1429,0.051549,,17.2667,,1036,240827.0,ib_break_up,ib_break,2026-04-09T11:46:00+00:00,244925.0,trail_stop,2026-04-10T03:51:00+00:00,33.010345,7.993869,3.25807,420,neutral,0.2625,18.011501,4.361711,6289.0,239569.2,5,1,9.054082,2.19256,43.280768,10.480981,0.762702,trend_down,34,239500.0,ib_break_up,239900.0,239000.0,32.227776,7.80436,20004.25,3.180831,31.053923,7.520097,19275.62,3.064974,1.0,20490.0,10.689294,2.588547,5,1.7016,2026-04-10,10.131872,2.45356,commodity_futures,SILVERM,20.263744,4.90712,243342.6,positional,SILVERM
BUY,0.75,0.266,150.4286,600.071429,150.4286,0.061212,,11.1667,,670,245750.0,ib_break_up,ib_break,2026-04-10T05:40:00+00:00,244486.0,stop_loss,2026-04-10T06:13:00+00:00,-8.402657,-2.106416,-1.028688,33,neutral,0.1199,10.649571,2.669682,6143.75,244521.25,5,1,8.934471,2.239733,0.066477,0.016665,-126.399461,trend_up,9,244900.0,ib_break_up,245500.0,244700.0,-9.054443,-2.269808,-6810.24,-1.108482,-10.032122,-2.514897,-7545.59,-1.228173,1.0,-6320.0,5.650521,1.416498,5,-0.5143,2026-04-10,8.168327,2.047673,commodity_futures,SILVERM,16.336654,4.095346,248207.5,positional,SILVERM
SELL,0.75,-0.537,181.2857,564.071429,181.2857,0.074393,,12.1333,,728,243685.0,ib_break_down,ib_break,2026-04-10T06:38:00+00:00,244182.0,value_migration_reversal,2026-04-10T10:34:00+00:00,-2.741529,-0.881094,-0.407904,236,neutral,0.1692,8.83688,2.840066,6092.125,244903.425,5,1,3.944051,1.26757,8.743105,2.809928,-0.313565,trend_down,13,244900.0,ib_break_down,245600.0,244500.0,-3.279759,-1.054075,-2972.87,-0.487985,-4.087104,-1.313546,-3704.67,-0.608108,1.0,-2485.0,-6.702128,-2.153983,5,-0.204,2026-04-10,6.721021,2.160054,commodity_futures,SILVERM,13.442042,4.320109,241248.15,positional,SILVERM
