action,confidence,cvd_pressure_ratio,entry_atr,entry_atr_15m,entry_atr_1m,entry_atr_pct,entry_histogram,entry_hour_ist,entry_macd,entry_minute_ist,entry_price,entry_reason,entry_style,entry_time,exit_price,exit_reason,exit_time,gross_atr,gross_atr_15m,gross_r,holding_bars,htf_bias,ib_extension_pct,ib_range_atr,ib_range_atr_15m,initial_risk,initial_stop_price,lot_size,lots,mae_atr,mae_atr_15m,mfe_atr,mfe_atr_15m,mfe_capture,mp_day_type,mp_periods,mp_poc,mp_reason,mp_vah,mp_val,net_2bps_atr,net_2bps_atr_15m,net_2bps_pnl,net_2bps_r,net_5bps_atr,net_5bps_atr_15m,net_5bps_pnl,net_5bps_r,of_volume_coverage,pnl,price_from_poc_atr,price_from_poc_atr_15m,qty,return_pct,session_date,stop_distance_atr,stop_distance_atr_15m,strategy_key,symbol,target_distance_atr,target_distance_atr_15m,target_price,trade_horizon,underlying
BUY,0.75,,0.0643,,0.0643,0.019794,,12.2667,,736,324.85,ib_break_up,ib_break,2026-02-20T06:46:00+00:00,327.55,trail_stop,2026-02-23T14:00:00+00:00,41.990669,,1.662357,1329,strong,0.1304,17.884914,,1624.2,323.2258,1000,1,9.33126,,70.762053,,0.593407,trend_up,14,324.5,ib_break_up,324.7,324.1,39.961431,,2569.52,1.582022,36.917574,,2373.8,1.46152,1.0,2700.0,5.443235,,1000,0.8312,2026-02-23,25.25972,,commodity_futures,ZINCMINI,50.520995,,328.0985,positional,ZINCMINI
BUY,0.75,0.571,0.0607,0.332143,0.0607,0.0185,,20.2667,,1216,328.1,ib_break_up,ib_break,2026-02-23T14:46:00+00:00,326.05,stop_loss,2026-02-25T14:47:00+00:00,-33.772652,-6.17204,-1.249619,1790,strong,0.1875,26.359143,4.817204,1640.5,326.4595,1000,1,33.772652,6.17204,39.538715,7.225803,-0.854167,trend_up,46,327.4,ib_break_up,328.5,327.1,-35.928007,-6.565937,-2180.83,-1.329369,-39.161038,-7.156782,-2377.07,-1.448994,1.0,-2050.0,11.532125,2.107527,1000,-0.6248,2026-02-25,27.026359,4.939138,commodity_futures,ZINCMINI,54.052718,9.878275,331.381,positional,ZINCMINI
BUY,0.75,4.45,0.0857,0.307143,0.0857,0.026041,,11.2667,,676,329.1,ib_break_up,ib_break,2026-03-02T05:46:00+00:00,327.4,stop_loss,2026-03-02T17:03:00+00:00,-19.836639,-5.534881,-1.033121,677,strong,0.0541,21.586931,6.023256,1645.5,327.4545,1000,1,19.836639,5.534881,33.255543,9.279065,-0.596491,trend_up,10,328.3,ib_break_up,328.7,328.0,-21.368728,-5.962369,-1831.3,-1.112914,-23.666861,-6.603602,-2028.25,-1.232604,1.0,-1700.0,9.334889,2.604651,1000,-0.5166,2026-03-02,19.2007,5.357439,commodity_futures,ZINCMINI,38.4014,10.714879,332.391,positional,ZINCMINI
SELL,0.75,-3.4,0.1,0.785714,0.1,0.030576,,23.0167,,1381,327.05,ib_break_down,ib_break,2026-03-02T17:31:00+00:00,328.2,value_migration_reversal,2026-03-04T05:00:00+00:00,-11.5,-1.463637,-0.703278,559,weak,0.0541,18.5,2.354545,1635.2,328.6852,1000,1,16.0,2.036364,20.0,2.545455,-0.575,trend_down,57,328.8,ib_break_down,330.4,328.0,-12.8105,-1.630428,-1281.05,-0.783421,-14.77625,-1.880614,-1477.62,-0.903636,1.0,-1150.0,-17.5,-2.227273,1000,-0.3516,2026-03-04,16.352,2.081164,commodity_futures,ZINCMINI,32.705,4.162456,323.7795,positional,ZINCMINI
BUY,0.75,3.037,0.15,0.314286,0.15,0.04562,,17.7167,,1063,328.8,ib_break_up,ib_break,2026-03-04T12:13:00+00:00,327.1,stop_loss,2026-03-04T15:16:00+00:00,-11.333333,-5.409086,-1.034063,183,neutral,0.0909,11.0,5.25,1644.0,327.156,1000,1,11.666667,5.568177,1.333333,0.636363,-8.500002,trend_up,35,327.7,ib_break_up,328.0,327.4,-12.207867,-5.826477,-1831.18,-1.113856,-13.519667,-6.452562,-2027.95,-1.233546,1.0,-1700.0,7.333333,3.5,1000,-0.517,2026-03-04,10.96,5.230904,commodity_futures,ZINCMINI,21.92,10.461809,332.088,positional,ZINCMINI
SELL,0.75,-7.815,0.1857,0.532143,0.1857,0.056815,,21.3667,,1282,326.85,ib_break_down,ib_break,2026-03-04T15:52:00+00:00,328.05,value_migration_reversal,2026-03-04T17:32:00+00:00,-6.462036,-2.255033,-0.734259,100,neutral,0.0909,8.885299,3.100671,1634.3,328.4843,1000,1,7.000539,2.442952,0.0,0.0,,trend_down,50,327.7,ib_break_down,328.2,327.4,-7.167367,-2.50117,-1330.98,-0.814404,-8.225363,-2.870375,-1527.45,-0.93462,1.0,-1200.0,-4.577275,-1.597315,1000,-0.3671,2026-03-04,8.800754,3.071167,commodity_futures,ZINCMINI,17.600969,6.142146,323.5815,positional,ZINCMINI
SELL,0.75,-0.667,0.0607,0.560714,0.0607,0.018546,,13.5667,,814,327.3,ib_break_down,ib_break,2026-03-05T08:04:00+00:00,323.2,trail_stop,2026-03-06T03:45:00+00:00,67.545305,7.312106,2.505347,636,neutral,0.08,20.593081,2.229299,1636.5,328.9365,1000,1,2.47117,0.267516,103.789127,11.235675,0.650794,trend_down,19,327.6,ib_break_down,328.4,327.4,65.401977,7.08008,3969.9,2.425848,62.186985,6.732042,3774.75,2.306599,1.0,4100.0,-4.942339,-0.535032,1000,1.2527,2026-03-06,26.960461,2.9186,commodity_futures,ZINCMINI,53.920923,5.8372,324.027,positional,ZINCMINI
SELL,0.75,-4.036,0.1893,0.6,0.1893,0.058825,,18.8167,,1129,321.8,ib_break_down,ib_break,2026-03-06T13:19:00+00:00,323.5,stop_loss,2026-03-06T15:02:00+00:00,-8.980454,-2.833333,-1.056557,103,weak,0.1,10.56524,3.333333,1609.0,323.409,1000,1,10.036978,3.166667,2.113048,0.666667,-4.25,trend_down,40,323.3,ib_break_down,324.3,322.6,-9.662229,-3.048433,-1829.06,-1.136768,-10.684892,-3.371083,-2022.65,-1.257085,1.0,-1700.0,-7.92393,-2.5,1000,-0.5283,2026-03-06,8.499736,2.681667,commodity_futures,ZINCMINI,16.999472,5.363333,318.582,positional,ZINCMINI
BUY,0.75,1.167,0.2429,0.542857,0.2429,0.074395,,14.9,,894,326.5,ib_break_up,ib_break,2026-03-09T09:24:00+00:00,324.75,stop_loss,2026-03-09T15:34:00+00:00,-7.204611,-3.223685,-1.071975,370,strong,0.1667,12.350762,5.526316,1632.5,324.8675,1000,1,7.204611,3.223685,4.528613,2.026316,-1.590909,trend_up,24,325.4,ib_break_up,325.7,324.0,-7.74084,-3.463619,-1880.25,-1.151761,-8.545183,-3.823521,-2075.62,-1.27144,1.0,-1750.0,4.528613,2.026316,1000,-0.536,2026-03-09,6.720873,3.007238,commodity_futures,ZINCMINI,13.441746,6.014475,329.765,positional,ZINCMINI
BUY,0.75,0.781,0.0536,0.346429,0.0536,0.016384,,12.15,,729,327.15,ib_break_up,ib_break,2026-03-10T06:39:00+00:00,325.5,stop_loss,2026-03-11T07:28:00+00:00,-30.783582,-4.762881,-1.008742,944,strong,0.2174,21.455224,3.319588,1635.7,325.5143,1000,1,30.783582,4.762881,15.858209,2.453605,-1.941176,trend_up,13,326.5,ib_break_up,326.7,326.2,-33.218843,-5.139668,-1780.53,-1.088543,-36.871735,-5.704849,-1976.33,-1.208244,1.0,-1650.0,12.126866,1.876289,1000,-0.5044,2026-03-11,30.516791,4.721602,commodity_futures,ZINCMINI,61.035448,9.443493,330.4215,positional,ZINCMINI
