active_contracts,avg_iv,bars_to_max,ce_contracts,chosen_variant_key,combined_alignment,contracts_considered,dex,dex_alignment,direction_sign,entry_macd,entry_price,entry_rsi,entry_time,exit_price,exit_reason,exit_strategy,exit_time,expiry,expiry_day_only,expiry_kind,gex,gex_alignment,holding_bars,holding_minutes,max_possible_price,max_possible_return_pct,option_type,pe_contracts,return_pct,rsi_filter,series_id,spot_at_series_start,spot_price,strike,symbol,timeframe,total_oi,train_consistency_score,underlying,walkforward_group,walkforward_window
23,0.282199,115,4,series|10m|macd_only|hold_to_expiry,anti,60,-4551992642.456,anti,1,4.386152,213.45,66.0965,2025-04-07T15:30:00+05:30,632.45,hold_to_end,hold_to_expiry,2025-04-15 15:30:00+05:30,2025-04-15,False,weekly,-1274832.252302,anti,152,1520,766.05,258.8897,CE,19,196.2989,macd_only,SENSEX|weekly|2025-04-15,76088.08,73325.05,76100.0,SENSEX 76100 CE 15 APR 25,10m,203860.0,326.691434,SENSEX,weekly_series,1
46,0.117715,65,20,series|10m|macd_only|hold_to_expiry,aligned,60,-537828030.8175,aligned,-1,2.799733,516.95,58.7141,2025-04-03T15:20:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-04-15 15:30:00+05:30,2025-04-15,False,weekly,-8321.150347,aligned,223,2230,3779.3,631.0765,PE,26,-99.9903,macd_only,SENSEX|weekly|2025-04-15,76088.08,76284.84,76100.0,SENSEX 76100 PE 15 APR 25,10m,182420.0,326.691434,SENSEX,weekly_series,1
60,0.298451,221,30,series|10m|macd_only|hold_to_expiry,anti,60,-9493372352.1564,anti,1,1.374797,75.55,72.5389,2025-04-07T15:30:00+05:30,650.6,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,-9179567.86905,anti,228,2280,671.9,789.3448,CE,30,761.1516,macd_only,NIFTY|weekly|2025-04-17,23192.2,22238.0,23200.0,NIFTY 23200 CE 17 APR 25,10m,10520625.0,206.0175,NIFTY,weekly_series,2
50,0.124027,43,26,series|10m|macd_only|hold_to_expiry,aligned,60,-2236770944.8539,aligned,-1,0.216808,179.65,53.3226,2025-04-03T14:50:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,-2552112.09801,aligned,308,3080,1515.0,743.3064,PE,24,-99.9722,macd_only,NIFTY|weekly|2025-04-17,23192.2,23246.9,23200.0,NIFTY 23200 PE 17 APR 25,10m,4239300.0,206.0175,NIFTY,weekly_series,2
60,0.147574,110,30,series|15m|rsi_60|hold_to_expiry,aligned,60,94740346784.9158,aligned,1,5.516935,760.0,63.6168,2025-04-16T14:00:00+05:30,1550.0,hold_to_end,hold_to_expiry,2025-04-24 15:30:00+05:30,2025-04-24,False,weekly,131055986.802,aligned,133,1995,1654.95,117.7566,CE,30,103.9474,rsi_60,NIFTY|weekly|2025-04-24,22715.95,23412.8,22700.0,NIFTY 22700 CE 24 APR 25,15m,70357800.0,264.224315,NIFTY,weekly_series,4
58,0.157478,78,30,series|15m|rsi_60|hold_to_expiry,aligned,60,2127291156.7612,aligned,1,14.352675,779.95,63.7082,2025-04-28T10:15:00+05:30,642.8,hold_to_end,hold_to_expiry,2025-05-06 15:30:00+05:30,2025-05-06,False,weekly,459888.642845,aligned,151,2265,1470.0,88.4736,CE,28,-17.5845,rsi_60,SENSEX|weekly|2025-05-06,79623.9,80057.21,80000.0,SENSEX 80000 CE 06 MAY 25,15m,324960.0,258.482117,SENSEX,weekly_series,5
60,0.165431,0,30,series|15m|rsi_60|hold_to_expiry,aligned,60,-16996250832.3107,aligned,-1,1.963242,629.75,67.5383,2025-04-30T15:30:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-05-06 15:30:00+05:30,2025-05-06,False,weekly,-4298548.142666,aligned,78,1170,668.3,6.1215,PE,30,-99.9921,rsi_60,SENSEX|weekly|2025-05-06,79623.9,80016.19,80000.0,SENSEX 80000 PE 06 MAY 25,15m,3718600.0,258.482117,SENSEX,weekly_series,5
58,0.16018,78,29,series|15m|rsi_60|hold_to_expiry,aligned,60,57084893841.5366,aligned,1,1.176041,258.0,62.1546,2025-04-28T10:15:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-05-08 15:30:00+05:30,2025-05-08,False,weekly,54958701.475687,aligned,203,3045,435.95,68.9729,CE,29,-99.9806,rsi_60,NIFTY|weekly|2025-05-08,24279.15,24273.45,24300.0,NIFTY 24300 CE 08 MAY 25,15m,18404550.0,136.465273,NIFTY,weekly_series,6
56,0.175593,0,30,series|15m|rsi_60|hold_to_expiry,aligned,60,-29419512834.2981,aligned,-1,1.300458,242.95,65.2011,2025-04-30T15:30:00+05:30,26.45,hold_to_end,hold_to_expiry,2025-05-08 15:30:00+05:30,2025-05-08,False,weekly,-31542986.182969,aligned,130,1950,251.65,3.581,PE,26,-89.113,rsi_60,NIFTY|weekly|2025-05-08,24279.15,24246.25,24300.0,NIFTY 24300 PE 08 MAY 25,15m,56178375.0,136.465273,NIFTY,weekly_series,6
32,0.163191,631,14,series|5m|macd_only|trail_after_30pct_dd15pct,anti,60,-32000526.2875,anti,1,0.469396,893.3,66.9957,2025-04-29T13:10:00+05:30,1124.8,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-02 10:35:00+05:30,2025-05-13,False,weekly,-14819.485244,anti,119,595,2174.8,143.4568,CE,18,25.9151,macd_only,SENSEX|weekly|2025-05-13,80586.33,80392.13,80600.0,SENSEX 80600 CE 13 MAY 25,5m,7540.0,83.654597,SENSEX,weekly_series,7
