date,carry_signal,carry_strength,expansion_score,day_type,opening_type,next_day_type,next_date,entry_spot,gap_pts,gap_pct,gap_favorable,eod_pct,eod_favorable,ib_pct,max_fav_spot_pct,max_adv_spot_pct,opt_gap_return,opt_eod_return,opt_max_fav,opt_max_adv
2025-04-04,CARRY_SHORT,4,10,NORMAL_VAR_DN,OD_DN,NORMAL,2025-04-07,75405.27,-3955.33,-5.2454,True,-2.7587,True,-4.1353,5.2785,-2.654,18.36,9.66,18.47,-9.29
2025-04-11,CARRY_LONG,3,11,NORMAL_VAR_UP,OD_UP,NORMAL,2025-04-15,75227.74,1624.32,2.1592,True,2.0659,True,1.919,2.2331,-1.6049,7.56,7.23,7.82,-5.62
2025-04-15,CARRY_LONG,3,3,NORMAL,OTHER,FAILED_AUCTION,2025-04-16,76781.88,214.9,0.2799,True,0.3133,True,0.0042,0.4276,0.3101,0.98,1.1,1.5,1.09
2025-04-17,CARRY_LONG,4,16,TREND_UP,OD_UP,NORMAL_VAR_UP,2025-04-21,78497.04,406.05,0.5173,True,1.107,True,0.6641,1.4497,-0.3555,1.81,3.87,5.07,-1.24
2025-04-21,CARRY_LONG,4,16,NORMAL_VAR_UP,OD_UP,NORMAL_VAR_UP,2025-04-22,79366.01,362.38,0.4566,True,0.1296,True,0.1574,0.5774,0.1418,1.6,0.45,2.02,0.5
2025-04-22,CARRY_LONG,4,11,NORMAL_VAR_UP,ORR_DN,NORMAL_VAR_DN,2025-04-23,79468.84,673.25,0.8472,True,0.6641,True,0.6513,0.9887,-0.0479,2.97,2.32,3.46,-0.17
2025-04-23,CARRY_LONG,3,11,NORMAL_VAR_DN,OTHER,NORMAL_VAR_DN,2025-04-24,79996.56,61.87,0.0773,True,-0.2432,False,0.0062,0.2217,0.34,0.27,-0.85,0.78,1.19
2025-04-24,CARRY_SHORT,3,13,NORMAL_VAR_DN,OTD_DN,NORMAL_VAR_DN,2025-04-25,79801.99,28.16,0.0353,False,-0.7387,True,-0.3558,1.4989,0.4119,-0.12,2.59,5.25,1.44
2025-04-28,CARRY_LONG,4,11,NORMAL_VAR_UP,OTD_UP,NORMAL,2025-04-29,80150.41,246.51,0.3076,True,0.1139,True,0.301,0.6374,0.0354,1.08,0.4,2.23,0.12
2025-05-05,CARRY_LONG,3,7,FAILED_AUCTION,OA,NORMAL,2025-05-06,80816.8,90.44,0.1119,True,-0.4074,False,-0.0633,0.2039,0.4155,0.39,-1.43,0.71,1.45
