date,poc,vah,val,var,ibh,ibl,ibr,ib_broken_up,ib_broken_dn,fa_up,fa_dn,session_high,session_low,open_price,close_price,total_tpos,day_type,direction,close_pct,range_ratio,gap_pts,gap_pct,gap_abs_pct,gap_direction,gap_vs_ibr,gap_contribution,gap_filled,open_above_pvah,open_below_pval,open_outside_pva,open_above_ppoc,overnight_return,intraday_return,total_return,overnight_pct_of_total,va_overlap,va_overlap_pct,poc_shift,poc_shift_pct,va_migration,va_streak,va_mig_score,va_mig_5d,opening_type,expansion_opening,sc_va_mig,sc_day_type,sc_opening,sc_close_pos,sc_gap,sc_ib_break,sc_range,expansion_score,expansion_direction,carry_signal,carry_strength
2025-04-03,76300.0,76450.0,76250.0,200.0,76423.82,75807.55,616.2700000000041,True,False,True,False,76493.74,75807.55,75811.86,76272.54,48,FAILED_AUCTION,UP,0.6776403037059547,1.1134567640806754,,,,DN,,,False,False,False,False,False,,460.679999999993,,0.0,,100.0,,,UNKNOWN,0,0,0.0,UNKNOWN,False,0,1,0,1,0,2,0,4,NEUTRAL,NO_CARRY,0
2025-04-04,75450.0,75750.0,75250.0,500.0,76258.12,75488.98,769.1399999999994,False,True,False,False,76258.12,75240.55,76160.09,75405.27,71,NORMAL_VAR_DN,DN,0.16187584146545436,1.322997113659403,-112.44999999999709,-0.1474318280209327,0.1474318280209327,DN,0.14620225186571648,0.11050836797468275,False,False,True,True,False,-112.44999999999709,-754.8199999999924,-867.2699999999895,12.965973687548104,0.0,0.0,-850.0,-1.1140235910878113,LOWER,1,-1,-1.0,OD_DN,True,0,2,4,2,0,2,0,10,BEARISH,CARRY_SHORT,4
2025-04-07,72450.0,72850.0,72100.0,750.0,73149.12,71425.01,1724.1100000000006,True,False,False,False,73403.99,71425.01,71449.94,73325.05,138,NORMAL,UP,0.960110764131016,1.1478269947973214,-3955.3300000000017,-5.245429132473103,5.245429132473103,DN,2.2941285648827514,1.998671032552113,False,False,True,True,False,-3955.3300000000017,1875.1100000000006,-2080.220000000001,190.13998519387368,0.0,0.0,-3000.0,-3.9761431411530817,LOWER,2,-1,-2.0,ORR_UP,False,2,0,1,2,2,2,0,9,BEARISH,NO_CARRY,0
2025-04-08,74200.0,74700.0,73900.0,800.0,74421.65,73797.13,624.5199999999895,True,True,True,True,74859.39,73424.92,74013.73,74273.58,128,DOUBLE_DIST,UP,0.5916192043054249,2.2969160315122417,688.679999999993,0.9392151795327695,0.9392151795327695,UP,1.1027349004035172,0.48009369314101547,False,True,False,True,True,688.679999999993,259.8500000000058,948.5299999999988,72.60497822947022,0.0,0.0,1750.0,2.4154589371980677,HIGHER,1,1,-1.0,ORR_DN,False,0,1,1,0,2,1,1,6,BULLISH,NO_CARRY,0
2025-04-09,73850.0,73950.0,73750.0,200.0,74103.83,73673.06,430.7700000000041,False,False,False,False,74103.83,73673.06,74103.83,73898.12,54,NORMAL,DN,0.5224597813218087,1.0,-169.75,-0.2285469476494872,0.2285469476494872,DN,0.39406179631821714,0.39406179631821714,False,False,False,False,False,-169.75,-205.7100000000064,-375.4600000000064,45.21120758536119,50.0,6.25,-350.0,-0.4716981132075472,LOWER,1,-1,-2.0,OA,False,2,0,0,0,1,0,0,3,BEARISH,NO_CARRY,0
2025-04-11,75100.0,75350.0,74950.0,400.0,75319.35,74762.84,556.5100000000093,True,False,True,False,75467.33,74762.84,74835.49,75227.74,70,NORMAL_VAR_UP,UP,0.6599100058198204,1.2659071714793866,937.3700000000099,1.2684625806448255,1.2684625806448255,UP,1.684372248477106,1.3305653735326306,False,True,False,True,True,937.3700000000099,392.25,1329.62000000001,70.49908996555429,0.0,0.0,1250.0,1.6926201760324981,HIGHER,1,1,-1.0,OD_UP,True,0,2,4,1,2,2,0,11,BULLISH,CARRY_LONG,3
2025-04-15,76750.0,76850.0,76650.0,200.0,76907.63,76435.07,472.5599999999977,False,False,False,False,76907.63,76435.07,76852.06,76781.88,45,NORMAL,DN,0.7338962248180112,1.0,1624.3199999999924,2.159203506578813,2.159203506578813,UP,3.4372778059928906,3.4372778059928906,False,True,False,True,True,1624.3199999999924,-70.17999999999302,1554.1399999999994,104.51568069800616,0.0,0.0,1650.0,2.1970705725699067,HIGHER,2,1,1.0,OTHER,False,0,0,0,1,2,0,0,3,BULLISH,CARRY_LONG,3
2025-04-16,76700.0,76900.0,76550.0,350.0,77000.63,76569.59,431.04000000000815,True,True,False,True,77110.23,76543.77,76996.78,77022.45,61,FAILED_AUCTION,UP,0.845037601948946,1.31417037861911,214.89999999999418,0.2798837434040351,0.2798837434040351,UP,0.4985616184112614,0.3793736539208369,True,True,False,True,True,214.89999999999418,25.669999999998254,240.56999999999243,89.32950908259589,200.0,100.0,-50.0,-0.06514657980456026,WIDER,0,0,2.0,OTHER,False,2,1,0,2,1,1,0,7,BULLISH,NO_CARRY,0
2025-04-17,76950.0,78200.0,76650.0,1550.0,77099.1,76665.77,433.33000000000175,True,False,False,False,78616.77,76665.77,76968.02,78497.04,86,TREND_UP,UP,0.9386314710404867,4.502342325710179,-54.429999999993015,-0.07066770792151252,0.07066770792151252,DN,0.1256086585281259,0.02789851358277448,True,True,False,True,True,-54.429999999993015,1529.0199999999895,1474.5899999999965,-3.6911955187539007,250.0,71.42857142857143,250.0,0.3259452411994785,HIGHER,1,1,2.0,OD_UP,True,2,4,4,2,0,2,2,16,BULLISH,CARRY_LONG,4
2025-04-21,79450.0,79650.0,79150.0,500.0,79260.64,78776.06,484.58000000000175,True,False,False,False,79635.05,78776.06,78903.09,79366.01,61,NORMAL_VAR_UP,UP,0.686794956867942,1.7726484790953034,406.0500000000029,0.5172806516016437,0.5172806516016437,UP,0.8379421354575126,0.4727063178849584,False,True,False,True,True,406.0500000000029,462.91999999999825,868.9700000000012,46.72773513469998,0.0,0.0,2500.0,3.248862897985705,HIGHER,2,1,4.0,OD_UP,True,4,2,4,1,2,2,1,16,BULLISH,CARRY_LONG,4
2025-04-22,79600.0,79750.0,79550.0,200.0,79728.39,79253.44,474.9499999999971,True,False,True,False,79824.3,79253.44,79728.39,79468.84,51,NORMAL_VAR_UP,DN,0.37732543881160696,1.2019370460048513,362.38000000000466,0.4565934459852583,0.4565934459852583,UP,0.7629855774292176,0.6347966226395338,True,True,False,True,True,362.38000000000466,-259.5500000000029,102.83000000000175,352.4068851502465,100.0,20.0,150.0,0.18879798615481436,HIGHER,3,1,4.0,ORR_DN,False,4,2,1,1,1,2,0,11,BULLISH,CARRY_LONG,4
2025-04-23,80000.0,80150.0,79750.0,400.0,80254.55,79718.3,536.25,False,True,False,True,80254.55,79506.9,80142.09,79996.56,65,NORMAL_VAR_DN,DN,0.6549321206446838,1.3942191142191305,673.25,0.8471874007472615,0.8471874007472615,UP,1.2554778554778554,0.9004881963485483,False,True,False,True,True,673.25,-145.52999999999884,527.7200000000012,127.57712423254728,0.0,0.0,400.0,0.5025125628140703,HIGHER,4,1,4.0,OTHER,False,4,2,0,1,2,2,0,11,BULLISH,CARRY_LONG,3
2025-04-24,79850.0,80050.0,79800.0,250.0,80173.92,79829.11,344.8099999999977,False,True,False,False,80173.92,79724.55,80058.43,79801.99,47,NORMAL_VAR_DN,DN,0.17233015110043645,1.303239465212721,61.86999999999534,0.07734082565549737,0.07734082565549737,UP,0.17943215103969073,0.13768164318934506,True,False,False,False,True,61.86999999999534,-256.4399999999878,-194.56999999999243,-31.798324510457803,250.0,62.5,-150.0,-0.1875,NARROWER,0,0,4.0,OTD_DN,True,4,2,3,2,0,2,0,13,BULLISH,CARRY_SHORT,3
2025-04-25,79250.0,79600.0,78800.0,800.0,80130.66,78905.49,1225.1699999999985,False,True,False,True,80130.66,78605.81,79830.15,79212.53,101,NORMAL_VAR_DN,DN,0.39788831688362714,1.2446027898169296,28.15999999998894,0.03528734057883637,0.03528734057883637,UP,0.022984565407240608,0.018467390235097768,True,False,False,False,False,28.15999999998894,-617.6199999999953,-589.4600000000064,-4.777253757674589,0.0,0.0,-600.0,-0.7514088916718847,LOWER,1,-1,2.0,OA,False,2,2,0,1,0,2,0,7,NEUTRAL,NO_CARRY,0
