alloc,blended_return,entry_price,entry_time,exit_price,exit_reason,exit_time,expiry,ibr_target,module,month,opening_type,option_type,poc_reversion,series_id,signal_date,spot_at_signal
0.1,20.0,174.5,2025-12-01 15:30:00+05:30,209.4,gap_exit,2025-12-02 09:15:00+05:30,2025-12-04,,A_pe_carry,2025-12,,PE,,SENSEX|weekly|2025-12-04,2025-12-01,85636.29
0.1,0.0,43.2,2025-12-29 15:30:00+05:30,43.2,gap_exit,2025-12-30 09:15:00+05:30,2026-01-01,,A_pe_carry,2025-12,,PE,,SENSEX|weekly|2026-01-01,2025-12-29,84707.68
0.1,22.9361,557.2,2025-07-24 15:30:00+05:30,685.0,gap_exit,2025-07-25 09:15:00+05:30,2025-08-05,,A_pe_carry,2025-07,,PE,,SENSEX|weekly|2025-08-05,2025-07-24,82147.36
0.1,1.0477,1073.75,2025-07-11 15:30:00+05:30,1085.0,gap_exit,2025-07-14 09:15:00+05:30,2025-07-15,,A_pe_carry,2025-07,,PE,,SENSEX|weekly|2025-07-15,2025-07-11,82457.61
0.1,15.2074,1182.65,2026-01-09 15:30:00+05:30,1362.5,gap_exit,2026-01-12 09:15:00+05:30,2026-01-14,,A_pe_carry,2026-01,,PE,,SENSEX|weekly|2026-01-14,2026-01-09,83638.66
0.1,-9.4229,1314.35,2026-01-23 15:30:00+05:30,1190.5,gap_exit,2026-01-27 09:15:00+05:30,2026-02-05,,A_pe_carry,2026-01,,PE,,SENSEX|weekly|2026-02-05,2026-01-23,81575.99
0.1,-11.2007,2102.55,2025-09-26 15:30:00+05:30,1867.05,gap_exit,2025-09-29 09:20:00+05:30,2025-10-01,,A_pe_carry,2025-09,,PE,,SENSEX|weekly|2025-10-01,2025-09-26,80493.62
0.1,-11.2163,1013.7,2025-05-08 15:30:00+05:30,900.0,gap_exit,2025-05-09 09:15:00+05:30,2025-05-13,,A_pe_carry,2025-05,,PE,,SENSEX|weekly|2025-05-13,2025-05-08,80003.84
0.1,100.2469,344.3,2025-06-12 15:30:00+05:30,689.45,gap_exit,2025-06-13 09:15:00+05:30,2025-06-17,,A_pe_carry,2025-06,,PE,,SENSEX|weekly|2025-06-17,2025-06-12,81646.79
0.1,4.082,1537.25,2025-11-04 15:30:00+05:30,1600.0,gap_exit,2025-11-06 09:15:00+05:30,2025-11-06,,A_pe_carry,2025-11,,PE,,SENSEX|weekly|2025-11-06,2025-11-04,83451.75
0.1,24.3402,630.85,2025-12-08 15:30:00+05:30,784.4,gap_exit,2025-12-09 09:15:00+05:30,2025-12-11,,A_pe_carry,2025-12,,PE,,SENSEX|weekly|2025-12-11,2025-12-08,84990.2
0.1,26.9919,1220.55,2025-09-25 15:30:00+05:30,1550.0,gap_exit,2025-09-26 09:15:00+05:30,2025-10-01,,A_pe_carry,2025-09,,PE,,SENSEX|weekly|2025-10-01,2025-09-25,81194.99
0.1,-0.7634,2620.0,2026-01-20 15:30:00+05:30,2600.0,gap_exit,2026-01-21 09:25:00+05:30,2026-01-22,,A_pe_carry,2026-01,,PE,,SENSEX|weekly|2026-01-22,2026-01-20,82153.74
0.2,-99.3464,7.65,2025-04-08 09:40:00+05:30,,hold_to_end,2025-04-08 15:30:00+05:30,2025-04-08,156.1,B_intraday_expansion,2025-04,OD_UP,CE,False,SENSEX|weekly|2025-04-08,2025-04-08,74282.83
0.2,11.5169,276.55,2025-04-11 09:40:00+05:30,,hold_to_end,2025-04-11 15:30:00+05:30,2025-04-15,176.7,B_intraday_expansion,2025-04,OD_UP,CE,False,SENSEX|weekly|2025-04-15,2025-04-11,75226.24
0.35,6.0311,5140.0,2025-04-21 10:00:00+05:30,,hold_to_end,2025-04-21 15:30:00+05:30,2025-04-22,18.8,B_intraday_expansion,2025-04,OD_UP,CE,True,SENSEX|weekly|2025-04-22,2025-04-21,79116.94
0.35,68.6354,864.75,2025-04-25 09:40:00+05:30,,trail_stop,2025-04-25 13:00:00+05:30,2025-05-06,162.9,B_intraday_expansion,2025-04,OTD_DN,PE,True,SENSEX|weekly|2025-05-06,2025-04-25,79707.5
0.2,-48.8557,1317.35,2025-05-02 09:40:00+05:30,,hold_to_end,2025-05-02 15:30:00+05:30,2025-05-06,161.8,B_intraday_expansion,2025-05,OTD_UP,CE,False,SENSEX|weekly|2025-05-06,2025-05-02,80969.23
0.35,102.3735,874.25,2025-05-12 09:40:00+05:30,,hold_to_end,2025-05-12 15:30:00+05:30,2025-05-13,687.0,B_intraday_expansion,2025-05,OD_UP,CE,True,SENSEX|weekly|2025-05-13,2025-05-12,81398.19
0.2,-68.8771,386.05,2025-05-15 09:40:00+05:30,,hold_to_end,2025-05-15 15:30:00+05:30,2025-05-20,129.9,B_intraday_expansion,2025-05,OTD_DN,PE,False,SENSEX|weekly|2025-05-20,2025-05-15,80808.93
0.35,-6.4721,1428.45,2025-05-22 09:45:00+05:30,,hold_to_end,2025-05-22 15:30:00+05:30,2025-06-03,46.1,B_intraday_expansion,2025-05,OD_DN,PE,True,SENSEX|weekly|2025-06-03,2025-05-22,80801.37
0.35,29.1496,611.5,2025-05-23 09:40:00+05:30,,hold_to_end,2025-05-23 15:30:00+05:30,2025-06-03,122.2,B_intraday_expansion,2025-05,OTD_UP,CE,True,SENSEX|weekly|2025-06-03,2025-05-23,81418.13
0.2,-3.868,1144.0,2025-05-27 09:40:00+05:30,,hold_to_end,2025-05-27 15:30:00+05:30,2025-06-03,127.8,B_intraday_expansion,2025-05,OTD_DN,PE,False,SENSEX|weekly|2025-06-03,2025-05-27,81507.08
0.2,-28.603,1336.05,2025-06-02 09:40:00+05:30,,hold_to_end,2025-06-02 15:30:00+05:30,2025-06-03,136.5,B_intraday_expansion,2025-06,OD_DN,PE,False,SENSEX|weekly|2025-06-03,2025-06-02,80780.28
0.35,90.7713,118.3,2025-06-12 09:40:00+05:30,,trail_stop,2025-06-12 13:35:00+05:30,2025-06-17,97.5,B_intraday_expansion,2025-06,OTD_DN,PE,True,SENSEX|weekly|2025-06-17,2025-06-12,82374.73
0.35,78.6231,239.3,2025-06-16 09:40:00+05:30,,trail_stop,2025-06-16 10:50:00+05:30,2025-06-17,101.5,B_intraday_expansion,2025-06,OTD_UP,CE,True,SENSEX|weekly|2025-06-17,2025-06-16,81269.15
0.35,39.0726,628.0,2025-06-20 09:45:00+05:30,,trail_stop,2025-06-20 12:35:00+05:30,2025-07-01,44.1,B_intraday_expansion,2025-06,OTD_UP,CE,True,SENSEX|weekly|2025-07-01,2025-06-20,81667.61
0.35,-26.932,1009.95,2025-06-24 09:40:00+05:30,,hold_to_end,2025-06-24 15:30:00+05:30,2025-07-01,122.9,B_intraday_expansion,2025-06,OD_UP,CE,True,SENSEX|weekly|2025-07-01,2025-06-24,82545.23
0.35,35.0242,1334.65,2025-06-26 09:40:00+05:30,,hold_to_end,2025-06-26 15:30:00+05:30,2025-07-01,81.9,B_intraday_expansion,2025-06,OD_UP,CE,True,SENSEX|weekly|2025-07-01,2025-06-26,83125.59
0.2,21.2789,832.75,2025-07-08 09:40:00+05:30,,hold_to_end,2025-07-08 15:30:00+05:30,2025-07-08,54.1,B_intraday_expansion,2025-07,OTD_UP,CE,False,SENSEX|weekly|2025-07-08,2025-07-08,83509.23
0.35,22.7451,434.6,2025-07-10 09:40:00+05:30,,hold_to_end,2025-07-10 15:30:00+05:30,2025-07-15,107.2,B_intraday_expansion,2025-07,OTD_DN,PE,True,SENSEX|weekly|2025-07-15,2025-07-10,83439.58
0.35,-9.6321,1400.0,2025-07-14 09:40:00+05:30,,hold_to_end,2025-07-14 15:30:00+05:30,2025-07-15,65.7,B_intraday_expansion,2025-07,OTD_DN,PE,True,SENSEX|weekly|2025-07-15,2025-07-14,82250.39
