variant_key,group_name,indicator,timeframe,exit_name,expiry_day_only,score,opportunities,win_rate,avg_return_pct,median_return_pct,avg_win_return_pct,avg_loss_return_pct,max_realized_return_pct,avg_holding_minutes,median_holding_minutes,avg_max_possible_return_pct,max_possible_return_pct
weekly_series|series|3m|macd_zero|target_30pct,weekly_series,macd_zero,3m,target_30pct,False,55.990147,262,0.6565,-6.7357,30.0,28.773,-74.5967,30.0,1257.6641,708.0,95.3197,1190.3795
weekly_series|series|3m|macd_zero|trail_after_20pct_dd10pct,weekly_series,macd_zero,3m,trail_after_20pct_dd10pct,False,22.917007,329,0.7204,-1.9994,10.4756,25.3743,-72.5166,250.0857,1002.3465,474.0,91.2147,1190.3795
weekly_series|series|3m|macd_zero|trail_after_30pct_dd15pct,weekly_series,macd_zero,3m,trail_after_30pct_dd15pct,False,28.479851,245,0.6408,0.3552,13.2181,43.0788,-75.8675,359.2858,1422.0367,1104.0,97.6591,1190.3795
weekly_series|series|5m|macd_zero|target_30pct,weekly_series,macd_zero,5m,target_30pct,False,64.069805,263,0.6958,-3.7152,30.0,28.9427,-78.42,30.0,1069.8289,550.0,112.0397,1715.9459
weekly_series|series|5m|macd_zero|trail_after_20pct_dd10pct,weekly_series,macd_zero,5m,trail_after_20pct_dd10pct,False,33.917464,302,0.7384,1.4501,12.4319,28.6896,-75.4411,275.1301,916.5066,417.5,105.7801,1715.9459
weekly_series|series|5m|macd_zero|trail_after_30pct_dd15pct,weekly_series,macd_zero,5m,trail_after_30pct_dd15pct,False,35.181878,252,0.6706,0.0851,15.7453,37.0203,-75.1204,204.8168,1196.4683,760.0,114.3912,1715.9459
weekly_series|series|10m|macd_zero|target_30pct,weekly_series,macd_zero,10m,target_30pct,False,53.178171,196,0.6684,-7.3522,30.0,28.4896,-79.5873,30.0,1116.5816,680.0,116.7996,978.9981
weekly_series|series|10m|macd_zero|trail_after_20pct_dd10pct,weekly_series,macd_zero,10m,trail_after_20pct_dd10pct,False,18.736343,228,0.693,-2.4361,9.9169,27.4265,-69.8402,196.7389,888.5965,390.0,112.2041,978.9981
weekly_series|series|10m|macd_zero|trail_after_30pct_dd15pct,weekly_series,macd_zero,10m,trail_after_30pct_dd15pct,False,25.198973,197,0.6599,-1.5328,13.0567,37.7694,-77.7908,196.7389,1219.8477,860.0,116.7043,978.9981
weekly_series|series|15m|macd_zero|target_30pct,weekly_series,macd_zero,15m,target_30pct,False,50.949085,164,0.6646,-7.4647,30.0,28.7505,-79.2368,30.0,1053.9329,562.5,101.1226,874.4743
weekly_series|series|15m|macd_zero|trail_after_20pct_dd10pct,weekly_series,macd_zero,15m,trail_after_20pct_dd10pct,False,16.67612,181,0.6796,-3.4756,10.1758,27.1431,-68.4083,172.3831,873.895,405.0,93.9894,874.4743
weekly_series|series|15m|macd_zero|trail_after_30pct_dd15pct,weekly_series,macd_zero,15m,trail_after_30pct_dd15pct,False,17.323207,164,0.6341,-4.4397,11.8773,35.6394,-73.9102,196.7389,1183.2622,787.5,101.1226,874.4743
weekly_series|series|30m|macd_zero|target_30pct,weekly_series,macd_zero,30m,target_30pct,False,49.825277,101,0.6733,-4.9989,30.0,28.924,-74.9007,30.0,885.4455,600.0,88.0646,649.4702
weekly_series|series|30m|macd_zero|trail_after_20pct_dd10pct,weekly_series,macd_zero,30m,trail_after_20pct_dd10pct,False,2.771426,105,0.6,-6.9216,6.2652,25.6322,-55.7523,116.25,785.7143,390.0,88.4886,649.4702
weekly_series|series|30m|macd_zero|trail_after_30pct_dd15pct,weekly_series,macd_zero,30m,trail_after_30pct_dd15pct,False,26.719861,101,0.6436,2.7444,13.1313,43.2947,-70.4714,173.75,998.0198,720.0,88.0646,649.4702
weekly_series|series|3m|rsi_50_cross|target_30pct,weekly_series,rsi_50_cross,3m,target_30pct,False,57.522062,270,0.6593,-6.0651,30.0,29.0867,-74.0762,30.0,1308.8333,840.0,96.7289,1180.5
weekly_series|series|3m|rsi_50_cross|trail_after_20pct_dd10pct,weekly_series,rsi_50_cross,3m,trail_after_20pct_dd10pct,False,24.360931,343,0.7172,-1.5655,10.7363,25.5147,-70.2432,194.5415,1050.2536,546.0,93.5144,1180.5
weekly_series|series|3m|rsi_50_cross|trail_after_30pct_dd15pct,weekly_series,rsi_50_cross,3m,trail_after_30pct_dd15pct,False,26.745322,255,0.651,-0.1239,12.4307,40.6803,-76.2306,371.2657,1442.0353,1095.0,96.869,1180.5
weekly_series|series|5m|rsi_50_cross|target_30pct,weekly_series,rsi_50_cross,5m,target_30pct,False,58.278064,269,0.6654,-5.8892,30.0,28.9164,-75.1138,30.0,1246.8216,670.0,97.0102,1163.7163
weekly_series|series|5m|rsi_50_cross|trail_after_20pct_dd10pct,weekly_series,rsi_50_cross,5m,trail_after_20pct_dd10pct,False,22.716417,332,0.7078,-2.3772,10.7944,26.1011,-71.3712,278.0559,1036.5964,502.5,91.8048,1163.7163
weekly_series|series|5m|rsi_50_cross|trail_after_30pct_dd15pct,weekly_series,rsi_50_cross,5m,trail_after_30pct_dd15pct,False,27.345421,250,0.628,-0.0953,13.1978,43.0017,-72.8506,392.0455,1415.82,1035.0,96.4014,1163.7163
weekly_series|series|10m|rsi_50_cross|target_30pct,weekly_series,rsi_50_cross,10m,target_30pct,False,57.449619,248,0.6653,-5.8735,30.0,29.0498,-75.2993,30.0,1156.9758,575.0,93.86,978.9981
weekly_series|series|10m|rsi_50_cross|trail_after_20pct_dd10pct,weekly_series,rsi_50_cross,10m,trail_after_20pct_dd10pct,False,21.174958,287,0.6899,-3.0708,11.0804,27.0716,-70.1292,145.6645,1022.23,540.0,91.7157,978.9981
