bars_to_max,cross_location,entry_histogram,entry_macd,entry_macd_pct,entry_price,entry_signal,entry_time,exit_name,exit_price,exit_reason,exit_time,expiry,expiry_day_only,expiry_kind,group_name,holding_bars,holding_minutes,max_possible_price,max_possible_return_pct,option_type,return_pct,series_id,strike,symbol,timeframe,underlying
0,zero_straddle,0.597932,0.021296,0.025099,84.85,-0.576635,2025-04-03T11:54:00+05:30,trail_after_20pct_dd10pct,50.05,hold_to_end_trail_after_20pct_dd10pct,2025-04-03 15:30:00+05:30,2025-04-03,False,weekly,weekly_series,72,216,86.15,1.5321,CE,-41.0136,NIFTY|weekly|2025-04-03,23200.0,NIFTY 23200 CE 03 APR 25,3m,NIFTY
0,below_zero,0.000507,-0.718794,-27.645927,2.6,-0.719301,2025-04-03T13:57:00+05:30,trail_after_20pct_dd10pct,0.05,hold_to_end_trail_after_20pct_dd10pct,2025-04-03 15:30:00+05:30,2025-04-03,False,weekly,weekly_series,31,93,2.7,3.8462,PE,-98.0769,NIFTY|weekly|2025-04-03,23200.0,NIFTY 23200 PE 03 APR 25,3m,NIFTY
4,below_zero,0.018134,-0.611667,-0.288931,211.7,-0.629801,2025-04-03T11:45:00+05:30,trail_after_20pct_dd10pct,0.05,hold_to_end_trail_after_20pct_dd10pct,2025-04-09 15:30:00+05:30,2025-04-09,False,weekly,weekly_series,579,1737,216.6,2.3146,CE,-99.9764,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 CE 09 APR 25,3m,NIFTY
263,below_zero,0.034079,-3.663095,-3.336152,109.8,-3.697173,2025-04-03T12:03:00+05:30,trail_after_20pct_dd10pct,232.6,trail_after_20pct_dd10pct,2025-04-04 09:30:00+05:30,2025-04-09,False,weekly,weekly_series,75,225,1400.0,1175.0455,PE,111.8397,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,3m,NIFTY
144,zero_straddle,1.004091,0.626643,0.220734,283.89,-0.377448,2025-04-04T11:42:00+05:30,trail_after_20pct_dd10pct,329.0,trail_after_20pct_dd10pct,2025-04-04 15:30:00+05:30,2025-04-09,False,weekly,weekly_series,76,228,1400.0,393.1488,PE,15.89,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,3m,NIFTY
67,above_zero,38.230126,50.014376,5.106374,979.45,11.78425,2025-04-07T09:15:00+05:30,trail_after_20pct_dd10pct,1051.3,trail_after_20pct_dd10pct,2025-04-07 09:21:00+05:30,2025-04-09,False,weekly,weekly_series,2,6,1400.0,42.9374,PE,7.3357,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,3m,NIFTY
12,above_zero,1.290317,21.253678,1.720946,1235.0,19.963361,2025-04-07T12:00:00+05:30,trail_after_20pct_dd10pct,801.2,hold_to_end_trail_after_20pct_dd10pct,2025-04-09 15:30:00+05:30,2025-04-09,False,weekly,weekly_series,322,966,1400.0,13.3603,PE,-35.1255,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,3m,NIFTY
1056,above_zero,0.06072,0.292177,0.098095,297.85,0.231457,2025-04-03T11:48:00+05:30,trail_after_20pct_dd10pct,597.2,trail_after_20pct_dd10pct,2025-04-17 14:15:00+05:30,2025-04-17,False,weekly,weekly_series,1057,3171,671.9,125.5833,CE,100.5036,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 CE 17 APR 25,3m,NIFTY
193,below_zero,0.105802,-2.743674,-1.682719,163.05,-2.849476,2025-04-03T12:12:00+05:30,trail_after_20pct_dd10pct,275.05,trail_after_20pct_dd10pct,2025-04-04 09:30:00+05:30,2025-04-17,False,weekly,weekly_series,72,216,1515.0,829.1628,PE,68.6906,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 PE 17 APR 25,3m,NIFTY
103,above_zero,0.771063,30.66327,8.546062,358.8,29.892207,2025-04-04T10:24:00+05:30,trail_after_20pct_dd10pct,936.2,trail_after_20pct_dd10pct,2025-04-07 09:15:00+05:30,2025-04-17,False,weekly,weekly_series,103,309,1515.0,322.2408,PE,160.9253,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 PE 17 APR 25,3m,NIFTY
