avg_entry_macd_pct,avg_holding_minutes,avg_loss_return_pct,avg_max_possible_return_pct,avg_return_pct,avg_win_return_pct,cross_location,exit_name,expiry_day_only,group_name,max_possible_return_pct,max_realized_return_pct,median_entry_macd_pct,median_holding_minutes,median_return_pct,opportunities,score,timeframe,variant_key,win_rate
0.1393,1276.2,-69.7866,271.7416,-3.3938,40.868,zero_straddle,trail_after_20pct_dd10pct,False,weekly_series,1183.1063,92.4065,0.0728,411.0,13.0402,10,4.574896,3m,weekly_series|series|3m|trail_after_20pct_dd10pct|zero_straddle,0.6
-3.7798,1107.7568,-68.0929,88.7114,0.1647,28.4242,below_zero,trail_after_20pct_dd10pct,False,weekly_series,1175.0455,162.1897,-2.3364,601.5,12.1816,222,19.010624,3m,weekly_series|series|3m|trail_after_20pct_dd10pct|below_zero,0.7072
2.8476,1053.03,-69.7565,78.8608,-5.392,26.3099,above_zero,trail_after_20pct_dd10pct,False,weekly_series,583.8451,160.9253,2.1067,489.0,11.9954,100,4.832877,3m,weekly_series|series|3m|trail_after_20pct_dd10pct|above_zero,0.67
0.2616,1178.0,-59.717,263.9489,63.1267,124.5486,zero_straddle,trail_after_30pct_dd15pct,False,weekly_series,1183.1063,359.2858,0.0538,234.0,17.2267,9,68.72286,3m,weekly_series|series|3m|trail_after_30pct_dd15pct|zero_straddle,0.6667
-4.6658,1435.2792,-75.0688,88.0236,-3.7023,33.9173,below_zero,trail_after_30pct_dd15pct,False,weekly_series,1175.0455,197.0408,-2.5596,1164.0,13.8867,197,11.542409,3m,weekly_series|series|3m|trail_after_30pct_dd15pct|below_zero,0.6548
2.554,1355.4107,-78.6095,102.3554,4.8303,51.1857,above_zero,trail_after_30pct_dd15pct,False,weekly_series,583.8451,197.564,1.6539,985.5,14.189,56,22.285635,3m,weekly_series|series|3m|trail_after_30pct_dd15pct|above_zero,0.6429
-4.4389,1096.5363,-75.6778,92.4173,-2.0771,25.6647,below_zero,trail_after_20pct_dd10pct,False,weekly_series,746.7122,107.5724,-2.4401,605.0,12.0783,179,13.521572,5m,weekly_series|series|5m|trail_after_20pct_dd10pct|below_zero,0.7263
2.423,1278.2883,-75.8004,82.9894,-3.8926,38.2248,above_zero,trail_after_20pct_dd10pct,False,weekly_series,773.7024,308.6448,2.0454,595.0,9.569,111,4.439543,5m,weekly_series|series|5m|trail_after_20pct_dd10pct|above_zero,0.6306
0.2224,659.375,-29.1897,71.4787,7.1658,19.2843,zero_straddle,trail_after_20pct_dd10pct,False,weekly_series,234.1875,34.4595,0.1162,465.0,12.0046,8,14.998233,5m,weekly_series|series|5m|trail_after_20pct_dd10pct|zero_straddle,0.75
-5.0398,1407.5155,-74.0751,87.7621,-0.0764,36.2377,below_zero,trail_after_30pct_dd15pct,False,weekly_series,746.7122,204.6572,-3.049,1210.0,15.7603,161,21.358005,5m,weekly_series|series|5m|trail_after_30pct_dd15pct|below_zero,0.6708
2.336,1596.5333,-84.0324,87.6,-8.6293,50.616,above_zero,trail_after_30pct_dd15pct,False,weekly_series,773.7024,308.6448,2.0943,1045.0,7.4786,75,-5.30185,5m,weekly_series|series|5m|trail_after_30pct_dd15pct|above_zero,0.56
