strategy,series_id,expiry,option_type,entry_time,entry_price,spot_at_entry,exit_time,exit_reason,blended_return,poc,vah,val,ibh,ibl,ppoc,target_override
baseline_both,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_poc_filter,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_ib_breakout,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_va_outside,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_ppoc_target,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 09:15:00+05:30,mp_target_hit,15.0,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,15.0
mp_combo_best,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_poc_target,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 09:15:00+05:30,mp_target_hit,15.0,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,15.0
baseline_both,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,76300.0,76450.0,76250.0,76423.82,75807.55,,0.0
mp_ppoc_filter,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,76300.0,76450.0,76250.0,76423.82,75807.55,,0.0
mp_va_inside,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,76300.0,76450.0,76250.0,76423.82,75807.55,,0.0
mp_ppoc_target,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,76300.0,76450.0,76250.0,76423.82,75807.55,,0.0
mp_fa_reversal,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,76300.0,76450.0,76250.0,76423.82,75807.55,,0.0
mp_poc_target,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-03 15:20:00+05:30,mp_target_hit,15.0,76300.0,76450.0,76250.0,76423.82,75807.55,,15.0
baseline_both,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,74200.0,74700.0,73900.0,74421.65,73797.13,72450.0,0.0
mp_va_inside,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,74200.0,74700.0,73900.0,74421.65,73797.13,72450.0,0.0
mp_ppoc_target,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,74200.0,74700.0,73900.0,74421.65,73797.13,72450.0,15.0
mp_fa_reversal,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,74200.0,74700.0,73900.0,74421.65,73797.13,72450.0,0.0
mp_poc_target,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,74200.0,74700.0,73900.0,74421.65,73797.13,72450.0,15.0
baseline_both,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_poc_filter,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_va_inside,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,0.0
mp_ppoc_target,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:00:00+05:30,mp_target_hit,15.0,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,15.0
mp_poc_target,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:00:00+05:30,mp_target_hit,15.0,72450.0,72850.0,72100.0,73149.12,71425.01,75450.0,15.0
baseline_both,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-08 11:10:00+05:30,196.8,74110.18,2025-04-08 12:25:00+05:30,target_hit,30.0,74200.0,74700.0,73900.0,74421.65,73797.13,72450.0,0.0
