date,poc,vah,val,var,ibh,ibl,ibr,ib_broken_up,ib_broken_dn,fa_up,fa_dn,session_high,session_low,open_price,close_price,total_tpos
2025-04-03,51400,51700,51400,300,51437.7,50906.65,531.0499999999956,True,False,False,False,51661.6,50906.65,50910.0,51581.55,463
2025-04-04,51600,51700,51500,200,51893.6,51474.85,418.75,False,True,False,True,51893.6,51360.4,51711.6,51515.25,447
2025-04-07,49500,50000,49200,800,50426.25,49242.25,1184.0,False,True,False,True,50426.25,49156.95,49336.1,49985.95,583
2025-04-08,50500,50700,50300,400,50793.7,50261.45,532.25,False,True,False,True,50793.7,50030.8,50388.55,50575.1,557
2025-04-09,50200,50300,50100,200,50496.9,50144.1,352.8000000000029,False,True,False,True,50496.9,49910.85,50487.1,50283.75,490
2025-04-11,50900,51200,50900,300,51066.55,50634.1,432.45000000000437,True,False,True,False,51244.7,50634.1,50634.1,51007.55,483
2025-04-15,52300,52400,52200,200,52299.0,51863.3,435.6999999999971,True,False,False,False,52486.35,51863.3,52299.0,52415.15,436
2025-04-16,52700,53100,52700,400,52821.05,52471.35,349.70000000000437,True,False,False,False,53164.45,52471.35,52690.9,53109.25,488
2025-04-17,54300,54400,53300,1100,53525.15,53084.9,440.25,True,False,False,False,54407.2,53084.9,53153.75,54252.05,480
2025-04-21,55300,55500,55200,300,55291.05,54674.95,616.1000000000058,True,False,False,False,55461.65,54674.95,54891.25,55295.5,485
2025-04-22,55700,55900,55600,300,55705.55,55243.55,462.0,True,False,True,False,55961.2,55243.55,55414.3,55559.2,485
2025-04-23,55300,55500,55200,300,56098.7,55339.05,759.6499999999942,False,True,False,False,56098.7,55162.5,56097.1,55318.9,502
2025-04-24,55300,55400,55300,100,55550.45,55086.55,463.8999999999942,False,False,False,False,55550.45,55086.55,55103.9,55130.9,431
2025-04-25,54600,54800,54300,500,55350.55,54480.35,870.2000000000044,False,True,False,True,55350.55,54176.45,55233.55,54552.45,513
2025-04-28,55400,55500,55200,300,55293.55,54582.35,711.2000000000044,True,False,False,False,55577.4,54582.35,54610.3,55428.1,481
2025-04-29,55400,55500,55300,200,55957.75,55473.7,484.0500000000029,False,True,False,False,55957.75,55262.4,55524.35,55301.1,478
2025-04-30,55100,55300,55100,200,55478.25,55093.2,385.0500000000029,False,True,False,False,55478.25,54723.7,55382.4,54961.45,461
2025-05-02,55100,55600,55000,600,55691.95,55099.05,592.8999999999942,False,True,False,False,55691.95,54994.4,55100.95,55055.15,479
2025-05-05,54900,55100,54800,300,55345.5,54891.35,454.15000000000146,False,True,False,True,55345.5,54786.5,55065.8,54907.2,480
2025-05-06,54500,54700,54400,300,55036.95,54600.15,436.79999999999563,False,True,False,False,55036.95,54172.95,54918.25,54183.85,473
