alloc,blended_return,buyer_fail,day_type,direction,entry_price,entry_time,entry_vwap,exit_price,exit_reason,exit_time,expiry,month,mp_reason,opt_type,peak_price,poc_rev,seller_fail,signal_date,trade_date,tte
0.2,-10.8911,2.0,NORMAL_VAR_DN,PE,3211.8,2025-04-07 09:30:00+05:30,2990.66,2862.0,vwap_stop,2025-04-07 09:34:00+05:30,2025-04-08,2025-04,NORMAL_VAR_DN,PE,3211.8,False,0.0,2025-04-04,2025-04-07,1
0.2,-12.6426,2.0,NORMAL_VAR_UP,CE,688.15,2025-04-15 09:31:00+05:30,676.2,601.15,vwap_stop,2025-04-15 09:34:00+05:30,2025-04-15,2025-04,NORMAL_VAR_UP,CE,707.7,False,1.0,2025-04-11,2025-04-15,0
0.35,-4.8075,0.0,NORMAL,CE,2796.65,2025-04-16 09:35:00+05:30,2720.47,2662.2,vwap_stop,2025-04-16 10:25:00+05:30,2025-04-22,2025-04,NORM+SF+SF4,CE,2915.35,False,5.0,2025-04-15,2025-04-16,6
0.35,6.6536,1.0,FAILED_AUCTION,CE,2815.0,2025-04-17 09:43:00+05:30,2701.27,3002.3,vwap_stop,2025-04-17 09:57:00+05:30,2025-04-22,2025-04,FA_DN+IB_DN_FAIL+SF4,CE,3099.5,False,7.0,2025-04-16,2025-04-17,5
0.35,13.5038,0.0,TREND_UP,CE,4801.6,2025-04-21 09:46:00+05:30,4801.07,5450.0,session_close,2025-04-21 15:29:00+05:30,2025-04-22,2025-04,TREND_UP,CE,5484.25,False,0.0,2025-04-17,2025-04-21,1
0.2,-2.4603,0.0,NORMAL_VAR_UP,CE,5741.25,2025-04-22 11:08:00+05:30,5733.36,5600.0,vwap_stop,2025-04-22 11:28:00+05:30,2025-04-22,2025-04,NORMAL_VAR_UP,CE,5741.25,False,1.0,2025-04-21,2025-04-22,0
0.35,-10.7302,0.0,NORMAL_VAR_DN,PE,794.95,2025-04-24 09:30:00+05:30,778.65,709.65,vwap_stop,2025-04-24 09:34:00+05:30,2025-05-06,2025-04,NORMAL_VAR_DN,PE,794.95,True,5.0,2025-04-23,2025-04-24,12
0.2,34.2866,1.0,NORMAL_VAR_DN,PE,765.75,2025-04-25 09:30:00+05:30,762.63,1028.3,vwap_stop,2025-04-25 14:01:00+05:30,2025-05-06,2025-04,NORMAL_VAR_DN,PE,1600.0,False,0.0,2025-04-24,2025-04-25,11
0.2,-4.5714,0.0,NORMAL_VAR_DN,PE,866.25,2025-04-28 09:53:00+05:30,860.45,826.65,vwap_stop,2025-04-28 09:56:00+05:30,2025-05-06,2025-04,NORMAL_VAR_DN,PE,866.25,False,2.0,2025-04-25,2025-04-28,8
0.2,-3.1274,0.0,NORMAL_VAR_UP,CE,1060.0,2025-04-29 09:31:00+05:30,1057.75,1026.85,vwap_stop,2025-04-29 09:37:00+05:30,2025-05-06,2025-04,NORMAL_VAR_UP,CE,1110.0,False,2.0,2025-04-28,2025-04-29,7
