exp,opt_type,entry_date,month,entry_time,ep,spot_poc_rev,ibr,ibr_tgt_pct,ibr_sl_pct,rA,rB,rC,reason_B,reason_C,poc_alloc
2025-04-08,CE,2025-04-07,2025-04,2025-04-07 15:10:00+05:30,30.25,False,33.2,134.5,-80.0,-99.8347,-80.0,18.3223,hard_sl,trail_stop,0.1
2025-04-08,PE,2025-04-03,2025-04,2025-04-03 14:30:00+05:30,332.05,True,209.6,126.5,-62.9,30.0,126.52612558349642,56.4142,target_hit,trail_stop,0.35
2025-04-08,PE,2025-04-08,2025-04,2025-04-08 15:05:00+05:30,1892.9,True,582.8,50.1,-42.2,-0.8188,-0.8188,-0.8188,end,hold_to_end,0.35
2025-04-15,CE,2025-04-07,2025-04,2025-04-07 14:30:00+05:30,135.1,False,242.2,317.8,-80.0,30.0,317.7646188008882,133.433,target_hit,trail_stop,0.1
2025-04-15,CE,2025-04-08,2025-04,2025-04-08 11:10:00+05:30,196.8,True,128.8,107.3,-80.0,30.0,107.31707317073167,38.0635,target_hit,trail_stop,0.35
2025-04-15,CE,2025-04-09,2025-04,2025-04-09 15:10:00+05:30,130.7,False,205.4,285.9,-80.0,30.0,285.9219586840092,126.2135,target_hit,trail_stop,0.1
2025-04-15,CE,2025-04-11,2025-04,2025-04-11 14:55:00+05:30,273.55,False,160.4,83.7,-80.0,30.0,83.65929446170716,80.5701,target_hit,trail_stop,0.1
2025-04-15,PE,2025-04-03,2025-04,2025-04-03 14:30:00+05:30,470.3,True,124.6,56.3,-23.2,30.0,56.347012545183915,45.7848,target_hit,trail_stop,0.35
2025-04-15,PE,2025-04-09,2025-04,2025-04-09 09:15:00+05:30,2462.3,False,0.0,30.0,-50.0,-99.998,-99.998,-99.998,end,end,0.1
2025-04-22,CE,2025-04-09,2025-04,2025-04-09 12:15:00+05:30,1171.25,False,407.2,61.7,-42.6,30.0,61.74172892209179,46.2581,target_hit,trail_stop,0.1
2025-04-22,CE,2025-04-15,2025-04,2025-04-15 09:25:00+05:30,2955.45,True,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.35
2025-04-22,PE,2025-04-09,2025-04,2025-04-09 13:50:00+05:30,1134.85,True,238.8,34.4,-28.7,-99.9956,-28.66458122218795,-28.6646,hard_sl,hard_sl_ibr,0.35
2025-05-06,CE,2025-04-23,2025-04,2025-04-23 09:15:00+05:30,909.05,False,0.0,30.0,-50.0,30.0,30.0,30.0,target_hit,target_hit,0.1
2025-05-06,CE,2025-05-02,2025-05,2025-05-02 13:45:00+05:30,918.5,False,684.5,134.6,-80.0,-30.0163,-30.0163,-30.0163,end,hold_to_end,0.1
2025-05-06,PE,2025-04-22,2025-04,2025-04-22 12:45:00+05:30,984.45,True,290.2,37.7,-50.8,30.0,37.68093859515466,2.0132,target_hit,trail_stop,0.35
2025-05-06,PE,2025-04-25,2025-04,2025-04-25 15:30:00+05:30,1286.0,False,784.1,74.0,-80.0,-99.9961,-80.0,-99.9961,hard_sl,hold_to_end,0.1
2025-05-13,CE,2025-04-29,2025-04,2025-04-29 13:10:00+05:30,893.3,False,21.1,15.0,-3.2,30.0,-3.173625881562748,-3.1736,hard_sl,hard_sl_ibr,0.1
