series_id,date,option_type,poc,vah,val,ibh,ibl,ibr,ib_open,ib_ext_up,ib_ext_dn,ext_up_pct,ext_dn_pct,session_high,session_low,day_range,fa_up,fa_dn,ibr_target_pct
SENSEX|weekly|2025-04-08,2025-04-03,PE,320.0,420.0,290.0,542.54,332.9,209.64,449.95,False,True,0.0,13.19,542.54,289.0,253.53999999999996,False,True,67.17
SENSEX|weekly|2025-04-08,2025-04-04,PE,710.0,880.0,610.0,800.8,398.95,401.84999999999997,398.95,True,False,17.68,0.0,942.35,398.95,543.4000000000001,False,False,201.45
SENSEX|weekly|2025-04-08,2025-04-07,PE,3360.0,4010.0,3040.0,4000.0,1950.0,2050.0,2000.0,True,False,2.44,0.0,4097.6,1950.0,2147.6000000000004,True,False,202.5
SENSEX|weekly|2025-04-08,2025-04-08,PE,1740.0,2170.0,1360.0,2258.75,1675.95,582.8,1675.95,True,True,17.7,27.62,2658.65,1213.0,1445.65,True,True,69.55
SENSEX|weekly|2025-04-15,2025-04-03,PE,460.0,540.0,430.0,610.65,486.0,124.64999999999998,592.7,False,True,0.0,11.95,610.65,427.9,182.75,False,True,24.06
SENSEX|weekly|2025-04-15,2025-04-04,PE,860.0,970.0,750.0,905.0,651.25,253.75,662.4,True,False,12.6,0.0,1019.05,651.25,367.79999999999995,True,False,74.93
SENSEX|weekly|2025-04-15,2025-04-07,PE,3180.0,3780.0,2790.0,3283.65,2200.0,1083.65,2200.0,True,False,15.09,0.0,3779.3,2200.0,1579.3000000000002,False,False,98.51
SENSEX|weekly|2025-04-15,2025-04-08,PE,2360.0,2380.0,2000.0,2373.8,2280.5,93.30000000000018,2300.0,False,True,0.0,19.88,2373.8,1827.25,546.5500000000002,False,False,7.27
SENSEX|weekly|2025-04-15,2025-04-09,PE,2280.0,2530.0,2260.0,2779.3,2260.25,519.0500000000002,2779.3,False,False,0.0,0.0,2779.3,2260.25,519.0500000000002,False,False,18.68
SENSEX|weekly|2025-04-15,2025-04-11,PE,1100.0,1250.0,950.0,1213.9,971.05,242.85000000000014,1172.65,True,True,17.34,13.39,1424.4,841.0,583.4000000000001,True,True,24.23
SENSEX|weekly|2025-04-15,2025-04-15,PE,0.0,230.0,0.0,403.75,18.45,385.3,403.75,False,True,0.0,99.73,403.75,0.05,403.7,False,False,95.43
SENSEX|weekly|2025-04-22,2025-04-09,PE,1110.0,1190.0,1100.0,1287.05,1048.3,238.75,1100.0,False,False,0.0,0.0,1287.05,1048.3,238.75,False,False,38.71
SENSEX|weekly|2025-04-22,2025-04-11,PE,530.0,620.0,450.0,687.7,300.0,387.70000000000005,500.05,False,False,0.0,0.0,687.7,300.0,387.70000000000005,False,False,115.06
SENSEX|weekly|2025-04-22,2025-04-15,PE,90.0,150.0,70.0,249.95,90.0,159.95,219.65,False,True,0.0,18.89,249.95,73.0,176.95,False,False,86.62
SENSEX|weekly|2025-04-22,2025-04-16,PE,40.0,60.0,40.0,87.2,39.3,47.900000000000006,87.2,False,True,0.0,7.38,87.2,36.4,50.800000000000004,False,True,54.93
SENSEX|weekly|2025-04-22,2025-04-17,PE,20.0,40.0,20.0,45.4,20.3,25.099999999999998,43.9,False,True,0.0,13.55,45.4,17.55,27.849999999999998,False,False,60.59
SENSEX|weekly|2025-04-22,2025-04-21,PE,0.0,10.0,0.0,9.95,2.5,7.449999999999999,9.85,False,True,0.0,12.0,9.95,2.2,7.749999999999999,False,True,76.65
