strategy,series_id,expiry,option_type,entry_time,entry_price,spot_px,exit_time,exit_reason,blended_return,alloc,target_used,opt_ibh,opt_poc,opt_ib_ext_up,ibr_tgt_pct,spot_poc_rev
baseline_both,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,0.2,30.0,37.7,20.0,False,134.5,False
opt_ib_ext_alloc,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,0.1,30.0,37.7,20.0,False,134.5,False
opt_poc_alloc,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,0.1,30.0,37.7,20.0,False,134.5,False
opt_ib_ext_ibr_tgt,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,0.1,30.0,37.7,20.0,False,134.5,False
spot_poc_alloc,SENSEX|weekly|2025-04-08,2025-04-08,CE,2025-04-07 15:10:00+05:30,30.25,73181.14,2025-04-08 15:30:00+05:30,hold_to_end,-99.8347,0.1,30.0,37.7,20.0,False,134.5,False
baseline_both,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,0.2,30.0,542.54,320.0,False,126.5,True
opt_ib_ext_alloc,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,0.1,30.0,542.54,320.0,False,126.5,True
opt_poc_alloc,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,0.1,30.0,542.54,320.0,False,126.5,True
opt_ib_ext_ibr_tgt,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,0.1,30.0,542.54,320.0,False,126.5,True
spot_poc_alloc,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-03 14:30:00+05:30,332.05,76303.53,2025-04-04 09:15:00+05:30,target_hit,30.0,0.35,30.0,542.54,320.0,False,126.5,True
baseline_both,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,0.2,30.0,2258.75,1740.0,True,50.1,True
opt_ib_ext_alloc,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,0.35,30.0,2258.75,1740.0,True,50.1,True
opt_poc_alloc,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,0.1,30.0,2258.75,1740.0,True,50.1,True
opt_ib_ext_ibr_tgt,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,0.35,50.1,2258.75,1740.0,True,50.1,True
spot_poc_alloc,SENSEX|weekly|2025-04-08,2025-04-08,PE,2025-04-08 15:05:00+05:30,1892.9,74213.18,2025-04-08 15:30:00+05:30,hold_to_end,-0.8188,0.35,30.0,2258.75,1740.0,True,50.1,True
baseline_both,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,0.2,30.0,322.2,110.0,False,317.8,False
opt_ib_ext_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,0.1,30.0,322.2,110.0,False,317.8,False
opt_poc_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,0.1,30.0,322.2,110.0,False,317.8,False
opt_ib_ext_ibr_tgt,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,0.1,30.0,322.2,110.0,False,317.8,False
spot_poc_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-07 14:30:00+05:30,135.1,72608.1,2025-04-07 15:10:00+05:30,target_hit,30.0,0.1,30.0,322.2,110.0,False,317.8,False
baseline_both,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-08 11:10:00+05:30,196.8,74110.18,2025-04-08 12:25:00+05:30,target_hit,30.0,0.2,30.0,279.15,240.0,True,107.3,True
opt_ib_ext_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-08 11:10:00+05:30,196.8,74110.18,2025-04-08 12:25:00+05:30,target_hit,30.0,0.35,30.0,279.15,240.0,True,107.3,True
opt_poc_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-08 11:10:00+05:30,196.8,74110.18,2025-04-08 12:25:00+05:30,target_hit,30.0,0.35,30.0,279.15,240.0,True,107.3,True
opt_ib_ext_ibr_tgt,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-08 11:10:00+05:30,196.8,74110.18,2025-04-15 09:15:00+05:30,target_hit,107.31707317073167,0.35,107.3,279.15,240.0,True,107.3,True
spot_poc_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-08 11:10:00+05:30,196.8,74110.18,2025-04-08 12:25:00+05:30,target_hit,30.0,0.35,30.0,279.15,240.0,True,107.3,True
baseline_both,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-09 15:10:00+05:30,130.7,73863.19,2025-04-11 09:15:00+05:30,target_hit,30.0,0.2,30.0,299.0,110.0,False,285.9,False
opt_ib_ext_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-09 15:10:00+05:30,130.7,73863.19,2025-04-11 09:15:00+05:30,target_hit,30.0,0.1,30.0,299.0,110.0,False,285.9,False
opt_poc_alloc,SENSEX|weekly|2025-04-15,2025-04-15,CE,2025-04-09 15:10:00+05:30,130.7,73863.19,2025-04-11 09:15:00+05:30,target_hit,30.0,0.1,30.0,299.0,110.0,False,285.9,False
