avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_delta_pct,median_return_pct,min_return_pct,opportunities,positive_underlyings,regime_model,score,spot_timeframe,timeframe,win_rate,win_rate_delta_pct
104.1774,-58.1474,,-14.4835,9.5317,monthly_expiry_day,100.0,10.0,24.5,,10.0,-99.9858,62,0,unfiltered,-10.002261,baseline,1m,0.6452,
76.6957,-9.728,,4.0034,8.8497,monthly_expiry_day,100.0,10.0,24.0,,10.0,-22.0081,23,2,unfiltered,22.318539,baseline,3m,0.7391,
99.6154,-32.6135,,-13.693,8.3808,monthly_expiry_day,100.0,10.0,100.0,,-0.2588,-97.6744,13,1,unfiltered,-6.012993,baseline,5m,0.4615,
2978.4211,-69.8288,,-7.9576,30.2183,monthly_series,100.0,158.0537,1290.0,,9.7707,-99.998,76,0,unfiltered,-1.501739,baseline,10m,0.6184,
2890.5405,-62.7539,,-8.5071,30.601,monthly_series,100.0,149.5619,1312.5,,8.984,-99.998,74,0,unfiltered,-2.782738,baseline,15m,0.5811,
2465.6897,-62.5854,,-2.5071,26.7618,monthly_series,100.0,80.3803,930.0,,10.0668,-99.998,58,1,unfiltered,11.706747,baseline,30m,0.6724,
3060.8313,-65.2272,,-2.9433,32.3118,monthly_series,100.0,191.6225,1266.0,,9.4066,-99.9986,83,1,unfiltered,10.810632,baseline,3m,0.6386,
2781.2644,-70.1163,,-2.2177,30.0053,monthly_series,100.0,191.0163,1080.0,,10.7875,-99.9977,87,0,unfiltered,8.097742,baseline,5m,0.6782,
77.6582,-56.9695,,-7.956,9.7903,weekly_expiry_day,100.0,10.0,20.0,,10.0,-99.9762,237,0,unfiltered,-1.92048,baseline,1m,0.7342,
70.4571,-37.5997,,-6.8533,9.8763,weekly_expiry_day,100.0,10.0,33.0,,10.0,-99.9681,105,0,unfiltered,0.22152,baseline,3m,0.6476,
57.9245,-20.0005,,-0.7272,9.1847,weekly_expiry_day,100.0,10.0,25.0,,10.0,-98.8372,53,1,unfiltered,13.530947,baseline,5m,0.6604,
888.5965,-69.8402,,-2.4361,27.4265,weekly_series,100.0,196.7389,390.0,,9.9169,-99.9979,228,1,unfiltered,16.014458,baseline,10m,0.693,
873.895,-68.4083,,-3.4756,27.1431,weekly_series,100.0,172.3831,405.0,,10.1758,-99.9979,181,0,unfiltered,6.449882,baseline,15m,0.6796,
785.7143,-55.7523,,-6.9216,25.6322,weekly_series,100.0,116.25,390.0,,6.2652,-99.9971,105,0,unfiltered,-3.547889,baseline,30m,0.6,
1002.3465,-72.5166,,-1.9994,25.3743,weekly_series,100.0,250.0857,474.0,,10.4756,-99.998,329,0,unfiltered,11.140834,baseline,3m,0.7204,
916.5066,-75.4411,,1.4501,28.6896,weekly_series,100.0,275.1301,417.5,,12.4319,-99.998,302,2,unfiltered,38.292735,baseline,5m,0.7384,
129.8182,-57.3302,-3.9122,-18.3957,8.559,monthly_expiry_day,35.48,10.0,96.5,-4.6037,5.3963,-99.9858,22,0,ema_alignment,-13.542117,15m,1m,0.5909,-5.43
68.3333,-11.644,1.1868,5.1902,10.0,monthly_expiry_day,39.13,10.0,30.0,0.0,10.0,-12.8432,9,2,ema_alignment,18.079826,15m,3m,0.7778,3.87
112.5,-64.7873,-13.7006,-27.3936,10.0,monthly_expiry_day,46.15,10.0,107.5,5.1294,4.8706,-97.6744,6,1,ema_alignment,-9.721855,15m,5m,0.5,3.85
2002.2222,-59.3326,6.226,-1.7316,39.412,monthly_series,47.37,158.0537,1035.0,0.0,9.7707,-99.998,36,1,ema_alignment,9.591739,15m,10m,0.5833,-3.51
2090.625,-55.204,9.2515,0.7444,38.0434,monthly_series,54.05,149.5619,1200.0,1.9291,10.9131,-99.998,40,1,ema_alignment,13.796184,15m,15m,0.6,1.89
2364.7059,-65.5603,4.1755,1.6684,27.1064,monthly_series,87.93,80.3803,930.0,0.5605,10.6273,-99.998,51,1,ema_alignment,18.787173,15m,30m,0.7255,5.31
2832.3659,-68.3341,8.4944,5.5511,43.862,monthly_series,49.4,191.6225,1224.0,1.3872,10.7938,-99.9986,41,1,ema_alignment,21.052053,15m,3m,0.6585,1.99
2272.1951,-66.0647,8.4708,6.2531,36.1777,monthly_series,47.13,191.0163,955.0,2.0071,12.7946,-99.9966,41,2,ema_alignment,30.678703,15m,5m,0.7073,2.91
91.9867,-30.8602,5.0538,-2.9022,9.4639,weekly_expiry_day,31.65,10.0,48.0,0.0,10.0,-99.9762,75,1,ema_alignment,12.156812,15m,1m,0.6933,-4.09
77.7907,-22.4673,3.1571,-3.6962,9.8191,weekly_expiry_day,40.95,10.0,39.0,0.0,10.0,-99.6904,43,0,ema_alignment,3.634391,15m,3m,0.5814,-6.62
70.0,-6.0774,2.3456,1.6184,8.1303,weekly_expiry_day,45.28,10.0,45.0,-8.7376,1.2624,-21.1212,24,1,ema_alignment,5.668725,15m,5m,0.5417,-11.87
939.4444,-67.166,1.1891,-1.247,29.0402,weekly_series,47.37,196.7389,460.0,-2.4388,7.4781,-99.9953,108,0,ema_alignment,6.409206,15m,10m,0.6852,-0.78
750.5941,-67.1827,8.3372,4.8616,29.8369,weekly_series,55.8,172.3831,330.0,2.2927,12.4685,-99.9979,101,2,ema_alignment,37.074707,15m,15m,0.7426,6.3
791.5625,-58.8181,-0.541,-7.4626,24.7434,weekly_series,91.43,116.25,375.0,0.2596,6.5248,-99.9971,96,0,ema_alignment,-4.070154,15m,30m,0.6146,1.46
