avg_holding_minutes,avg_loss_return_pct,avg_return_delta_pct,avg_return_pct,avg_win_return_pct,group_name,kept_pct,max_return_pct,median_holding_minutes,median_return_pct,min_return_pct,opportunities,regime_model,spot_timeframe,timeframe,underlying,win_rate
73.15,-60.534,,-11.6365,9.3196,monthly_expiry_day,100.0,10.0,8.5,10.0,-99.9521,20,unfiltered,baseline,1m,NIFTY,0.7
118.9524,-57.2524,,-15.8392,9.6459,monthly_expiry_day,100.0,10.0,54.0,10.0,-99.9858,42,unfiltered,baseline,1m,SENSEX,0.619
84.0,-0.4214,,6.6231,8.032,monthly_expiry_day,100.0,10.0,55.5,10.0,-0.4214,6,unfiltered,baseline,3m,NIFTY,0.8333
74.1176,-11.5893,,3.0787,9.1904,monthly_expiry_day,100.0,10.0,24.0,10.0,-22.0081,17,unfiltered,baseline,3m,SENSEX,0.7059
106.25,-0.5392,,4.7304,10.0,monthly_expiry_day,100.0,10.0,102.5,4.8706,-0.8195,4,unfiltered,baseline,5m,NIFTY,0.5
96.6667,-45.4433,,-21.8813,7.5713,monthly_expiry_day,100.0,10.0,90.0,-1.0155,-97.6744,9,unfiltered,baseline,5m,SENSEX,0.4444
4276.4706,-86.3201,,-7.0359,36.21,monthly_series,100.0,149.5502,1730.0,16.1019,-99.9941,17,unfiltered,baseline,10m,NIFTY,0.6471
2604.4068,-65.5267,,-8.2231,28.3875,monthly_series,100.0,158.0537,1100.0,9.2924,-99.998,59,unfiltered,baseline,10m,SENSEX,0.6102
4503.75,-74.2723,,-8.94,41.874,monthly_series,100.0,149.5619,1657.5,13.8218,-99.9944,16,unfiltered,baseline,15m,NIFTY,0.5625
2445.5172,-59.3944,,-8.3877,27.617,monthly_series,100.0,144.127,1057.5,8.4497,-99.998,58,unfiltered,baseline,15m,SENSEX,0.5862
4305.0,-79.9407,,-24.1238,15.7454,monthly_series,100.0,40.3622,1800.0,0.9824,-99.9944,12,unfiltered,baseline,30m,NIFTY,0.5833
1985.8696,-56.3871,,3.132,29.1716,monthly_series,100.0,80.3803,870.0,10.5023,-99.998,46,unfiltered,baseline,30m,SENSEX,0.6957
4588.9412,-83.7194,,1.8768,48.5656,monthly_series,100.0,191.6225,2106.0,9.2737,-99.9946,17,unfiltered,baseline,3m,NIFTY,0.6471
2667.2273,-60.6042,,-4.1848,28.0548,monthly_series,100.0,172.1161,1075.5,9.4885,-99.9986,66,unfiltered,baseline,3m,SENSEX,0.6364
3741.25,-86.3222,,-0.8159,35.8297,monthly_series,100.0,144.4495,1595.0,14.9034,-99.9937,20,unfiltered,baseline,5m,NIFTY,0.7
2494.7015,-65.6965,,-2.6362,28.1932,monthly_series,100.0,191.0163,955.0,9.4066,-99.9977,67,unfiltered,baseline,5m,SENSEX,0.6716
74.8974,-62.0569,,-5.9434,9.6948,weekly_expiry_day,100.0,10.0,14.5,10.0,-99.9759,78,unfiltered,baseline,1m,NIFTY,0.7821
79.0126,-55.0894,,-8.9433,9.8418,weekly_expiry_day,100.0,10.0,23.0,10.0,-99.9762,159,unfiltered,baseline,1m,SENSEX,0.7107
71.2727,-46.6954,,-12.3346,10.0,weekly_expiry_day,100.0,10.0,39.0,10.0,-99.9681,33,unfiltered,baseline,3m,NIFTY,0.6061
70.0833,-32.6728,,-4.3411,9.8248,weekly_expiry_day,100.0,10.0,30.0,10.0,-99.5192,72,unfiltered,baseline,3m,SENSEX,0.6667
61.4706,-30.4609,,-4.847,9.1242,weekly_expiry_day,100.0,10.0,10.0,10.0,-97.5,17,unfiltered,baseline,5m,NIFTY,0.6471
56.25,-14.7702,,1.2182,9.2125,weekly_expiry_day,100.0,10.0,27.5,10.0,-98.8372,36,unfiltered,baseline,5m,SENSEX,0.6667
