entry_time,entry_price,return_pct,exit_reason,max_possible,option_type,exp
2025-04-07 15:10:00+05:30,30.25,-50.0,sl,25.62,CE,2025-04-08
2025-04-08 12:45:00+05:30,8.6,-50.0,sl,32.56,CE,2025-04-08
2025-04-03 14:30:00+05:30,332.05,50.0,target,1134.03,PE,2025-04-08
2025-04-08 15:05:00+05:30,1892.9,-0.8188,end,0.13,PE,2025-04-08
2025-04-07 14:30:00+05:30,135.1,50.0,target,467.02,CE,2025-04-15
2025-04-08 11:10:00+05:30,196.8,50.0,target,289.25,CE,2025-04-15
2025-04-09 15:10:00+05:30,130.7,50.0,target,486.11,CE,2025-04-15
2025-04-11 14:55:00+05:30,273.55,50.0,target,180.04,CE,2025-04-15
2025-04-03 14:30:00+05:30,470.3,50.0,target,703.59,PE,2025-04-15
2025-04-09 09:15:00+05:30,2462.3,-50.0,sl,12.87,PE,2025-04-15
2025-04-11 13:50:00+05:30,1114.35,-50.0,sl,27.82,PE,2025-04-15
2025-04-09 12:15:00+05:30,1171.25,50.0,target,392.47,CE,2025-04-22
2025-04-15 09:25:00+05:30,2955.45,50.0,target,95.17,CE,2025-04-22
2025-04-09 13:50:00+05:30,1134.85,-50.0,sl,4.19,PE,2025-04-22
2025-04-11 13:55:00+05:30,522.3,-50.0,sl,18.79,PE,2025-04-22
2025-04-16 13:40:00+05:30,54.6,-50.0,sl,1.56,PE,2025-04-22
2025-04-17 13:50:00+05:30,32.4,-50.0,sl,21.76,PE,2025-04-22
2025-04-23 09:15:00+05:30,909.05,-50.0,sl,61.71,CE,2025-05-06
2025-04-25 13:10:00+05:30,528.3,50.0,target,178.25,CE,2025-05-06
2025-04-28 15:25:00+05:30,910.95,50.0,target,61.37,CE,2025-05-06
2025-05-02 13:45:00+05:30,918.5,-30.0163,end,21.28,CE,2025-05-06
2025-04-22 12:45:00+05:30,984.45,50.0,target,62.53,PE,2025-05-06
2025-04-25 15:30:00+05:30,1286.0,-50.0,sl,2.68,PE,2025-05-06
2025-04-28 14:45:00+05:30,678.7,-50.0,sl,2.83,PE,2025-05-06
2025-05-02 11:45:00+05:30,317.45,-50.0,sl,48.39,PE,2025-05-06
2025-04-29 13:10:00+05:30,893.3,50.0,target,143.46,CE,2025-05-13
2025-05-02 13:45:00+05:30,966.0,-50.0,sl,125.13,CE,2025-05-13
2025-05-07 09:20:00+05:30,717.65,-50.0,sl,203.04,CE,2025-05-13
2025-05-12 09:15:00+05:30,575.1,50.0,target,278.16,CE,2025-05-13
2025-04-29 12:25:00+05:30,1106.35,-50.0,sl,58.75,PE,2025-05-13
2025-05-08 13:30:00+05:30,468.7,50.0,target,274.72,PE,2025-05-13
2025-05-13 10:40:00+05:30,71.05,-50.0,sl,36.17,PE,2025-05-13
2025-05-06 13:40:00+05:30,1037.55,-50.0,sl,119.97,CE,2025-05-20
2025-05-12 09:20:00+05:30,1121.15,50.0,target,103.57,CE,2025-05-20
2025-05-14 09:30:00+05:30,1286.1,50.0,target,70.67,CE,2025-05-20
2025-05-16 12:55:00+05:30,1873.8,-50.0,sl,2.63,CE,2025-05-20
2025-05-06 15:25:00+05:30,908.55,50.0,target,91.23,PE,2025-05-20
2025-05-13 13:30:00+05:30,524.95,-50.0,sl,3.68,PE,2025-05-20
2025-05-15 12:00:00+05:30,388.7,-50.0,sl,1.88,PE,2025-05-20
