strategy,underlying,expiry_kind,expiry,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,blended_return,max_possible_return,ladder_exits,remaining_at_exit
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-09,CE,2025-04-07 14:50:00+05:30,11.6,2025-04-07 15:10:00+05:30,16.94,trail_stop,41.0172,161.2069,30.0|40.0|50.0,0.5
target_30pct,NIFTY,weekly,2025-04-09,CE,2025-04-07 14:50:00+05:30,11.6,2025-04-07 15:10:00+05:30,15.08,target_30pct_hit,30.0,161.2069,,0.0
target_50pct,NIFTY,weekly,2025-04-09,CE,2025-04-07 14:50:00+05:30,11.6,2025-04-07 15:10:00+05:30,17.4,target_50pct_hit,50.0,161.2069,,0.0
target_75pct,NIFTY,weekly,2025-04-09,CE,2025-04-07 14:50:00+05:30,11.6,2025-04-08 09:15:00+05:30,20.3,target_75pct_hit,75.0,161.2069,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-09,CE,2025-04-08 12:00:00+05:30,11.35,2025-04-08 12:10:00+05:30,15.065,trail_stop,32.6388,166.9604,30.0|40.0,0.6
target_30pct,NIFTY,weekly,2025-04-09,CE,2025-04-08 12:00:00+05:30,11.35,2025-04-08 12:10:00+05:30,14.755,target_30pct_hit,30.0,166.9604,,0.0
target_50pct,NIFTY,weekly,2025-04-09,CE,2025-04-08 12:00:00+05:30,11.35,2025-04-08 12:35:00+05:30,17.025,target_50pct_hit,50.0,166.9604,,0.0
target_75pct,NIFTY,weekly,2025-04-09,CE,2025-04-08 12:00:00+05:30,11.35,2025-04-08 12:40:00+05:30,19.8625,target_75pct_hit,75.0,166.9604,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-09,PE,2025-04-03 13:25:00+05:30,122.5,2025-04-04 09:15:00+05:30,202.3,trail_stop,50.5429,1042.8571,30.0|40.0|50.0|60.0|70.0,0.3
target_30pct,NIFTY,weekly,2025-04-09,PE,2025-04-03 13:25:00+05:30,122.5,2025-04-04 09:15:00+05:30,159.25,target_30pct_hit,30.0,1042.8571,,0.0
target_50pct,NIFTY,weekly,2025-04-09,PE,2025-04-03 13:25:00+05:30,122.5,2025-04-04 09:15:00+05:30,183.75,target_50pct_hit,50.0,1042.8571,,0.0
target_75pct,NIFTY,weekly,2025-04-09,PE,2025-04-03 13:25:00+05:30,122.5,2025-04-04 09:15:00+05:30,214.375,target_75pct_hit,75.0,1042.8571,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-09,PE,2025-04-08 15:15:00+05:30,665.6,2025-04-09 15:30:00+05:30,801.2,hold_to_end,20.3726,28.2302,,1.0
target_30pct,NIFTY,weekly,2025-04-09,PE,2025-04-08 15:15:00+05:30,665.6,2025-04-09 15:30:00+05:30,801.2,hold_to_end,20.3726,28.2302,,0.0
target_50pct,NIFTY,weekly,2025-04-09,PE,2025-04-08 15:15:00+05:30,665.6,2025-04-09 15:30:00+05:30,801.2,hold_to_end,20.3726,28.2302,,0.0
target_75pct,NIFTY,weekly,2025-04-09,PE,2025-04-08 15:15:00+05:30,665.6,2025-04-09 15:30:00+05:30,801.2,hold_to_end,20.3726,28.2302,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,CE,2025-04-07 14:50:00+05:30,47.5,2025-04-07 15:10:00+05:30,62.25,trail_stop,31.6316,1314.5263,30.0|40.0,0.6
target_30pct,NIFTY,weekly,2025-04-17,CE,2025-04-07 14:50:00+05:30,47.5,2025-04-07 15:10:00+05:30,61.75,target_30pct_hit,30.0,1314.5263,,0.0
target_50pct,NIFTY,weekly,2025-04-17,CE,2025-04-07 14:50:00+05:30,47.5,2025-04-07 15:30:00+05:30,71.25,target_50pct_hit,50.0,1314.5263,,0.0
target_75pct,NIFTY,weekly,2025-04-17,CE,2025-04-07 14:50:00+05:30,47.5,2025-04-08 09:15:00+05:30,83.125,target_75pct_hit,75.0,1314.5263,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,CE,2025-04-08 11:05:00+05:30,65.5,2025-04-08 12:15:00+05:30,81.45,trail_stop,26.0458,925.8015,30.0,0.7
target_30pct,NIFTY,weekly,2025-04-17,CE,2025-04-08 11:05:00+05:30,65.5,2025-04-08 12:15:00+05:30,85.15,target_30pct_hit,30.0,925.8015,,0.0
target_50pct,NIFTY,weekly,2025-04-17,CE,2025-04-08 11:05:00+05:30,65.5,2025-04-08 12:40:00+05:30,98.25,target_50pct_hit,50.0,925.8015,,0.0
target_75pct,NIFTY,weekly,2025-04-17,CE,2025-04-08 11:05:00+05:30,65.5,2025-04-08 13:30:00+05:30,114.625,target_75pct_hit,75.0,925.8015,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,CE,2025-04-09 14:35:00+05:30,37.0,2025-04-09 15:15:00+05:30,46.45,trail_stop,26.8784,1715.9459,30.0,0.7
target_30pct,NIFTY,weekly,2025-04-17,CE,2025-04-09 14:35:00+05:30,37.0,2025-04-09 15:15:00+05:30,48.1,target_30pct_hit,30.0,1715.9459,,0.0
target_50pct,NIFTY,weekly,2025-04-17,CE,2025-04-09 14:35:00+05:30,37.0,2025-04-11 09:15:00+05:30,55.5,target_50pct_hit,50.0,1715.9459,,0.0
target_75pct,NIFTY,weekly,2025-04-17,CE,2025-04-09 14:35:00+05:30,37.0,2025-04-11 09:15:00+05:30,64.75,target_75pct_hit,75.0,1715.9459,,0.0
staggered_30_sl30_trail10,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,207.8,fully_laddered,58.0,546.6795,30.0|40.0|50.0|60.0|70.0|80.0|90.0|100.0,0.0
target_30pct,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,135.07,target_30pct_hit,30.0,546.6795,,0.0
target_50pct,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,155.85,target_50pct_hit,50.0,546.6795,,0.0
target_75pct,NIFTY,weekly,2025-04-17,CE,2025-04-11 15:00:00+05:30,103.9,2025-04-15 09:15:00+05:30,181.825,target_75pct_hit,75.0,546.6795,,0.0
