underlying,expiry,option_type,timeframe,target,entry_time,entry_price,exit_idx,exit_reason,return_pct,max_possible_return_pct
360ONE,2025-07-31,CE,30m,20,2025-07-03 09:15:00+00:00,98.65,108,stop_loss,-84.4906,5.6766
360ONE,2025-07-31,CE,30m,30,2025-07-03 09:15:00+00:00,98.65,108,stop_loss,-84.4906,5.6766
360ONE,2025-07-31,CE,30m,50,2025-07-03 09:15:00+00:00,98.65,108,stop_loss,-84.4906,5.6766
360ONE,2025-07-31,CE,30m,75,2025-07-03 09:15:00+00:00,98.65,108,stop_loss,-84.4906,5.6766
360ONE,2025-07-31,PE,30m,20,2025-07-08 05:15:00+00:00,42.0,156,stop_loss,-52.381,178.5714
360ONE,2025-07-31,PE,30m,30,2025-07-08 05:15:00+00:00,42.0,156,stop_loss,-52.381,178.5714
360ONE,2025-07-31,PE,30m,50,2025-07-08 05:15:00+00:00,42.0,156,stop_loss,-52.381,178.5714
360ONE,2025-07-31,PE,30m,75,2025-07-08 05:15:00+00:00,42.0,156,stop_loss,-52.381,178.5714
360ONE,2025-07-31,PE,30m,20,2025-07-22 04:45:00+00:00,32.0,189,target_20pct,20,265.625
360ONE,2025-07-31,PE,30m,30,2025-07-22 04:45:00+00:00,32.0,221,target_30pct,30,265.625
360ONE,2025-07-31,PE,30m,50,2025-07-22 04:45:00+00:00,32.0,223,target_50pct,50,265.625
360ONE,2025-07-31,PE,30m,75,2025-07-22 04:45:00+00:00,32.0,223,target_75pct,75,265.625
360ONE,2025-08-28,CE,30m,20,2025-08-05 04:45:00+00:00,35.2,121,stop_loss,-51.7045,39.4886
360ONE,2025-08-28,CE,30m,30,2025-08-05 04:45:00+00:00,35.2,121,stop_loss,-51.7045,39.4886
360ONE,2025-08-28,CE,30m,50,2025-08-05 04:45:00+00:00,35.2,121,stop_loss,-51.7045,39.4886
360ONE,2025-08-28,CE,30m,75,2025-08-05 04:45:00+00:00,35.2,121,stop_loss,-51.7045,39.4886
360ONE,2025-08-28,CE,30m,20,2025-08-14 07:45:00+00:00,13.5,179,target_20pct,20,263.7037
360ONE,2025-08-28,CE,30m,30,2025-08-14 07:45:00+00:00,13.5,179,target_30pct,30,263.7037
360ONE,2025-08-28,CE,30m,50,2025-08-14 07:45:00+00:00,13.5,180,target_50pct,50,263.7037
360ONE,2025-08-28,CE,30m,75,2025-08-14 07:45:00+00:00,13.5,181,target_75pct,75,263.7037
360ONE,2025-08-28,CE,30m,20,2025-08-25 08:15:00+00:00,38.45,258,stop_loss,-83.225,5.0715
360ONE,2025-08-28,CE,30m,30,2025-08-25 08:15:00+00:00,38.45,258,stop_loss,-83.225,5.0715
360ONE,2025-08-28,CE,30m,50,2025-08-25 08:15:00+00:00,38.45,258,stop_loss,-83.225,5.0715
360ONE,2025-08-28,CE,30m,75,2025-08-25 08:15:00+00:00,38.45,258,stop_loss,-83.225,5.0715
360ONE,2025-08-28,PE,30m,20,2025-08-01 08:45:00+00:00,31.7,123,target_20pct,20,47.9495
360ONE,2025-08-28,PE,30m,30,2025-08-01 08:45:00+00:00,31.7,142,target_30pct,30,47.9495
360ONE,2025-08-28,PE,30m,50,2025-08-01 08:45:00+00:00,31.7,181,stop_loss,-54.1009,47.9495
360ONE,2025-08-28,PE,30m,75,2025-08-01 08:45:00+00:00,31.7,181,stop_loss,-54.1009,47.9495
360ONE,2025-08-28,PE,30m,20,2025-08-28 04:15:00+00:00,12.0,270,target_20pct,20,43.3333
360ONE,2025-08-28,PE,30m,30,2025-08-28 04:15:00+00:00,12.0,270,target_30pct,30,43.3333
360ONE,2025-08-28,PE,30m,50,2025-08-28 04:15:00+00:00,12.0,275,hold_to_end,43.3333,43.3333
360ONE,2025-08-28,PE,30m,75,2025-08-28 04:15:00+00:00,12.0,275,hold_to_end,43.3333,43.3333
360ONE,2025-09-30,CE,30m,20,2025-09-03 06:45:00+00:00,30.0,39,target_20pct,20,137.8333
360ONE,2025-09-30,CE,30m,30,2025-09-03 06:45:00+00:00,30.0,52,target_30pct,30,137.8333
360ONE,2025-09-30,CE,30m,50,2025-09-03 06:45:00+00:00,30.0,100,target_50pct,50,137.8333
360ONE,2025-09-30,CE,30m,75,2025-09-03 06:45:00+00:00,30.0,101,target_75pct,75,137.8333
360ONE,2025-09-30,CE,30m,20,2025-09-12 09:15:00+00:00,44.55,135,target_20pct,20,60.1571
360ONE,2025-09-30,CE,30m,30,2025-09-12 09:15:00+00:00,44.55,136,target_30pct,30,60.1571
360ONE,2025-09-30,CE,30m,50,2025-09-12 09:15:00+00:00,44.55,150,target_50pct,50,60.1571
360ONE,2025-09-30,CE,30m,75,2025-09-12 09:15:00+00:00,44.55,169,stop_loss,-50.6173,60.1571
360ONE,2025-09-30,PE,30m,20,2025-09-04 08:15:00+00:00,32.95,93,stop_loss,-50.6829,21.8513
360ONE,2025-09-30,PE,30m,30,2025-09-04 08:15:00+00:00,32.95,93,stop_loss,-50.6829,21.8513
360ONE,2025-09-30,PE,30m,50,2025-09-04 08:15:00+00:00,32.95,93,stop_loss,-50.6829,21.8513
360ONE,2025-09-30,PE,30m,75,2025-09-04 08:15:00+00:00,32.95,93,stop_loss,-50.6829,21.8513
360ONE,2025-09-30,PE,30m,20,2025-09-22 05:15:00+00:00,5.25,197,target_20pct,20,664.7619
360ONE,2025-09-30,PE,30m,30,2025-09-22 05:15:00+00:00,5.25,200,target_30pct,30,664.7619
360ONE,2025-09-30,PE,30m,50,2025-09-22 05:15:00+00:00,5.25,200,target_50pct,50,664.7619
360ONE,2025-09-30,PE,30m,75,2025-09-22 05:15:00+00:00,5.25,200,target_75pct,75,664.7619
360ONE,2025-09-30,PE,30m,20,2025-09-30 09:15:00+00:00,22.4,283,hold_to_end,-33.0357,0.0
360ONE,2025-09-30,PE,30m,30,2025-09-30 09:15:00+00:00,22.4,283,hold_to_end,-33.0357,0.0
360ONE,2025-09-30,PE,30m,50,2025-09-30 09:15:00+00:00,22.4,283,hold_to_end,-33.0357,0.0
360ONE,2025-09-30,PE,30m,75,2025-09-30 09:15:00+00:00,22.4,283,hold_to_end,-33.0357,0.0
360ONE,2025-10-28,CE,30m,20,2025-10-01 09:15:00+00:00,44.3,52,target_20pct,20,261.1738
360ONE,2025-10-28,CE,30m,30,2025-10-01 09:15:00+00:00,44.3,62,target_30pct,30,261.1738
360ONE,2025-10-28,CE,30m,50,2025-10-01 09:15:00+00:00,44.3,62,target_50pct,50,261.1738
360ONE,2025-10-28,CE,30m,75,2025-10-01 09:15:00+00:00,44.3,75,target_75pct,75,261.1738
360ONE,2025-11-25,CE,30m,20,2025-11-12 03:45:00+00:00,8.65,183,stop_loss,-61.8497,171.0983
360ONE,2025-11-25,CE,30m,30,2025-11-12 03:45:00+00:00,8.65,183,stop_loss,-61.8497,171.0983
360ONE,2025-11-25,CE,30m,50,2025-11-12 03:45:00+00:00,8.65,183,stop_loss,-61.8497,171.0983
360ONE,2025-11-25,CE,30m,75,2025-11-12 03:45:00+00:00,8.65,183,stop_loss,-61.8497,171.0983
360ONE,2025-11-25,CE,30m,20,2025-11-19 05:45:00+00:00,5.15,226,target_20pct,20,355.3398
360ONE,2025-11-25,CE,30m,30,2025-11-19 05:45:00+00:00,5.15,226,target_30pct,30,355.3398
360ONE,2025-11-25,CE,30m,50,2025-11-19 05:45:00+00:00,5.15,231,target_50pct,50,355.3398
360ONE,2025-11-25,CE,30m,75,2025-11-19 05:45:00+00:00,5.15,231,target_75pct,75,355.3398
360ONE,2025-11-25,CE,30m,20,2025-11-24 05:15:00+00:00,10.85,264,target_20pct,20,33.1797
360ONE,2025-11-25,CE,30m,30,2025-11-24 05:15:00+00:00,10.85,266,target_30pct,30,33.1797
360ONE,2025-11-25,CE,30m,50,2025-11-24 05:15:00+00:00,10.85,270,stop_loss,-58.0645,33.1797
360ONE,2025-11-25,CE,30m,75,2025-11-24 05:15:00+00:00,10.85,270,stop_loss,-58.0645,33.1797
