underlying,target,n_trades,win_rate,avg_ret,median_ret,avg_win,avg_loss
360ONE,20,39,66.7,-5.53,20,20.0,-56.58
360ONE,30,39,59.0,-5.3,30,30.0,-56.04
360ONE,50,39,38.5,-15.19,-50.86,49.56,-55.66
360ONE,75,39,33.3,-12.72,-50.89,72.56,-55.37
ABB,20,49,73.5,-1.06,20,18.69,-55.76
ABB,30,49,67.3,0.14,30,27.29,-55.85
ABB,50,49,53.1,-3.09,4.27,43.35,-55.58
ABB,75,49,40.8,-8.65,-51.38,59.14,-55.4
ABCAPITAL,20,66,62.1,-6.94,20.0,19.68,-50.58
ABCAPITAL,30,66,56.1,-6.37,30.0,28.77,-51.2
ABCAPITAL,50,66,40.9,-11.25,-50.0,46.3,-51.09
ABCAPITAL,75,66,30.3,-15.61,-50.54,66.26,-51.2
ADANIENSOL,20,41,75.6,4.18,20,20.0,-44.87
ADANIENSOL,30,41,73.2,9.76,30,30.0,-45.46
ADANIENSOL,50,41,58.5,6.98,50,46.89,-49.37
ADANIENSOL,75,41,48.8,5.35,0.0,63.61,-50.13
ADANIENT,20,54,70.4,-0.3,20.0,20.0,-48.51
ADANIENT,30,54,63.0,-0.22,30.0,29.15,-50.15
ADANIENT,50,54,51.9,0.04,15.79,47.56,-51.14
ADANIENT,75,54,40.7,-1.48,-50.33,68.99,-49.93
ADANIGREEN,20,56,69.6,-1.69,20.0,20.0,-51.44
ADANIGREEN,30,56,53.6,-8.19,30.0,30.0,-52.25
ADANIGREEN,50,56,50.0,-1.27,18.74,49.64,-52.18
ADANIGREEN,75,56,44.6,0.48,-50.11,65.6,-52.04
ADANIPORTS,20,56,83.9,8.31,20.0,20.0,-52.73
ADANIPORTS,30,56,71.4,5.32,30.0,28.85,-53.52
ADANIPORTS,50,56,57.1,4.02,50.0,47.04,-53.34
ADANIPORTS,75,56,44.6,0.46,-50.0,65.84,-52.27
ALKEM,20,34,61.8,-8.86,20.0,20.0,-55.49
ALKEM,30,34,58.8,-5.83,30.0,28.75,-55.23
ALKEM,50,34,44.1,-10.95,-50.51,44.28,-54.56
ALKEM,75,34,38.2,-11.92,-51.04,57.0,-54.58
AMBER,20,28,64.3,-4.56,20.0,18.77,-46.55
AMBER,30,28,64.3,1.16,30.0,27.66,-46.55
AMBER,50,28,53.6,1.14,8.95,44.53,-48.93
AMBER,75,28,42.9,-1.59,-35.71,62.09,-49.35
AMBUJACEM,20,66,66.7,-3.94,20.0,20.0,-51.83
AMBUJACEM,30,66,59.1,-3.53,30.0,30.0,-51.97
AMBUJACEM,50,66,53.0,1.67,50.0,50.0,-52.89
AMBUJACEM,75,66,40.9,-1.87,-50.71,73.09,-53.77
ANGELONE,20,16,25.0,-42.21,-54.48,20.0,-62.95
ANGELONE,30,16,18.8,-45.07,-55.66,30.0,-62.4
ANGELONE,50,16,12.5,-48.15,-55.9,50.0,-62.17
ANGELONE,75,16,12.5,-45.03,-55.9,75.0,-62.17
APLAPOLLO,20,49,59.2,-10.01,20,19.67,-53.04
APLAPOLLO,30,49,57.1,-5.97,30,29.3,-52.99
APLAPOLLO,50,49,49.0,-3.62,-5.88,48.35,-53.52
APLAPOLLO,75,49,42.9,-0.53,-50.3,70.36,-53.7
APOLLOHOSP,20,48,70.8,-1.67,20.0,19.92,-54.1
APOLLOHOSP,30,48,64.6,-0.27,30.0,28.99,-53.63
APOLLOHOSP,50,48,58.3,5.46,50.0,47.46,-53.33
APOLLOHOSP,75,48,43.8,-1.28,-50.94,67.02,-54.41
ASHOKLEY,20,50,50.0,-15.87,2.76,18.78,-50.52
ASHOKLEY,30,50,48.0,-13.36,-11.07,27.07,-50.68
ASHOKLEY,50,50,46.0,-7.53,-36.07,43.46,-50.98
ASHOKLEY,75,50,42.0,-4.21,-50.0,63.08,-52.93
ASIANPAINT,20,58,63.8,-5.06,20.0,20.0,-49.21
ASIANPAINT,30,58,56.9,-4.55,30.0,30.0,-50.15
ASIANPAINT,50,58,48.3,-3.45,-2.8,47.32,-50.84
ASIANPAINT,75,58,41.4,-1.96,-50.3,67.7,-51.13
ASTRAL,20,60,66.7,-4.35,20.0,19.91,-52.87
ASTRAL,30,60,56.7,-7.01,30.0,29.6,-54.88
ASTRAL,50,60,53.3,0.54,50.0,48.95,-54.78
ASTRAL,75,60,43.3,0.34,-50.36,72.74,-55.03
AUBANK,20,51,66.7,-5.01,20,20.0,-55.02
AUBANK,30,51,58.8,-5.4,30,29.66,-55.5
AUBANK,50,51,49.0,-4.57,-50.0,47.65,-54.79
AUBANK,75,51,49.0,4.67,-50.0,66.52,-54.79
AUROPHARMA,20,62,67.7,-2.81,20.0,20.0,-50.7
AUROPHARMA,30,62,62.9,-0.14,30.0,30.0,-51.24
AUROPHARMA,50,62,50.0,-0.95,17.58,49.53,-51.43
AUROPHARMA,75,62,45.2,3.68,-41.8,71.08,-51.83
AXISBANK,20,61,62.3,-7.49,20,20.0,-52.9
AXISBANK,30,61,52.5,-9.57,30,29.35,-52.52
AXISBANK,50,61,42.6,-10.51,-50.0,47.59,-53.68
AXISBANK,75,61,32.8,-12.55,-51.13,69.37,-52.51
BAJAJ-AUTO,20,63,57.1,-12.03,20,20.0,-54.74
BAJAJ-AUTO,30,63,55.6,-7.62,30,30.0,-54.65
