underlying,target,n,win_rate,avg_return,final_equity
360ONE,20,24,58.3,-10.8,62656.0
360ONE,30,24,50.0,-11.71,58973.0
360ONE,50,24,33.3,-19.88,40719.0
360ONE,75,24,29.2,-17.93,43499.0
ABB,20,33,69.7,-3.41,84459.0
ABB,30,33,54.5,-10.45,55597.0
ABB,50,33,42.4,-13.63,44788.0
ABB,75,33,33.3,-17.3,35007.0
ABCAPITAL,20,45,64.4,-4.19,71259.0
ABCAPITAL,30,45,55.6,-5.92,60484.0
ABCAPITAL,50,45,46.7,-4.97,64153.0
ABCAPITAL,75,45,37.8,-6.74,51237.0
ADANIENSOL,20,25,76.0,1.4,111967.0
ADANIENSOL,30,25,68.0,2.54,115915.0
ADANIENSOL,50,25,44.0,-10.74,61402.0
ADANIENSOL,75,25,28.0,-22.23,35926.0
ADANIENT,20,37,75.7,3.07,125436.0
ADANIENT,30,37,67.6,2.96,123732.0
ADANIENT,50,37,56.8,4.95,140250.0
ADANIENT,75,37,43.2,1.45,103843.0
ADANIGREEN,20,36,75.0,2.97,123548.0
ADANIGREEN,30,36,66.7,3.44,126475.0
ADANIGREEN,50,36,58.3,6.47,153321.0
ADANIGREEN,75,36,50.0,2.77,111848.0
ADANIPORTS,20,32,78.1,5.76,139996.0
ADANIPORTS,30,32,59.4,-3.24,80289.0
ADANIPORTS,50,32,37.5,-14.55,38385.0
ADANIPORTS,75,32,34.4,-12.08,44044.0
ALKEM,20,22,63.6,-7.73,74543.0
ALKEM,30,22,63.6,-1.37,97325.0
ALKEM,50,22,40.9,-12.38,59936.0
ALKEM,75,22,40.9,-5.29,78957.0
AMBER,20,17,64.7,-7.89,79323.0
AMBER,30,17,58.8,-6.94,81482.0
AMBER,50,17,47.1,-8.45,76127.0
AMBER,75,17,35.3,-12.95,63645.0
AMBUJACEM,20,44,72.7,1.13,112275.0
AMBUJACEM,30,44,68.2,4.56,148893.0
AMBUJACEM,50,44,61.4,10.71,247759.0
AMBUJACEM,75,44,52.3,14.44,315933.0
ANGELONE,20,8,0.0,-58.8,47830.0
ANGELONE,30,8,0.0,-58.8,47830.0
ANGELONE,50,8,0.0,-58.8,47830.0
ANGELONE,75,8,0.0,-58.8,47830.0
APLAPOLLO,20,27,74.1,2.6,113814.0
APLAPOLLO,30,27,70.4,7.99,149923.0
APLAPOLLO,50,27,63.0,12.32,188384.0
APLAPOLLO,75,27,59.3,20.85,279507.0
APOLLOHOSP,20,32,71.9,-0.84,95488.0
APOLLOHOSP,30,32,62.5,-1.24,90579.0
APOLLOHOSP,50,32,56.2,4.12,121562.0
APOLLOHOSP,75,32,46.9,2.9,114262.0
ASHOKLEY,20,31,54.8,-12.91,48124.0
ASHOKLEY,30,31,51.6,-10.81,54373.0
ASHOKLEY,50,31,48.4,-5.63,74722.0
ASHOKLEY,75,31,45.2,0.24,104222.0
ASIANPAINT,20,37,70.3,1.23,107034.0
ASIANPAINT,30,37,64.9,5.67,145427.0
ASIANPAINT,50,37,51.4,2.78,119620.0
ASIANPAINT,75,37,35.1,-7.05,58514.0
ASTRAL,20,40,72.5,-0.51,107972.0
ASTRAL,30,40,67.5,2.38,132684.0
ASTRAL,50,40,62.5,10.3,232688.0
ASTRAL,75,40,55.0,15.45,324139.0
AUBANK,20,39,71.8,-0.49,94102.0
AUBANK,30,39,66.7,2.0,113418.0
AUBANK,50,39,59.0,5.86,145628.0
AUBANK,75,39,59.0,16.97,314780.0
AUROPHARMA,20,37,59.5,-10.35,48795.0
AUROPHARMA,30,37,54.1,-8.85,53486.0
AUROPHARMA,50,37,43.2,-8.85,52110.0
AUROPHARMA,75,37,37.8,-5.21,64997.0
AXISBANK,20,45,66.7,-1.7,87831.0
AXISBANK,30,45,57.8,-2.35,85679.0
AXISBANK,50,45,53.3,3.9,144283.0
AXISBANK,75,45,46.7,6.41,167440.0
BAJAJ-AUTO,20,38,55.3,-13.69,40373.0
BAJAJ-AUTO,30,38,52.6,-9.42,54774.0
BAJAJ-AUTO,50,38,44.7,-4.7,74563.0
BAJAJ-AUTO,75,38,28.9,-17.48,30144.0
BAJAJFINSV,20,47,72.3,-1.2,91435.0
BAJAJFINSV,30,47,61.7,-3.59,72819.0
BAJAJFINSV,50,47,53.2,-3.04,76262.0
BAJAJFINSV,75,47,40.4,-9.29,42627.0
BAJAJHLDNG,20,4,50.0,-5.79,96002.0
BAJAJHLDNG,30,4,50.0,-0.79,99730.0
BAJAJHLDNG,50,4,50.0,6.17,105018.0
BAJAJHLDNG,75,4,25.0,-20.91,85924.0
BAJFINANCE,20,29,72.4,-1.86,94815.0
BAJFINANCE,30,29,72.4,4.69,136161.0
BAJFINANCE,50,29,58.6,1.51,123339.0
BAJFINANCE,75,29,48.3,0.34,115163.0
BANDHANBNK,20,42,76.2,1.49,119471.0
BANDHANBNK,30,42,73.8,6.64,178878.0
BANDHANBNK,50,42,61.9,7.66,188236.0
BANDHANBNK,75,42,52.4,8.41,194400.0
BANKBARODA,20,47,74.5,1.87,118120.0
BANKBARODA,30,47,66.0,1.63,115097.0
BANKBARODA,50,47,53.2,-0.01,101083.0
BANKBARODA,75,47,48.9,6.85,172103.0
BANKINDIA,20,32,75.0,3.76,125830.0
BANKINDIA,30,32,65.6,5.12,133972.0
BANKINDIA,50,32,56.2,7.71,158355.0
BANKINDIA,75,32,56.2,18.54,292469.0
BANKNIFTY,20,52,65.4,-4.97,58629.0
BANKNIFTY,30,52,55.8,-6.54,49438.0
BANKNIFTY,50,52,42.3,-8.85,37066.0
BANKNIFTY,75,52,30.8,-13.21,22644.0
BDL,20,29,86.2,9.24,174906.0
BDL,30,29,82.8,14.96,239086.0
BDL,50,29,72.4,18.52,301215.0
BDL,75,29,65.5,25.71,428303.0
BEL,20,50,78.0,4.41,160471.0
BEL,30,50,66.0,2.7,132598.0
BEL,50,50,54.0,3.89,145209.0
BEL,75,50,50.0,10.19,246276.0
BHARATFORG,20,41,75.6,1.85,118511.0
