underlying,expiry,option_type,direction,spot_vs_ema,target,entry_time,entry_price,return_pct,exit_reason,max_possible_return_pct
360ONE,2025-07-31,PE,bearish,below,20,2025-07-08 05:15:00+00:00,42.0,-52.381,stop_loss,178.5714
360ONE,2025-07-31,PE,bearish,below,30,2025-07-08 05:15:00+00:00,42.0,-52.381,stop_loss,178.5714
360ONE,2025-07-31,PE,bearish,below,50,2025-07-08 05:15:00+00:00,42.0,-52.381,stop_loss,178.5714
360ONE,2025-07-31,PE,bearish,below,75,2025-07-08 05:15:00+00:00,42.0,-52.381,stop_loss,178.5714
360ONE,2025-07-31,PE,bearish,below,20,2025-07-22 04:45:00+00:00,32.0,20,target_20pct,265.625
360ONE,2025-07-31,PE,bearish,below,30,2025-07-22 04:45:00+00:00,32.0,30,target_30pct,265.625
360ONE,2025-07-31,PE,bearish,below,50,2025-07-22 04:45:00+00:00,32.0,50,target_50pct,265.625
360ONE,2025-07-31,PE,bearish,below,75,2025-07-22 04:45:00+00:00,32.0,75,target_75pct,265.625
360ONE,2025-08-28,PE,bearish,below,20,2025-08-01 08:45:00+00:00,31.7,20,target_20pct,47.9495
360ONE,2025-08-28,PE,bearish,below,30,2025-08-01 08:45:00+00:00,31.7,30,target_30pct,47.9495
360ONE,2025-08-28,PE,bearish,below,50,2025-08-01 08:45:00+00:00,31.7,-54.1009,stop_loss,47.9495
360ONE,2025-08-28,PE,bearish,below,75,2025-08-01 08:45:00+00:00,31.7,-54.1009,stop_loss,47.9495
360ONE,2025-08-28,PE,bearish,below,20,2025-08-28 04:15:00+00:00,12.0,20,target_20pct,43.3333
360ONE,2025-08-28,PE,bearish,below,30,2025-08-28 04:15:00+00:00,12.0,30,target_30pct,43.3333
360ONE,2025-08-28,PE,bearish,below,50,2025-08-28 04:15:00+00:00,12.0,43.3333,hold_to_end,43.3333
360ONE,2025-08-28,PE,bearish,below,75,2025-08-28 04:15:00+00:00,12.0,43.3333,hold_to_end,43.3333
360ONE,2025-09-30,PE,bearish,below,20,2025-09-04 08:15:00+00:00,32.95,-50.6829,stop_loss,21.8513
360ONE,2025-09-30,PE,bearish,below,30,2025-09-04 08:15:00+00:00,32.95,-50.6829,stop_loss,21.8513
360ONE,2025-09-30,PE,bearish,below,50,2025-09-04 08:15:00+00:00,32.95,-50.6829,stop_loss,21.8513
360ONE,2025-09-30,PE,bearish,below,75,2025-09-04 08:15:00+00:00,32.95,-50.6829,stop_loss,21.8513
360ONE,2025-09-30,PE,bearish,below,20,2025-09-22 05:15:00+00:00,5.25,20,target_20pct,664.7619
360ONE,2025-09-30,PE,bearish,below,30,2025-09-22 05:15:00+00:00,5.25,30,target_30pct,664.7619
360ONE,2025-09-30,PE,bearish,below,50,2025-09-22 05:15:00+00:00,5.25,50,target_50pct,664.7619
360ONE,2025-09-30,PE,bearish,below,75,2025-09-22 05:15:00+00:00,5.25,75,target_75pct,664.7619
360ONE,2025-09-30,PE,bearish,below,20,2025-09-30 09:15:00+00:00,22.4,-33.0357,hold_to_end,0.0
360ONE,2025-09-30,PE,bearish,below,30,2025-09-30 09:15:00+00:00,22.4,-33.0357,hold_to_end,0.0
360ONE,2025-09-30,PE,bearish,below,50,2025-09-30 09:15:00+00:00,22.4,-33.0357,hold_to_end,0.0
360ONE,2025-09-30,PE,bearish,below,75,2025-09-30 09:15:00+00:00,22.4,-33.0357,hold_to_end,0.0
360ONE,2025-10-28,CE,bullish,above,20,2025-10-01 09:15:00+00:00,44.3,20,target_20pct,261.1738
360ONE,2025-10-28,CE,bullish,above,30,2025-10-01 09:15:00+00:00,44.3,30,target_30pct,261.1738
360ONE,2025-10-28,CE,bullish,above,50,2025-10-01 09:15:00+00:00,44.3,50,target_50pct,261.1738
360ONE,2025-10-28,CE,bullish,above,75,2025-10-01 09:15:00+00:00,44.3,75,target_75pct,261.1738
360ONE,2025-11-25,PE,bearish,below,20,2025-10-29 03:45:00+00:00,38.55,20,target_20pct,117.2503
360ONE,2025-11-25,PE,bearish,below,30,2025-10-29 03:45:00+00:00,38.55,30,target_30pct,117.2503
360ONE,2025-11-25,PE,bearish,below,50,2025-10-29 03:45:00+00:00,38.55,50,target_50pct,117.2503
360ONE,2025-11-25,PE,bearish,below,75,2025-10-29 03:45:00+00:00,38.55,75,target_75pct,117.2503
