bars_to_max,entry_macd,entry_price,entry_time,exit_price,exit_reason,exit_strategy,exit_time,expiry,expiry_day_only,expiry_kind,holding_bars,holding_minutes,max_possible_price,max_possible_return_pct,option_type,return_pct,series_id,strike,symbol,timeframe,underlying
18,0.253575,76.7,2025-04-03 10:06:00+05:30,92.04,target_20pct_hit,target_20pct,2025-04-03 10:14:00+05:30,2025-04-03,False,weekly,8,8,115.0,49.9348,CE,20.0,NIFTY|weekly|2025-04-03,23200.0,NIFTY 23200 CE 03 APR 25,1m,NIFTY
14,0.104052,76.9,2025-04-03 11:40:00+05:30,50.05,hold_to_end,target_20pct,2025-04-03 15:29:00+05:30,2025-04-03,False,weekly,229,229,86.15,12.0286,CE,-34.9155,NIFTY|weekly|2025-04-03,23200.0,NIFTY 23200 CE 03 APR 25,1m,NIFTY
32,0.015352,5.15,2025-04-03 12:17:00+05:30,0.05,hold_to_end,target_20pct,2025-04-03 15:29:00+05:30,2025-04-03,False,weekly,192,192,5.9,14.5631,PE,-99.0291,NIFTY|weekly|2025-04-03,23200.0,NIFTY 23200 PE 03 APR 25,1m,NIFTY
19,0.248734,209.05,2025-04-03 10:06:00+05:30,0.05,hold_to_end,target_20pct,2025-04-09 15:29:00+05:30,2025-04-09,False,weekly,1823,1823,236.75,13.2504,CE,-99.9761,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 CE 09 APR 25,1m,NIFTY
839,0.18393,119.8,2025-04-03 11:05:00+05:30,143.76,target_20pct_hit,target_20pct,2025-04-03 15:20:00+05:30,2025-04-09,False,weekly,255,255,1400.0,1068.6144,PE,20.0,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,1m,NIFTY
431,1.561549,280.45,2025-04-04 11:38:00+05:30,336.54,target_20pct_hit,target_20pct,2025-04-04 13:44:00+05:30,2025-04-09,False,weekly,126,126,1400.0,399.1977,PE,20.0,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,1m,NIFTY
199,48.105789,979.45,2025-04-07 09:15:00+05:30,1175.34,target_20pct_hit,target_20pct,2025-04-07 09:17:00+05:30,2025-04-09,False,weekly,2,2,1400.0,42.9374,PE,20.0,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,1m,NIFTY
91,0.190359,1168.5,2025-04-07 11:03:00+05:30,801.2,hold_to_end,target_20pct,2025-04-09 15:29:00+05:30,2025-04-09,False,weekly,1016,1016,1400.0,19.8117,PE,-31.4335,NIFTY|weekly|2025-04-09,23200.0,NIFTY 23200 PE 09 APR 25,1m,NIFTY
3246,0.513197,294.2,2025-04-03 10:06:00+05:30,353.04,target_20pct_hit,target_20pct,2025-04-17 11:33:00+05:30,2025-04-17,False,weekly,3087,3087,671.9,128.3821,CE,20.0,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 CE 17 APR 25,1m,NIFTY
34,0.177346,650.0,2025-04-17 14:26:00+05:30,650.6,hold_to_end,target_20pct,2025-04-17 15:29:00+05:30,2025-04-17,False,weekly,63,63,669.95,3.0692,CE,0.0923,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 CE 17 APR 25,1m,NIFTY
639,0.147465,170.85,2025-04-03 11:06:00+05:30,205.02,target_20pct_hit,target_20pct,2025-04-04 09:15:00+05:30,2025-04-17,False,weekly,264,264,1515.0,786.7428,PE,20.0,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 PE 17 APR 25,1m,NIFTY
282,0.002375,340.75,2025-04-04 10:48:00+05:30,408.9,target_20pct_hit,target_20pct,2025-04-07 09:15:00+05:30,2025-04-17,False,weekly,282,282,1515.0,344.6075,PE,20.0,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 PE 17 APR 25,1m,NIFTY
88,1.262837,1200.09,2025-04-07 11:06:00+05:30,0.05,hold_to_end,target_20pct,2025-04-17 15:29:00+05:30,2025-04-17,False,weekly,2513,2513,1408.55,17.3704,PE,-99.9958,NIFTY|weekly|2025-04-17,23200.0,NIFTY 23200 PE 17 APR 25,1m,NIFTY
2534,1.250973,450.45,2025-04-11 11:00:00+05:30,540.54,target_20pct_hit,target_20pct,2025-04-15 09:15:00+05:30,2025-04-24,False,weekly,270,270,1654.95,267.3993,CE,20.0,NIFTY|weekly|2025-04-24,22700.0,NIFTY 22700 CE 24 APR 25,1m,NIFTY
2170,0.036312,718.55,2025-04-15 10:49:00+05:30,862.26,target_20pct_hit,target_20pct,2025-04-17 11:31:00+05:30,2025-04-24,False,weekly,792,792,1654.95,130.318,CE,20.0,NIFTY|weekly|2025-04-24,22700.0,NIFTY 22700 CE 24 APR 25,1m,NIFTY
1195,1.04537,1162.95,2025-04-17 14:34:00+05:30,1395.54,target_20pct_hit,target_20pct,2025-04-21 10:50:00+05:30,2025-04-24,False,weekly,150,150,1654.95,42.3062,CE,20.0,NIFTY|weekly|2025-04-24,22700.0,NIFTY 22700 CE 24 APR 25,1m,NIFTY
978,1.196316,1443.0,2025-04-21 11:57:00+05:30,1550.0,hold_to_end,target_20pct,2025-04-24 15:29:00+05:30,2025-04-24,False,weekly,1332,1332,1654.95,14.6881,CE,7.4151,NIFTY|weekly|2025-04-24,22700.0,NIFTY 22700 CE 24 APR 25,1m,NIFTY
30,0.497079,269.8,2025-04-11 10:07:00+05:30,0.1,hold_to_end,target_20pct,2025-04-24 15:29:00+05:30,2025-04-24,False,weekly,2947,2947,293.95,8.9511,PE,-99.9629,NIFTY|weekly|2025-04-24,22700.0,NIFTY 22700 PE 24 APR 25,1m,NIFTY
1879,0.084838,318.2,2025-04-24 09:58:00+05:30,381.84,target_20pct_hit,target_20pct,2025-05-02 09:34:00+05:30,2025-05-08,False,weekly,1851,1851,435.95,37.005,CE,20.0,NIFTY|weekly|2025-05-08,24300.0,NIFTY 24300 CE 08 MAY 25,1m,NIFTY
247,0.346544,190.55,2025-05-02 12:51:00+05:30,228.66,target_20pct_hit,target_20pct,2025-05-02 13:27:00+05:30,2025-05-08,False,weekly,36,36,299.8,57.334,CE,20.0,NIFTY|weekly|2025-05-08,24300.0,NIFTY 24300 CE 08 MAY 25,1m,NIFTY
127,0.498166,199.4,2025-05-02 14:51:00+05:30,239.28,target_20pct_hit,target_20pct,2025-05-05 09:15:00+05:30,2025-05-08,False,weekly,39,39,299.8,50.3511,CE,20.0,NIFTY|weekly|2025-05-08,24300.0,NIFTY 24300 CE 08 MAY 25,1m,NIFTY
87,0.871116,212.2,2025-05-05 09:16:00+05:30,254.64,target_20pct_hit,target_20pct,2025-05-05 09:51:00+05:30,2025-05-08,False,weekly,35,35,299.8,41.2818,CE,20.0,NIFTY|weekly|2025-05-08,24300.0,NIFTY 24300 CE 08 MAY 25,1m,NIFTY
82,0.566913,215.7,2025-05-05 12:33:00+05:30,0.05,hold_to_end,target_20pct,2025-05-08 15:29:00+05:30,2025-05-08,False,weekly,1301,1301,235.4,9.1331,CE,-99.9768,NIFTY|weekly|2025-05-08,24300.0,NIFTY 24300 CE 08 MAY 25,1m,NIFTY
501,0.304193,271.14,2025-04-24 09:44:00+05:30,325.368,target_20pct_hit,target_20pct,2025-04-25 09:50:00+05:30,2025-05-08,False,weekly,381,381,530.0,95.471,PE,20.0,NIFTY|weekly|2025-05-08,24300.0,NIFTY 24300 PE 08 MAY 25,1m,NIFTY
6,0.670194,490.5,2025-04-25 11:44:00+05:30,26.45,hold_to_end,target_20pct,2025-05-08 15:29:00+05:30,2025-05-08,False,weekly,3225,3225,530.0,8.053,PE,-94.6075,NIFTY|weekly|2025-05-08,24300.0,NIFTY 24300 PE 08 MAY 25,1m,NIFTY
3474,0.048624,237.55,2025-05-02 12:48:00+05:30,285.06,target_20pct_hit,target_20pct,2025-05-02 13:31:00+05:30,2025-05-15,False,weekly,43,43,676.65,184.8453,CE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 CE 15 MAY 25,1m,NIFTY
3351,0.761354,251.1,2025-05-02 14:51:00+05:30,301.32,target_20pct_hit,target_20pct,2025-05-05 09:54:00+05:30,2025-05-15,False,weekly,78,78,676.65,169.4743,CE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 CE 15 MAY 25,1m,NIFTY
3114,0.445478,266.0,2025-05-05 12:33:00+05:30,319.2,target_20pct_hit,target_20pct,2025-05-12 09:56:00+05:30,2025-05-15,False,weekly,1718,1718,676.65,154.3797,CE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 CE 15 MAY 25,1m,NIFTY
1325,0.250288,335.0,2025-05-12 11:07:00+05:30,402.0,target_20pct_hit,target_20pct,2025-05-12 12:31:00+05:30,2025-05-15,False,weekly,84,84,676.65,101.9851,CE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 CE 15 MAY 25,1m,NIFTY
1195,0.246294,430.75,2025-05-12 13:17:00+05:30,516.9,target_20pct_hit,target_20pct,2025-05-12 14:14:00+05:30,2025-05-15,False,weekly,57,57,676.65,57.0865,CE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 CE 15 MAY 25,1m,NIFTY
1099,0.115726,526.9,2025-05-12 14:53:00+05:30,632.28,target_20pct_hit,target_20pct,2025-05-15 13:48:00+05:30,2025-05-15,False,weekly,1060,1060,676.65,28.421,CE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 CE 15 MAY 25,1m,NIFTY
0,0.376573,632.0,2025-05-15 15:07:00+05:30,611.7,hold_to_end,target_20pct,2025-05-15 15:29:00+05:30,2025-05-15,False,weekly,22,22,635.15,0.4984,CE,-3.212,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 CE 15 MAY 25,1m,NIFTY
1806,0.110408,230.4,2025-05-02 10:24:00+05:30,276.48,target_20pct_hit,target_20pct,2025-05-02 10:54:00+05:30,2025-05-15,False,weekly,30,30,594.2,157.8993,PE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 PE 15 MAY 25,1m,NIFTY
1577,0.455341,319.45,2025-05-02 14:13:00+05:30,383.34,target_20pct_hit,target_20pct,2025-05-08 14:53:00+05:30,2025-05-15,False,weekly,1540,1540,594.2,86.0072,PE,20.0,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 PE 15 MAY 25,1m,NIFTY
168,1.130928,506.85,2025-05-09 10:40:00+05:30,0.05,hold_to_end,target_20pct,2025-05-15 15:29:00+05:30,2025-05-15,False,weekly,1789,1789,567.95,12.0548,PE,-99.9901,NIFTY|weekly|2025-05-15,24450.0,NIFTY 24450 PE 15 MAY 25,1m,NIFTY
2115,0.029523,281.5,2025-05-08 10:15:00+05:30,337.8,target_20pct_hit,target_20pct,2025-05-12 09:20:00+05:30,2025-05-22,False,weekly,695,695,705.5,150.6217,CE,20.0,NIFTY|weekly|2025-05-22,24450.0,NIFTY 24450 CE 22 MAY 25,1m,NIFTY
1313,0.553027,450.0,2025-05-12 11:07:00+05:30,540.0,target_20pct_hit,target_20pct,2025-05-12 12:39:00+05:30,2025-05-22,False,weekly,92,92,705.5,56.7778,CE,20.0,NIFTY|weekly|2025-05-22,24450.0,NIFTY 24450 CE 22 MAY 25,1m,NIFTY
1131,0.122518,568.29,2025-05-12 14:09:00+05:30,681.948,target_20pct_hit,target_20pct,2025-05-15 13:59:00+05:30,2025-05-22,False,weekly,1114,1114,705.5,24.1444,CE,20.0,NIFTY|weekly|2025-05-22,24450.0,NIFTY 24450 CE 22 MAY 25,1m,NIFTY
0,0.977121,681.1,2025-05-16 09:31:00+05:30,159.69,hold_to_end,target_20pct,2025-05-22 15:29:00+05:30,2025-05-22,False,weekly,1858,1858,681.1,0.0,CE,-76.5541,NIFTY|weekly|2025-05-22,24450.0,NIFTY 24450 CE 22 MAY 25,1m,NIFTY
596,0.272332,293.85,2025-05-08 10:48:00+05:30,352.62,target_20pct_hit,target_20pct,2025-05-08 13:45:00+05:30,2025-05-22,False,weekly,177,177,605.0,105.8874,PE,20.0,NIFTY|weekly|2025-05-22,24450.0,NIFTY 24450 PE 22 MAY 25,1m,NIFTY
366,0.165854,375.0,2025-05-08 14:38:00+05:30,450.0,target_20pct_hit,target_20pct,2025-05-08 14:53:00+05:30,2025-05-22,False,weekly,15,15,605.0,61.3333,PE,20.0,NIFTY|weekly|2025-05-22,24450.0,NIFTY 24450 PE 22 MAY 25,1m,NIFTY
224,1.292839,578.9,2025-05-09 10:45:00+05:30,0.05,hold_to_end,target_20pct,2025-05-22 15:29:00+05:30,2025-05-22,False,weekly,3659,3659,605.0,4.5086,PE,-99.9914,NIFTY|weekly|2025-05-22,24450.0,NIFTY 24450 PE 22 MAY 25,1m,NIFTY
1214,0.11864,296.5,2025-05-22 10:02:00+05:30,355.8,target_20pct_hit,target_20pct,2025-05-23 09:43:00+05:30,2025-06-05,False,weekly,356,356,574.9,93.8954,CE,20.0,NIFTY|weekly|2025-06-05,24700.0,NIFTY 24700 CE 05 JUN 25,1m,NIFTY
799,1.034331,381.5,2025-05-23 10:42:00+05:30,457.8,target_20pct_hit,target_20pct,2025-05-23 10:55:00+05:30,2025-06-05,False,weekly,13,13,574.9,50.6946,CE,20.0,NIFTY|weekly|2025-06-05,24700.0,NIFTY 24700 CE 05 JUN 25,1m,NIFTY
