bars_to_max,chosen_variant_key,entry_macd,entry_price,entry_rsi,entry_time,exit_price,exit_reason,exit_strategy,exit_time,expiry,expiry_day_only,expiry_kind,holding_bars,holding_minutes,max_possible_price,max_possible_return_pct,option_type,return_pct,rsi_filter,series_id,spot_at_series_start,strike,symbol,timeframe,train_consistency_score,underlying,walkforward_group,walkforward_window
115,series|10m|macd_only|hold_to_expiry,2.718141,250.0,68.7621,2025-04-07T15:30:00+05:30,836.95,hold_to_end,hold_to_expiry,2025-04-15 15:30:00+05:30,2025-04-15,False,weekly,152,1520,935.7,274.28,CE,234.78,macd_only,SENSEX|weekly|2025-04-15|ITM2,76088.08,76100.0,SENSEX 75900 CE 15 APR 25,10m,280.266107,SENSEX,weekly_series,1
221,series|10m|macd_only|hold_to_expiry,0.745004,85.05,68.2384,2025-04-07T15:30:00+05:30,751.45,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,228,2280,771.1,806.6432,CE,783.5391,macd_only,NIFTY|weekly|2025-04-17|ITM2,23192.2,23200.0,NIFTY 23100 CE 17 APR 25,10m,323.448568,NIFTY,weekly_series,2
65,series|10m|macd_only|hold_to_expiry,0.025234,218.3,51.507,2025-04-03T14:40:00+05:30,0.1,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,309,3090,1490.05,582.5699,PE,-99.9542,macd_only,NIFTY|weekly|2025-04-17|ITM2,23192.2,23200.0,NIFTY 23300 PE 17 APR 25,10m,323.448568,NIFTY,weekly_series,2
35,series|30m|rsi_55|macd_reversal,16.579372,1070.0,61.56,2025-04-28T12:30:00+05:30,815.25,macd_reversal,macd_reversal,2025-05-02 14:30:00+05:30,2025-05-06,False,weekly,43,1290,1633.65,52.6776,CE,-23.8084,rsi_55,SENSEX|weekly|2025-05-06|ITM2,79623.9,80000.0,SENSEX 79800 CE 06 MAY 25,30m,397.496602,SENSEX,weekly_series,5
2,series|30m|rsi_55|macd_reversal,0.424938,1232.2,56.1009,2025-05-05T10:00:00+05:30,891.75,macd_reversal,macd_reversal,2025-05-06 09:30:00+05:30,2025-05-06,False,weekly,12,360,1286.85,4.4352,CE,-27.6294,rsi_55,SENSEX|weekly|2025-05-06|ITM2,79623.9,80000.0,SENSEX 79800 CE 06 MAY 25,30m,397.496602,SENSEX,weekly_series,5
34,series|30m|rsi_55|hold_to_expiry,1.243548,373.65,62.3849,2025-04-28T13:00:00+05:30,73.8,hold_to_end,hold_to_expiry,2025-05-08 15:30:00+05:30,2025-05-08,False,weekly,96,2880,519.0,38.9,CE,-80.2489,rsi_55,NIFTY|weekly|2025-05-08|ITM2,24279.15,24300.0,NIFTY 24200 CE 08 MAY 25,30m,188.723635,NIFTY,weekly_series,6
11,series|30m|rsi_55|hold_to_expiry,7.814421,1400.05,78.7392,2025-05-12T10:00:00+05:30,746.15,hold_to_end,hold_to_expiry,2025-05-13 15:30:00+05:30,2025-05-13,False,weekly,24,720,2249.0,60.6371,CE,-46.7055,rsi_55,SENSEX|weekly|2025-05-13|ITM2,80586.33,80600.0,SENSEX 80400 CE 13 MAY 25,30m,85.454667,SENSEX,weekly_series,7
2,series|30m|rsi_55|hold_to_expiry,1.616017,1044.45,73.3071,2025-05-08T15:00:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-05-13 15:30:00+05:30,2025-05-13,False,weekly,40,1200,1683.95,61.2284,PE,-99.9952,rsi_55,SENSEX|weekly|2025-05-13|ITM2,80586.33,80600.0,SENSEX 80800 PE 13 MAY 25,30m,85.454667,SENSEX,weekly_series,7
688,series|5m|macd_only|trail_after_30pct_dd15pct,0.348081,332.85,53.6885,2025-05-02T14:10:00+05:30,538.29,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-13 09:20:00+05:30,2025-05-15,False,weekly,474,2370,776.3,133.2282,CE,61.7215,macd_only,NIFTY|weekly|2025-05-15|ITM2,24431.25,24450.0,NIFTY 24350 CE 15 MAY 25,5m,66.628662,NIFTY,weekly_series,8
134,series|5m|macd_only|trail_after_30pct_dd15pct,2.663494,353.8,57.3709,2025-05-14T09:40:00+05:30,371.8,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-15 10:50:00+05:30,2025-05-15,False,weekly,90,450,776.3,119.4178,CE,5.0876,macd_only,NIFTY|weekly|2025-05-15|ITM2,24431.25,24450.0,NIFTY 24350 CE 15 MAY 25,5m,66.628662,NIFTY,weekly_series,8
328,series|5m|macd_only|trail_after_30pct_dd15pct,1.193455,422.5,63.4206,2025-05-02T14:30:00+05:30,497.15,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-09 09:20:00+05:30,2025-05-15,False,weekly,318,1590,668.2,58.1538,PE,17.6686,macd_only,NIFTY|weekly|2025-05-15|ITM2,24431.25,24450.0,NIFTY 24550 PE 15 MAY 25,5m,66.628662,NIFTY,weekly_series,8
10,series|5m|macd_only|trail_after_30pct_dd15pct,0.815147,105.0,56.0427,2025-05-13T09:45:00+05:30,117.3,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-13 09:55:00+05:30,2025-05-15,False,weekly,2,10,172.6,64.381,PE,11.7143,macd_only,NIFTY|weekly|2025-05-15|ITM2,24431.25,24450.0,NIFTY 24550 PE 15 MAY 25,5m,66.628662,NIFTY,weekly_series,8
3,series|5m|macd_only|trail_after_30pct_dd15pct,0.796855,129.25,55.7987,2025-05-13T12:45:00+05:30,0.05,hold_to_end_trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-15 15:30:00+05:30,2025-05-15,False,weekly,185,925,166.65,28.9362,PE,-99.9613,macd_only,NIFTY|weekly|2025-05-15|ITM2,24431.25,24450.0,NIFTY 24550 PE 15 MAY 25,5m,66.628662,NIFTY,weekly_series,8
23,series|15m|rsi_60|target_30pct,30.90505,1327.45,82.4442,2025-05-12T09:45:00+05:30,1725.685,target_30pct_hit,target_30pct,2025-05-12 10:30:00+05:30,2025-05-20,False,weekly,3,45,2445.6,84.2329,CE,30.0,rsi_60,SENSEX|weekly|2025-05-20|ITM2,80736.0,80600.0,SENSEX 80400 CE 20 MAY 25,15m,64.384083,SENSEX,weekly_series,9
4,series|15m|rsi_60|target_30pct,42.841914,1846.9,67.3189,2025-05-15T13:15:00+05:30,785.6,hold_to_end_target_30pct_not_hit,target_30pct,2025-05-20 15:30:00+05:30,2025-05-20,False,weekly,85,1275,2400.0,29.9475,CE,-57.4639,rsi_60,SENSEX|weekly|2025-05-20|ITM2,80736.0,80600.0,SENSEX 80400 CE 20 MAY 25,15m,64.384083,SENSEX,weekly_series,9
288,series|5m|rsi_60|trail_after_20pct_dd10pct,14.108243,357.35,88.3343,2025-05-12T09:15:00+05:30,644.5,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-13 09:20:00+05:30,2025-05-22,False,weekly,77,385,796.15,122.7928,CE,80.3554,rsi_60,NIFTY|weekly|2025-05-22|ITM2,24437.25,24450.0,NIFTY 24350 CE 22 MAY 25,5m,65.200403,NIFTY,weekly_series,10
44,series|5m|rsi_60|trail_after_20pct_dd10pct,1.447253,501.7,70.8152,2025-05-15T10:40:00+05:30,714.0,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-15 15:15:00+05:30,2025-05-22,False,weekly,55,275,796.15,58.6905,CE,42.3161,rsi_60,NIFTY|weekly|2025-05-22|ITM2,24437.25,24450.0,NIFTY 24350 CE 22 MAY 25,5m,65.200403,NIFTY,weekly_series,10
11,series|5m|rsi_60|trail_after_20pct_dd10pct,0.043262,492.6,70.8588,2025-05-21T09:45:00+05:30,570.29,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-21 11:05:00+05:30,2025-05-22,False,weekly,16,80,640.0,29.9229,CE,15.7714,rsi_60,NIFTY|weekly|2025-05-22|ITM2,24437.25,24450.0,NIFTY 24350 CE 22 MAY 25,5m,65.200403,NIFTY,weekly_series,10
1,series|5m|rsi_60|trail_after_20pct_dd10pct,1.289978,248.55,64.3615,2025-05-22T14:55:00+05:30,263.0,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-22 15:00:00+05:30,2025-05-22,False,weekly,1,5,299.25,20.3983,CE,5.8137,rsi_60,NIFTY|weekly|2025-05-22|ITM2,24437.25,24450.0,NIFTY 24350 CE 22 MAY 25,5m,65.200403,NIFTY,weekly_series,10
38,series|5m|rsi_60|trail_after_20pct_dd10pct,0.229008,343.45,70.3166,2025-05-08T13:15:00+05:30,585.0,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-09 10:20:00+05:30,2025-05-22,False,weekly,41,205,682.05,98.5879,PE,70.3305,rsi_60,NIFTY|weekly|2025-05-22|ITM2,24437.25,24450.0,NIFTY 24550 PE 22 MAY 25,5m,65.200403,NIFTY,weekly_series,10
57,series|5m|rsi_60|trail_after_20pct_dd10pct,0.017686,176.55,61.169,2025-05-13T09:35:00+05:30,188.8,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-13 09:55:00+05:30,2025-05-22,False,weekly,4,20,257.25,45.7094,PE,6.9385,rsi_60,NIFTY|weekly|2025-05-22|ITM2,24437.25,24450.0,NIFTY 24550 PE 22 MAY 25,5m,65.200403,NIFTY,weekly_series,10
1,series|5m|rsi_60|trail_after_20pct_dd10pct,0.417296,207.8,62.884,2025-05-15T09:45:00+05:30,0.05,hold_to_end_trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-22 15:30:00+05:30,2025-05-22,False,weekly,449,2245,217.0,4.4273,PE,-99.9759,rsi_60,NIFTY|weekly|2025-05-22|ITM2,24437.25,24450.0,NIFTY 24550 PE 22 MAY 25,5m,65.200403,NIFTY,weekly_series,10
162,series|5m|rsi_60|trail_after_20pct_dd10pct,0.178445,975.7,60.071,2025-05-21T15:05:00+05:30,1206.45,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-26 10:20:00+05:30,2025-06-03,False,weekly,168,840,1369.15,40.3249,CE,23.6497,rsi_60,SENSEX|weekly|2025-06-03|ITM2,82077.91,82000.0,SENSEX 81800 CE 03 JUN 25,5m,67.013605,SENSEX,weekly_series,11
2,series|5m|rsi_60|trail_after_20pct_dd10pct,9.884937,1125.45,65.5343,2025-05-27T11:25:00+05:30,0.05,hold_to_end_trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-06-03 15:30:00+05:30,2025-06-03,False,weekly,429,2145,1307.7,16.1935,CE,-99.9956,rsi_60,SENSEX|weekly|2025-06-03|ITM2,82077.91,82000.0,SENSEX 81800 CE 03 JUN 25,5m,67.013605,SENSEX,weekly_series,11
96,series|5m|rsi_60|trail_after_20pct_dd10pct,0.816451,1248.05,71.8371,2025-05-21T12:10:00+05:30,1161.75,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-23 10:40:00+05:30,2025-06-03,False,weekly,111,555,1800.7,44.2811,PE,-6.9148,rsi_60,SENSEX|weekly|2025-06-03|ITM2,82077.91,82000.0,SENSEX 82200 PE 03 JUN 25,5m,67.013605,SENSEX,weekly_series,11
423,series|5m|rsi_60|trail_after_20pct_dd10pct,5.77918,1070.0,71.9854,2025-05-27T09:15:00+05:30,1311.3,trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-05-27 09:35:00+05:30,2025-06-03,False,weekly,4,20,1694.1,58.3271,PE,22.5514,rsi_60,SENSEX|weekly|2025-06-03|ITM2,82077.91,82000.0,SENSEX 82200 PE 03 JUN 25,5m,67.013605,SENSEX,weekly_series,11
345,series|5m|rsi_60|trail_after_20pct_dd10pct,0.022361,1413.2,61.3112,2025-05-28T09:30:00+05:30,1465.9,hold_to_end_trail_after_20pct_dd10pct,trail_after_20pct_dd10pct,2025-06-03 15:30:00+05:30,2025-06-03,False,weekly,376,1880,1694.1,19.8769,PE,3.7291,rsi_60,SENSEX|weekly|2025-06-03|ITM2,82077.91,82000.0,SENSEX 82200 PE 03 JUN 25,5m,67.013605,SENSEX,weekly_series,11
187,series|5m|macd_only|target_30pct,0.423129,325.0,61.6384,2025-05-22T15:00:00+05:30,422.5,target_30pct_hit,target_30pct,2025-05-23 09:45:00+05:30,2025-06-05,False,weekly,13,65,649.5,99.8462,CE,30.0,macd_only,NIFTY|weekly|2025-06-05|ITM2,24704.65,24700.0,NIFTY 24600 CE 05 JUN 25,5m,65.340052,NIFTY,weekly_series,12
104,series|5m|macd_only|target_30pct,0.35282,570.0,72.5891,2025-05-26T09:15:00+05:30,150.55,hold_to_end_target_30pct_not_hit,target_30pct,2025-06-05 15:30:00+05:30,2025-06-05,False,weekly,683,3415,649.5,13.9474,CE,-73.5877,macd_only,NIFTY|weekly|2025-06-05|ITM2,24704.65,24700.0,NIFTY 24600 CE 05 JUN 25,5m,65.340052,NIFTY,weekly_series,12
28,series|5m|macd_only|target_30pct,0.712372,386.45,62.1908,2025-05-22T12:20:00+05:30,48.95,hold_to_end_target_30pct_not_hit,target_30pct,2025-06-05 15:30:00+05:30,2025-06-05,False,weekly,798,3990,444.0,14.892,PE,-87.3334,macd_only,NIFTY|weekly|2025-06-05|ITM2,24704.65,24700.0,NIFTY 24800 PE 05 JUN 25,5m,65.340052,NIFTY,weekly_series,12
0,series|5m|macd_only|target_30pct,2.78161,1128.85,66.1166,2025-05-28T13:05:00+05:30,789.4,hold_to_end_target_30pct_not_hit,target_30pct,2025-06-10 15:30:00+05:30,2025-06-10,False,weekly,713,3565,1128.85,0.0,CE,-30.0704,macd_only,SENSEX|weekly|2025-06-10|ITM2,81772.52,81800.0,SENSEX 81600 CE 10 JUN 25,5m,62.575695,SENSEX,weekly_series,13
377,series|5m|macd_only|target_30pct,1.955664,1325.05,61.0012,2025-05-27T13:10:00+05:30,1722.565,target_30pct_hit,target_30pct,2025-06-03 12:55:00+05:30,2025-06-10,False,weekly,374,1870,1736.7,31.0668,PE,30.0,macd_only,SENSEX|weekly|2025-06-10|ITM2,81772.52,81800.0,SENSEX 82000 PE 10 JUN 25,5m,62.575695,SENSEX,weekly_series,13
31,series|5m|macd_only|target_30pct,3.239944,835.6,55.778,2025-06-05T13:50:00+05:30,0.05,hold_to_end_target_30pct_not_hit,target_30pct,2025-06-10 15:30:00+05:30,2025-06-10,False,weekly,248,1240,1031.3,23.4203,PE,-99.994,macd_only,SENSEX|weekly|2025-06-10|ITM2,81772.52,81800.0,SENSEX 82000 PE 10 JUN 25,5m,62.575695,SENSEX,weekly_series,13
670,series|5m|macd_only|target_30pct,0.307259,322.7,51.9474,2025-05-29T13:35:00+05:30,419.51,target_30pct_hit,target_30pct,2025-06-11 11:55:00+05:30,2025-06-12,False,weekly,664,3320,433.85,34.4438,CE,30.0,macd_only,NIFTY|weekly|2025-06-12|ITM2,24884.5,24900.0,NIFTY 24800 CE 12 JUN 25,5m,60.490295,NIFTY,weekly_series,14
213,series|5m|macd_only|target_30pct,0.300155,425.5,58.2609,2025-05-29T14:10:00+05:30,553.15,target_30pct_hit,target_30pct,2025-06-02 09:20:00+05:30,2025-06-12,False,weekly,94,470,589.55,38.5546,PE,30.0,macd_only,NIFTY|weekly|2025-06-12|ITM2,24884.5,24900.0,NIFTY 25000 PE 12 JUN 25,5m,60.490295,NIFTY,weekly_series,14
54,series|5m|macd_only|target_30pct,0.877947,471.45,57.2529,2025-06-02T14:45:00+05:30,111.75,hold_to_end_target_30pct_not_hit,target_30pct,2025-06-12 15:30:00+05:30,2025-06-12,False,weekly,617,3085,589.55,25.0504,PE,-76.2965,macd_only,NIFTY|weekly|2025-06-12|ITM2,24884.5,24900.0,NIFTY 25000 PE 12 JUN 25,5m,60.490295,NIFTY,weekly_series,14
173,series|5m|macd_only|target_30pct,0.160034,886.35,72.354,2025-06-04T13:50:00+05:30,1152.255,target_30pct_hit,target_30pct,2025-06-05 12:05:00+05:30,2025-06-17,False,weekly,55,275,1666.0,87.9619,CE,30.0,macd_only,SENSEX|weekly|2025-06-17|ITM2,81406.4,81400.0,SENSEX 81200 CE 17 JUN 25,5m,60.846781,SENSEX,weekly_series,15
61,series|5m|macd_only|target_30pct,7.022018,1144.6,66.0498,2025-06-06T10:35:00+05:30,1487.98,target_30pct_hit,target_30pct,2025-06-06 11:50:00+05:30,2025-06-17,False,weekly,15,75,1666.0,45.553,CE,30.0,macd_only,SENSEX|weekly|2025-06-17|ITM2,81406.4,81400.0,SENSEX 81200 CE 17 JUN 25,5m,60.846781,SENSEX,weekly_series,15
