bars_to_max,chosen_variant_key,entry_macd,entry_price,entry_rsi,entry_time,exit_price,exit_reason,exit_strategy,exit_time,expiry,expiry_day_only,expiry_kind,holding_bars,holding_minutes,max_possible_price,max_possible_return_pct,option_type,return_pct,rsi_filter,series_id,spot_at_series_start,strike,symbol,timeframe,train_consistency_score,underlying,walkforward_group,walkforward_window
115,series|10m|macd_only|hold_to_expiry,4.386152,213.45,66.0965,2025-04-07T15:30:00+05:30,632.45,hold_to_end,hold_to_expiry,2025-04-15 15:30:00+05:30,2025-04-15,False,weekly,152,1520,766.05,258.8897,CE,196.2989,macd_only,SENSEX|weekly|2025-04-15,76088.08,76100.0,SENSEX 76100 CE 15 APR 25,10m,326.691434,SENSEX,weekly_series,1
65,series|10m|macd_only|hold_to_expiry,2.799733,516.95,58.7141,2025-04-03T15:20:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-04-15 15:30:00+05:30,2025-04-15,False,weekly,223,2230,3779.3,631.0765,PE,-99.9903,macd_only,SENSEX|weekly|2025-04-15,76088.08,76100.0,SENSEX 76100 PE 15 APR 25,10m,326.691434,SENSEX,weekly_series,1
221,series|10m|macd_only|hold_to_expiry,1.374797,75.55,72.5389,2025-04-07T15:30:00+05:30,650.6,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,228,2280,671.9,789.3448,CE,761.1516,macd_only,NIFTY|weekly|2025-04-17,23192.2,23200.0,NIFTY 23200 CE 17 APR 25,10m,206.0175,NIFTY,weekly_series,2
43,series|10m|macd_only|hold_to_expiry,0.216808,179.65,53.3226,2025-04-03T14:50:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-04-17 15:30:00+05:30,2025-04-17,False,weekly,308,3080,1515.0,743.3064,PE,-99.9722,macd_only,NIFTY|weekly|2025-04-17,23192.2,23200.0,NIFTY 23200 PE 17 APR 25,10m,206.0175,NIFTY,weekly_series,2
110,series|15m|rsi_60|hold_to_expiry,5.516935,760.0,63.6168,2025-04-16T14:00:00+05:30,1550.0,hold_to_end,hold_to_expiry,2025-04-24 15:30:00+05:30,2025-04-24,False,weekly,133,1995,1654.95,117.7566,CE,103.9474,rsi_60,NIFTY|weekly|2025-04-24,22715.95,22700.0,NIFTY 22700 CE 24 APR 25,15m,264.224315,NIFTY,weekly_series,4
78,series|15m|rsi_60|hold_to_expiry,14.352675,779.95,63.7082,2025-04-28T10:15:00+05:30,642.8,hold_to_end,hold_to_expiry,2025-05-06 15:30:00+05:30,2025-05-06,False,weekly,151,2265,1470.0,88.4736,CE,-17.5845,rsi_60,SENSEX|weekly|2025-05-06,79623.9,80000.0,SENSEX 80000 CE 06 MAY 25,15m,258.482117,SENSEX,weekly_series,5
0,series|15m|rsi_60|hold_to_expiry,1.963242,629.75,67.5383,2025-04-30T15:30:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-05-06 15:30:00+05:30,2025-05-06,False,weekly,78,1170,668.3,6.1215,PE,-99.9921,rsi_60,SENSEX|weekly|2025-05-06,79623.9,80000.0,SENSEX 80000 PE 06 MAY 25,15m,258.482117,SENSEX,weekly_series,5
78,series|15m|rsi_60|hold_to_expiry,1.176041,258.0,62.1546,2025-04-28T10:15:00+05:30,0.05,hold_to_end,hold_to_expiry,2025-05-08 15:30:00+05:30,2025-05-08,False,weekly,203,3045,435.95,68.9729,CE,-99.9806,rsi_60,NIFTY|weekly|2025-05-08,24279.15,24300.0,NIFTY 24300 CE 08 MAY 25,15m,136.465273,NIFTY,weekly_series,6
0,series|15m|rsi_60|hold_to_expiry,1.300458,242.95,65.2011,2025-04-30T15:30:00+05:30,26.45,hold_to_end,hold_to_expiry,2025-05-08 15:30:00+05:30,2025-05-08,False,weekly,130,1950,251.65,3.581,PE,-89.113,rsi_60,NIFTY|weekly|2025-05-08,24279.15,24300.0,NIFTY 24300 PE 08 MAY 25,15m,136.465273,NIFTY,weekly_series,6
631,series|5m|macd_only|trail_after_30pct_dd15pct,0.469396,893.3,66.9957,2025-04-29T13:10:00+05:30,1124.8,trail_after_30pct_dd15pct,trail_after_30pct_dd15pct,2025-05-02 10:35:00+05:30,2025-05-13,False,weekly,119,595,2174.8,143.4568,CE,25.9151,macd_only,SENSEX|weekly|2025-05-13,80586.33,80600.0,SENSEX 80600 CE 13 MAY 25,5m,83.654597,SENSEX,weekly_series,7
