timeframe,trade_index,timestamp,equity,return_pct,series_id,option_type
1m,0,2025-04-15T11:12:00+05:30,100.0,0.0,,
1m,1,2025-04-15T15:29:00+05:30,0.2079,-99.7921,SENSEX|weekly|2025-04-15,PE
1m,2,2025-04-15T15:29:00+05:30,0.2121,2.0245,SENSEX|weekly|2025-04-15,CE
1m,3,2025-04-17T10:20:00+05:30,0.2333,10.0,NIFTY|weekly|2025-04-17,PE
1m,4,2025-04-17T10:33:00+05:30,0.2567,10.0,NIFTY|weekly|2025-04-17,CE
1m,5,2025-04-17T11:14:00+05:30,0.2823,10.0,NIFTY|weekly|2025-04-17,CE
1m,6,2025-04-17T15:29:00+05:30,0.0015,-99.4703,NIFTY|weekly|2025-04-17,PE
1m,7,2025-04-17T15:29:00+05:30,0.0015,0.0923,NIFTY|weekly|2025-04-17,CE
1m,8,2025-04-22T15:29:00+05:30,0.0015,-1.0468,SENSEX|weekly|2025-04-22,CE
1m,9,2025-04-22T15:29:00+05:30,0.0001,-95.6522,SENSEX|weekly|2025-04-22,PE
1m,10,2025-04-24T10:44:00+05:30,0.0001,10.0,NIFTY|weekly|2025-04-24,PE
1m,11,2025-04-24T15:29:00+05:30,0.0001,-0.5103,NIFTY|weekly|2025-04-24,CE
1m,12,2025-04-24T15:29:00+05:30,0.0,-60.0,NIFTY|weekly|2025-04-24,PE
1m,13,2025-04-25T14:52:00+05:30,0.0001,85.7401,NIFTY|monthly|2025-05-29,CE
1m,14,2025-05-06T13:59:00+05:30,0.0001,10.0,SENSEX|weekly|2025-05-06,CE
1m,15,2025-05-06T14:26:00+05:30,0.0001,10.0,SENSEX|weekly|2025-05-06,PE
1m,16,2025-05-06T15:29:00+05:30,0.0001,-4.1312,SENSEX|weekly|2025-05-06,CE
1m,17,2025-05-08T14:51:00+05:30,0.0001,10.0,NIFTY|weekly|2025-05-08,PE
1m,18,2025-05-13T15:11:00+05:30,0.0001,12.233,NIFTY|monthly|2025-05-29,CE
1m,19,2025-05-15T10:31:00+05:30,0.0001,20.0,NIFTY|weekly|2025-05-15,CE
1m,20,2025-05-15T11:36:00+05:30,0.0001,20.0,NIFTY|weekly|2025-05-15,PE
1m,21,2025-05-20T12:48:00+05:30,0.0001,20.0,SENSEX|weekly|2025-05-20,PE
1m,22,2025-05-22T11:27:00+05:30,0.0002,20.0,NIFTY|weekly|2025-05-22,PE
1m,23,2025-05-22T12:24:00+05:30,0.0002,20.0,NIFTY|weekly|2025-05-22,PE
1m,24,2025-05-22T12:49:00+05:30,0.0002,20.0,NIFTY|weekly|2025-05-22,PE
1m,25,2025-05-22T14:19:00+05:30,0.0003,20.0,NIFTY|weekly|2025-05-22,PE
1m,26,2025-05-22T15:29:00+05:30,0.0003,-5.003,NIFTY|weekly|2025-05-22,CE
1m,27,2025-05-29T15:29:00+05:30,0.0,-99.9751,NIFTY|monthly|2025-05-29,PE
1m,28,2025-05-29T15:29:00+05:30,0.0,0.758,NIFTY|monthly|2025-05-29,CE
