symbol,exchange,instrument_type,sector,sector_group,sector20,notes
360ONE,NSE,Equity,Wealth Management,Financial Services,,
ABB,NSE,Equity,Automation,Capital Goods,,
ABCAPITAL,NSE,Equity,NBFC — Diversified,Financial Services,,
ADANIENSOL,NSE,Equity,Transmission,Power & Utilities,,
ADANIENT,NSE,Equity,Conglomerate,Diversified,,
ADANIGREEN,NSE,Equity,Renewables,Power & Utilities,,
ADANIPORTS,NSE,Equity,Ports,Infrastructure,,
ADANIPOWER,NSE,Equity,Generation,Power & Utilities,,
ALKEM,NSE,Equity,Domestic Formulations,Pharmaceuticals,,
AMBER,NSE,Equity,Cooling/Appliances,Consumer Durables,,
AMBUJACEM,NSE,Equity,Large-cap Cement,Cement,,
ANGELONE,NSE,Equity,Broking,Financial Services,,
APLAPOLLO,NSE,Equity,Steel Pipes,Building Materials,,
APOLLOHOSP,NSE,Equity,Hospitals,Healthcare Services,,
ASHOKLEY,NSE,Equity,Commercial Vehicles,Automobiles,,
ASIANPAINT,NSE,Equity,Paints,Consumer Discretionary,,
ASTRAL,NSE,Equity,Pipes/Adhesives,Building Materials,,
ATHERENERG,NSE,Equity,Electric Two-Wheeler,Automobiles,,
AUBANK,NSE,Equity,Private Bank,Banking,,
AUROPHARMA,NSE,Equity,Large-cap Pharma,Pharmaceuticals,,
AXISBANK,NSE,Equity,Private Bank,Banking,,
BAJAJ-AUTO,NSE,Equity,Two-Wheeler,Automobiles,,
BAJAJFINSV,NSE,Equity,NBFC — Diversified,Financial Services,,
BAJAJHLDNG,NSE,Equity,NBFC — Holding,Financial Services,,
BAJFINANCE,NSE,Equity,NBFC — Diversified,Financial Services,,
BANDHANBNK,NSE,Equity,Private Bank,Banking,,
BANKBARODA,NSE,Equity,PSU Bank,Banking,,
BANKINDIA,NSE,Equity,PSU Bank,Banking,,
BDL,NSE,Equity,Missiles/Ammunition,Defence,,
BEL,NSE,Equity,Electronics,Defence,,
BHARATFORG,NSE,Equity,Forgings/Components,Auto Ancillary,,
BHARTIARTL,NSE,Equity,Telecom Services,Telecom,,
BHEL,NSE,Equity,Power Equipment,Capital Goods,,
BIOCON,NSE,Equity,Biosimilars,Pharmaceuticals,,
BLUESTARCO,NSE,Equity,Cooling/Appliances,Consumer Durables,,
BOSCHLTD,NSE,Equity,Components,Auto Ancillary,,
BPCL,NSE,Equity,Refining/Marketing,Oil & Gas,,
BRITANNIA,NSE,Equity,Food & Beverage,FMCG,,
BSE,NSE,Equity,Market Infrastructure,Financial Services,,
CAMS,NSE,Equity,Market Infrastructure,Financial Services,,
CANBK,NSE,Equity,PSU Bank,Banking,,
CDSL,NSE,Equity,Market Infrastructure,Financial Services,,
CGPOWER,NSE,Equity,Power Equipment,Capital Goods,,
CHOLAFIN,NSE,Equity,NBFC — Diversified,Financial Services,,
CIPLA,NSE,Equity,Large-cap Pharma,Pharmaceuticals,,
COALINDIA,NSE,Equity,Coal,Metals & Mining,,
COCHINSHIP,NSE,Equity,Shipbuilding,Defence,,
COFORGE,NSE,Equity,Mid-cap IT,IT Services,,
COLPAL,NSE,Equity,Household/Personal Care,FMCG,,
CONCOR,NSE,Equity,Rail Logistics,Infrastructure,,
CROMPTON,NSE,Equity,Electricals,Consumer Durables,,
CUMMINSIND,NSE,Equity,Engines,Capital Goods,,
DABUR,NSE,Equity,Household/Personal Care,FMCG,,
DELHIVERY,NSE,Equity,Express Logistics,Logistics,,
DIVISLAB,NSE,Equity,API/CDMO,Pharmaceuticals,,
DIXON,NSE,Equity,Electronics Manufacturing,Consumer Durables,,
DLF,NSE,Equity,Developer,Realty,,
DMART,NSE,Equity,Retail,Consumer Discretionary,,
DRREDDY,NSE,Equity,Large-cap Pharma,Pharmaceuticals,,
EICHERMOT,NSE,Equity,Two-Wheeler/CV,Automobiles,,
ETERNAL,NSE,Equity,E-commerce,Consumer Discretionary,,
FEDERALBNK,NSE,Equity,Private Bank,Banking,,
FORCEMOT,NSE,Equity,Commercial Vehicles,Automobiles,,
FORTIS,NSE,Equity,Hospitals,Healthcare Services,,
GAIL,NSE,Equity,Gas Distribution,Oil & Gas,,
GLENMARK,NSE,Equity,Domestic Formulations,Pharmaceuticals,,
GMRAIRPORT,NSE,Equity,Airports,Infrastructure,,
GODFRYPHLP,NSE,Equity,Tobacco/Consumer,FMCG,,
GODREJCP,NSE,Equity,Household/Personal Care,FMCG,,
GODREJPROP,NSE,Equity,Developer,Realty,,
GRASIM,NSE,Equity,Diversified/Cement,Cement,,
GVT&D,NSE,Equity,Power Equipment,Capital Goods,,Assumed GE Vernova T&D India; not independently confirmed.
HAL,NSE,Equity,Aerospace,Defence,,
HAVELLS,NSE,Equity,Electricals,Consumer Durables,,
HCLTECH,NSE,Equity,Large-cap IT,IT Services,,
HDFCAMC,NSE,Equity,AMC,Financial Services,,
HDFCBANK,NSE,Equity,Private Bank,Banking,,
HDFCLIFE,NSE,Equity,Life Insurance,Insurance,,
HEROMOTOCO,NSE,Equity,Two-Wheeler,Automobiles,,
HINDALCO,NSE,Equity,Aluminium,Metals & Mining,,
HINDPETRO,NSE,Equity,Refining/Marketing,Oil & Gas,,
HINDUNILVR,NSE,Equity,Household/Personal Care,FMCG,,
HINDZINC,NSE,Equity,Zinc,Metals & Mining,,
HYUNDAI,NSE,Equity,Passenger Vehicles,Automobiles,,
ICICIBANK,NSE,Equity,Private Bank,Banking,,
ICICIGI,NSE,Equity,General Insurance,Insurance,,
ICICIPRULI,NSE,Equity,Life Insurance,Insurance,,
IDEA,NSE,Equity,Telecom Services,Telecom,,
IDFCFIRSTB,NSE,Equity,Private Bank,Banking,,
IEX,NSE,Equity,Market Infrastructure,Financial Services,,
INDHOTEL,NSE,Equity,Hotels,Consumer Discretionary,,
INDIANB,NSE,Equity,PSU Bank,Banking,,
INDIGO,NSE,Equity,Airlines,Aviation,,
INDUSINDBK,NSE,Equity,Private Bank,Banking,,
INDUSTOWER,NSE,Equity,Telecom Infrastructure,Telecom,,
INFY,NSE,Equity,Large-cap IT,IT Services,,
INOXWIND,NSE,Equity,Wind Equipment,Power & Utilities,,
IOC,NSE,Equity,Refining/Marketing,Oil & Gas,,
IREDA,NSE,Equity,NBFC — Infra/Green,Financial Services,,
IRFC,NSE,Equity,NBFC — Rail Finance,Financial Services,,
ITC,NSE,Equity,Diversified FMCG,FMCG,,
JINDALSTEL,NSE,Equity,Steel,Metals & Mining,,
JIOFIN,NSE,Equity,NBFC — Diversified,Financial Services,,
JSWENERGY,NSE,Equity,Generation,Power & Utilities,,
JSWSTEEL,NSE,Equity,Steel,Metals & Mining,,
JUBLFOOD,NSE,Equity,QSR,Consumer Discretionary,,
KALYANKJIL,NSE,Equity,Jewellery/Retail,Consumer Discretionary,,
KAYNES,NSE,Equity,Electronics Manufacturing,Capital Goods,,
KEI,NSE,Equity,Wires & Cables,Consumer Durables,,
KFINTECH,NSE,Equity,Market Infrastructure,Financial Services,,
KOTAKBANK,NSE,Equity,Private Bank,Banking,,
KPITTECH,NSE,Equity,Auto-Tech,IT Services,,
LAURUSLABS,NSE,Equity,API/CDMO,Pharmaceuticals,,
LICHSGFIN,NSE,Equity,Housing Finance,Financial Services,,
LICI,NSE,Equity,Life Insurance,Insurance,,
LODHA,NSE,Equity,Developer,Realty,,
LT,NSE,Equity,Diversified Engineering,Capital Goods,,
LTF,NSE,Equity,NBFC — Diversified,Financial Services,,
LTM,NSE,Equity,Mid-cap IT,IT Services,,
LUPIN,NSE,Equity,Large-cap Pharma,Pharmaceuticals,,
M&M,NSE,Equity,UV/Tractor,Automobiles,,
MAHABANK,NSE,Equity,PSU Bank,Banking,,
MANAPPURAM,NSE,Equity,NBFC — Gold Loan,Financial Services,,
MANKIND,NSE,Equity,Domestic Formulations,Pharmaceuticals,,
MARICO,NSE,Equity,Household/Personal Care,FMCG,,
MARUTI,NSE,Equity,Passenger Vehicles,Automobiles,,
MAXHEALTH,NSE,Equity,Hospitals,Healthcare Services,,
MAZDOCK,NSE,Equity,Shipbuilding,Defence,,
MCX,NSE,Equity,Market Infrastructure,Financial Services,,
MFSL,NSE,Equity,NBFC — Diversified,Financial Services,,
MOTHERSON,NSE,Equity,Components,Auto Ancillary,,
MOTILALOFS,NSE,Equity,Broking/AMC,Financial Services,,
MPHASIS,NSE,Equity,Mid-cap IT,IT Services,,
MUTHOOTFIN,NSE,Equity,NBFC — Gold Loan,Financial Services,,
NAM-INDIA,NSE,Equity,AMC,Financial Services,,
NATIONALUM,NSE,Equity,Aluminium,Metals & Mining,,
NAUKRI,NSE,Equity,Internet Platform,IT Services,,
NBCC,NSE,Equity,Construction/PSU,Realty,,
NESTLEIND,NSE,Equity,Food & Beverage,FMCG,,
NHPC,NSE,Equity,Hydro Generation,Power & Utilities,,
NMDC,NSE,Equity,Iron Ore,Metals & Mining,,
NTPC,NSE,Equity,Generation,Power & Utilities,,
NYKAA,NSE,Equity,E-commerce,Consumer Discretionary,,
OBEROIRLTY,NSE,Equity,Developer,Realty,,
OFSS,NSE,Equity,Product/Vertical IT,IT Services,,
OIL,NSE,Equity,Upstream,Oil & Gas,,
ONGC,NSE,Equity,Upstream,Oil & Gas,,
PAGEIND,NSE,Equity,Apparel,Consumer Discretionary,,
PATANJALI,NSE,Equity,Household/Personal Care,FMCG,,
PAYTM,NSE,Equity,Fintech/Payments,Financial Services,,
PERSISTENT,NSE,Equity,Mid-cap IT,IT Services,,
PETRONET,NSE,Equity,LNG,Oil & Gas,,
PFC,NSE,Equity,NBFC — Power Finance,Financial Services,,
PGEL,NSE,Equity,Electronics,Consumer Durables,,
PHOENIXLTD,NSE,Equity,Retail/Commercial,Realty,,
PIDILITIND,NSE,Equity,Specialty/Adhesives,Chemicals,,
