dt,360ONE,ABB,ABCAPITAL,ADANIENSOL,ADANIENT,ADANIGREEN,ADANIPORTS,ADANIPOWER,ALKEM,AMBER,AMBUJACEM,ANGELONE,APLAPOLLO,APOLLOHOSP,ASHOKLEY,ASIANPAINT,ASTRAL,AUBANK,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJAJHLDNG,BAJFINANCE,BANDHANBNK,BANKBARODA,BANKINDIA,BDL,BEL,BHARATFORG,BHARTIARTL,BHEL,BIOCON,BLUESTARCO,BOSCHLTD,BPCL,BRITANNIA,BSE,CAMS,CANBK,CDSL,CGPOWER,CHOLAFIN,CIPLA,COALINDIA,COCHINSHIP,COFORGE,COLPAL,CONCOR,CROMPTON,CUMMINSIND,DABUR,DELHIVERY,DIVISLAB,DIXON,DLF,DMART,DRREDDY,EICHERMOT,ETERNAL,FEDERALBNK,FORCEMOT,FORTIS,GAIL,GLENMARK,GMRAIRPORT,GODFRYPHLP,GODREJCP,GODREJPROP,GRASIM,GVT&D,HAL,HAVELLS,HCLTECH,HDFCAMC,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HINDZINC,HYUNDAI,ICICIBANK,ICICIGI,ICICIPRULI,IDEA,IDFCFIRSTB,IEX,INDHOTEL,INDIANB,INDIGO,INDUSINDBK,INDUSTOWER,INFY,INOXWIND,IOC,IREDA,IRFC,ITC,JINDALSTEL,JIOFIN,JSWENERGY,JSWSTEEL,JUBLFOOD,KALYANKJIL,KAYNES,KEI,KFINTECH,KOTAKBANK,KPITTECH,LAURUSLABS,LICHSGFIN,LICI,LODHA,LT,LTF,LTM,LUPIN,M&M,MANAPPURAM,MANKIND,MARICO,MARUTI,MAXHEALTH,MAZDOCK,MCX,MFSL,MOTHERSON,MOTILALOFS,MPHASIS,MUTHOOTFIN,NAM-INDIA,NATIONALUM,NAUKRI,NBCC,NESTLEIND,NHPC,NMDC,NTPC,NYKAA,OBEROIRLTY,OFSS,OIL,ONGC,PAGEIND,PATANJALI,PAYTM,PERSISTENT,PETRONET,PFC,PGEL,PHOENIXLTD,PIDILITIND,PIIND,PNB,PNBHOUSING,POLICYBZR,POLYCAB,POWERGRID,POWERINDIA,PREMIERENE,PRESTIGE,RADICO,RBLBANK,RECLTD,RELIANCE,RVNL,SAIL,SBICARD,SBILIFE,SBIN,SHREECEM,SHRIRAMFIN,SIEMENS,SOLARINDS,SONACOMS,SRF,SUNPHARMA,SUPREMEIND,SUZLON,SWIGGY,TATACONSUM,TATAELXSI,TATAPOWER,TATASTEEL,TCS,TECHM,TIINDIA,TITAN,TMPV,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,UNITDSPR,UNOMINDA,UPL,VBL,VEDL,VMM,VOLTAS,WAAREEENER,WIPRO,YESBANK,ZYDUSLIFE
2026-06-08,1052.2,6920.0,342.55,1564.4,2960.2,1488.9,1794.6,225.0,5370.5,7695.0,411.35,323.95,1812.6,8345.0,141.01,2655.1,1505.0,955.3,1446.0,1267.3,10180.0,1665.7,9825.0,869.25,202.62,259.55,139.58,1184.0,412.3,1895.0,1820.1,385.0,407.85,1555.0,36545.0,284.75,5059.0,3906.3,737.9,131.6,1189.0,897.95,1451.0,1386.3,464.55,1402.0,1421.0,2002.8,,256.0,5564.0,419.65,437.35,6506.5,11371.0,559.0,4041.0,1275.0,7031.0,247.15,304.2,17193.0,985.5,168.0,2160.2,100.2,2176.0,994.5,1648.9,3060.3,4746.0,4230.0,1135.0,1151.8,2441.0,738.0,563.0,4769.2,1053.0,372.2,2109.0,556.0,1897.3,1250.0,1738.1,474.0,14.35,71.22,118.39,652.0,840.0,4375.0,895.5,425.65,1187.0,84.1,135.41,119.9,94.85,280.0,1152.9,228.19,565.0,1258.0,412.2,353.15,3030.0,5139.5,833.0,376.85,752.0,1394.0,539.75,396.0,871.0,3870.5,260.15,3976.1,2248.0,2970.0,297.3,2355.0,804.85,12875.0,1006.05,2379.6,2810.0,1588.9,138.2,816.9,2330.0,2953.0,1050.2,376.3,998.5,103.08,1399.9,73.3,89.21,361.5,257.9,1594.4,9704.0,480.0,264.7,38425.0,420.0,1033.8,5048.0,267.85,428.0,467.65,1722.1,1454.1,2685.2,105.4,968.6,1510.9,9450.0,290.0,34705.0,1083.0,1325.0,3461.5,344.6,342.5,1262.8,227.5,183.2,575.0,1768.0,980.0,23505.0,894.3,3576.0,18047.0,587.0,2662.1,1791.7,3492.8,54.2,240.7,1105.9,4237.3,403.45,201.6,2149.4,1498.0,3031.0,4187.0,389.0,4410.0,2715.0,3315.0,10760.0,164.7,1235.0,1051.0,623.0,519.05,303.0,116.29,1270.0,3001.8,181.6,22.98,1087.0
2026-06-09,1080.0,6931.0,351.05,1571.0,2973.6,1532.0,1825.4,226.1,5322.5,7730.0,415.25,338.95,1799.0,8530.0,144.2,2707.0,1531.0,980.0,1440.0,1294.4,10200.0,1689.2,10220.0,886.9,208.24,273.5,147.6,1206.8,412.55,1920.1,1798.0,395.8,417.2,1571.1,37820.0,288.9,5122.5,3998.0,751.5,137.8,1213.7,911.0,1499.8,1374.0,466.15,1445.0,1410.0,2021.9,,260.2,5641.0,427.0,439.0,6757.0,11616.0,574.6,4078.4,1270.3,7185.0,245.45,315.7,17785.0,986.4,167.62,2204.4,102.6,2270.0,1012.5,1683.0,3096.0,4939.0,4270.8,1150.1,1148.3,2502.8,739.7,560.0,4850.0,1074.0,382.65,2134.9,564.8,1894.0,1276.0,1772.0,474.65,14.21,73.7,120.5,666.05,877.0,4531.7,925.0,419.6,1181.7,86.02,138.28,122.51,96.02,280.0,1148.0,234.2,570.85,1259.1,423.0,355.3,3079.0,5276.5,843.9,382.15,756.0,1419.0,552.0,403.1,889.85,3904.0,266.25,4007.1,2263.0,2997.9,308.0,2393.0,813.5,13119.0,1003.0,2441.0,2827.0,1600.5,143.6,867.5,2336.0,3000.9,1085.0,385.0,982.0,106.01,1409.9,73.9,90.09,355.95,266.95,1639.0,9661.0,476.0,259.55,38940.0,422.35,1073.0,5023.0,268.4,435.7,480.0,1750.1,1485.0,2865.5,109.9,987.0,1506.0,9644.5,285.5,34650.0,1085.0,1346.6,3501.2,361.5,352.0,1272.3,234.3,186.0,585.55,1768.0,1004.1,23390.0,912.1,3619.5,18250.0,599.5,2688.1,1780.0,3498.8,55.12,250.0,1106.9,4260.5,397.85,203.49,2152.0,1486.5,3118.0,4100.0,387.9,4466.1,2766.6,3358.0,10925.0,170.28,1253.6,1091.0,630.5,528.8,306.45,118.0,1300.5,3041.3,181.9,23.38,1103.4
2026-06-10,1054.6,6800.0,344.05,1536.1,2940.0,1486.0,1820.0,220.6,5286.5,7649.5,409.2,330.4,1763.9,8480.0,141.49,2700.0,1503.0,958.5,1460.0,1314.0,10130.0,1663.0,10050.0,885.05,200.59,269.0,144.71,1185.5,408.15,1957.7,1776.9,377.3,414.95,1577.4,37800.0,288.6,5160.0,3935.0,740.95,133.3,1200.5,908.0,1473.7,1375.6,451.3,1405.0,1400.8,2058.3,,255.2,5620.0,426.9,432.0,6665.0,11470.0,564.6,4050.0,1272.0,7205.0,239.85,311.4,17340.0,983.15,168.2,2146.0,101.01,2232.9,1029.0,1643.0,3077.3,4870.0,4220.0,1155.2,1130.9,2446.5,747.8,550.1,4860.0,1040.0,374.7,2172.3,548.3,1897.0,1293.0,1735.0,466.5,13.87,73.15,118.85,667.7,838.0,4525.0,885.0,411.5,1144.0,82.75,136.89,120.5,94.65,283.3,1120.8,230.5,565.75,1277.2,425.0,338.2,3075.5,5179.0,818.0,388.0,733.6,1389.1,542.0,395.6,862.0,3931.0,260.95,3948.8,2247.9,2952.9,289.4,2373.6,822.0,13072.0,1008.0,2365.0,2748.0,1599.9,142.0,843.2,2299.0,2913.0,1064.0,377.25,967.6,103.27,1437.9,72.8,88.57,351.55,262.0,1590.0,9494.5,430.95,251.9,37980.0,418.3,1068.6,4925.0,268.4,430.55,465.0,1763.9,1508.0,2804.5,107.2,970.9,1515.0,9540.0,287.05,33375.0,1069.0,1322.6,3478.2,358.25,348.45,1258.7,228.29,181.98,579.15,1728.0,1000.85,23780.0,897.75,3555.1,17655.0,588.3,2739.9,1787.1,3475.0,54.0,241.7,1111.0,4092.6,394.85,198.75,2151.8,1479.0,3062.0,4041.0,380.4,4455.0,2751.0,3335.0,10860.0,166.48,1263.0,1074.5,610.3,527.8,300.0,118.85,1292.0,3019.0,178.64,22.64,1097.0
2026-06-11,1063.0,6735.5,338.45,1468.0,2913.4,1458.2,1792.1,216.6,5305.0,7292.5,406.5,324.15,1767.0,8521.0,139.01,2690.0,1493.7,968.25,1466.0,1317.0,10125.0,1648.0,9872.0,872.0,194.1,267.45,141.73,1158.0,403.0,1948.0,1786.8,371.0,416.5,1559.0,37545.0,286.9,5130.0,3895.1,725.0,131.97,1192.0,903.2,1465.0,1385.8,446.0,1385.0,1396.0,2034.9,,255.0,5569.0,423.0,431.65,6676.0,11382.0,564.25,3999.0,1277.7,7182.0,236.0,310.8,17125.0,989.9,166.04,2149.0,100.0,2202.9,1008.8,1624.0,3090.0,4761.0,4167.1,1136.0,1113.9,2398.9,745.3,545.0,4839.3,1025.9,367.2,2141.0,545.9,1937.4,1313.9,1720.0,460.5,14.23,73.16,117.3,657.15,827.1,4496.5,891.6,413.95,1119.5,81.35,134.6,118.4,93.45,282.65,1125.0,228.2,554.4,1280.0,415.0,331.25,3033.9,5173.0,805.9,392.6,739.2,1393.0,538.0,393.4,868.0,3871.7,257.6,3842.0,2274.0,3006.7,291.8,2375.1,810.6,13134.0,1010.8,2349.0,2794.0,1569.8,140.99,832.85,2283.8,2898.0,1049.0,372.05,964.95,100.7,1420.0,72.25,88.75,352.0,260.3,1592.3,9293.0,430.0,252.5,37800.0,418.5,1025.6,4885.0,263.2,414.35,460.45,1742.0,1501.0,2806.6,106.43,961.0,1509.0,9366.0,287.0,33315.0,1062.6,1325.0,3450.0,359.4,337.2,1264.5,222.8,182.4,569.0,1740.0,1001.1,23740.0,889.05,3528.0,17129.0,586.7,2654.9,1799.0,3437.9,53.4,240.2,1108.3,4010.0,390.9,198.4,2136.7,1467.0,2981.1,4031.0,376.3,4588.3,2721.0,3291.8,10850.0,164.7,1257.4,1071.0,594.9,520.0,306.0,117.85,1280.8,3010.1,177.5,22.26,1108.0
2026-06-12,1094.0,6781.0,356.95,1484.0,2935.0,1482.1,1809.4,222.2,5298.5,7459.5,423.9,339.5,1820.0,8500.0,152.2,2740.1,1503.1,1017.8,1468.0,1353.0,10074.0,1691.9,10199.0,920.0,205.98,274.5,145.7,1202.0,407.8,1938.6,1825.0,377.75,417.25,1581.9,39080.0,302.5,5174.0,4048.0,759.5,131.6,1228.0,914.0,1566.3,1386.0,444.75,1424.5,1370.0,2081.4,,255.9,5623.0,426.5,438.5,6633.0,11553.0,587.8,3998.0,1272.9,7300.0,244.05,315.0,17855.0,988.5,170.5,2165.7,103.8,2295.0,1035.5,1694.2,3102.1,4895.0,4192.0,1155.1,1110.0,2459.0,771.95,557.15,4960.0,1021.8,389.7,2162.7,558.85,1990.1,1340.0,1701.0,468.5,14.88,77.0,121.03,679.5,845.1,4705.0,916.5,420.5,1118.5,88.02,141.2,122.2,96.0,285.7,1147.5,236.33,559.7,1299.0,419.1,345.2,3082.0,5374.0,827.5,404.0,750.2,1391.8,559.0,398.65,898.9,4050.0,275.75,3850.7,2290.1,3039.9,305.0,2379.4,817.0,13350.0,1014.5,2412.0,2855.0,1572.0,143.05,888.9,2277.0,3046.0,1090.0,376.0,974.0,104.91,1376.5,73.74,90.72,354.4,272.9,1629.6,9365.0,419.2,246.95,38560.0,426.8,1066.0,4822.0,274.6,421.0,482.95,1751.1,1529.8,2846.6,107.1,990.0,1542.6,9543.5,284.95,34350.0,1034.6,1387.9,3540.0,366.9,347.4,1296.4,233.9,183.6,587.0,1705.2,1016.4,24190.0,958.0,3568.0,17170.0,591.85,2724.7,1807.0,3500.0,55.1,250.75,1100.7,4075.0,394.75,197.83,2161.1,1433.1,3166.4,4179.0,391.0,4576.0,2756.0,3315.0,11110.0,169.95,1272.5,1057.7,610.7,521.4,309.45,119.65,1283.6,3034.0,180.23,23.01,1103.0
2026-06-15,1132.7,6947.5,366.55,1490.0,2938.0,1482.0,1809.0,220.5,5339.0,7611.0,427.0,352.0,1838.0,8490.0,157.5,2730.0,1543.3,1031.95,1403.5,1365.1,9936.0,1749.8,10255.0,940.95,210.35,276.35,146.45,1211.0,409.65,2020.0,1843.0,382.8,416.5,1613.0,39020.0,311.0,5180.0,4127.0,778.1,132.36,1266.0,938.1,1655.0,1382.1,447.5,1411.6,1403.9,2061.5,,266.0,5755.0,428.9,452.0,6612.5,11925.0,615.5,4101.2,1279.0,7639.0,251.35,316.7,18460.0,979.55,175.91,2160.9,106.6,2239.5,1032.0,1769.0,3170.0,4822.5,4290.0,1167.1,1122.3,2617.0,777.45,581.55,5020.0,1013.4,402.3,2155.9,563.0,2032.7,1328.0,1739.9,484.45,14.92,78.3,123.0,691.9,850.0,4888.9,933.35,413.0,1135.6,89.73,144.31,125.04,97.0,288.15,1149.0,239.4,565.0,1297.3,422.5,382.5,3078.0,5461.0,847.95,404.85,756.9,1391.0,552.4,406.1,920.05,4171.0,293.0,3899.0,2270.1,3136.0,318.0,2388.4,808.95,13806.0,1030.0,2442.5,2893.0,1624.0,148.05,939.4,2310.0,3161.0,1142.0,383.3,986.9,107.35,1375.4,74.46,88.47,348.3,272.4,1673.4,9382.5,417.65,243.45,39055.0,424.55,1120.7,4892.0,287.0,424.7,491.45,1860.0,1571.9,2835.0,107.95,1018.0,1581.0,9555.0,285.6,34725.0,1044.8,1467.3,3587.6,373.3,352.35,1306.5,239.7,181.96,599.8,1765.0,1021.0,24825.0,998.95,3599.1,17341.0,595.0,2728.8,1804.1,3552.0,55.74,257.55,1099.2,4075.0,403.0,197.5,2162.6,1426.9,3240.0,4285.0,396.5,4529.0,2901.7,3464.9,11468.0,171.4,1272.0,1128.0,616.05,540.0,302.0,120.6,1329.1,3052.5,181.12,23.67,1087.1
2026-06-16,1132.0,7010.0,372.8,1492.0,2943.8,1481.7,1821.0,222.2,5347.0,7776.5,425.0,348.9,1835.0,8400.0,158.5,2750.0,1560.0,1022.05,1402.0,1363.4,9945.0,1787.0,10453.0,959.5,216.75,275.4,145.65,1235.0,407.85,2011.0,1857.0,383.7,416.5,1625.0,39140.0,311.8,5217.5,4164.6,792.0,132.9,1264.0,939.45,1679.2,1375.2,451.0,1432.8,1466.9,2097.8,,265.0,5724.5,435.5,451.0,6730.0,12240.0,632.0,4201.6,1277.5,7552.0,253.55,320.25,18406.0,969.4,176.16,2158.0,107.47,2243.0,1036.7,1794.1,3143.9,4870.5,4260.0,1180.5,1160.5,2657.9,784.75,575.2,5029.0,984.0,402.0,2197.0,563.4,1975.0,1335.5,1789.7,490.0,14.62,77.72,123.8,693.8,853.0,4840.0,928.95,413.0,1145.0,90.99,145.12,126.2,97.67,291.85,1142.0,241.89,562.0,1275.0,423.0,378.8,3170.1,5391.0,863.0,407.95,759.25,1377.1,550.9,410.8,937.65,4182.0,293.5,4007.1,2272.6,3137.0,317.85,2362.6,811.0,13687.0,1025.4,2467.0,2889.7,1612.0,147.25,946.55,2323.0,3160.4,1141.0,366.8,997.9,109.11,1390.0,74.7,88.08,355.9,272.1,1707.7,9500.0,420.0,248.2,39075.0,425.75,1109.4,5019.0,290.0,427.5,527.6,1863.8,1572.0,2883.0,108.0,1020.1,1589.0,9600.0,285.2,34750.0,1053.5,1520.0,3575.0,369.85,356.2,1328.6,241.05,180.31,622.0,1766.0,1016.05,24950.0,1006.4,3638.0,16895.0,596.05,2752.8,1805.0,3565.1,57.93,260.4,1130.0,4123.0,401.55,196.08,2197.9,1450.0,3255.0,4335.0,393.15,4467.9,2898.0,3438.0,11395.0,170.2,1298.0,1088.7,614.8,541.2,300.5,117.1,1326.3,3062.8,182.58,23.88,1080.8
2026-06-17,1135.4,7154.0,372.75,1489.8,2948.9,1466.6,1825.0,220.3,5340.0,7860.0,426.3,348.55,1857.5,8425.0,159.55,2735.7,1570.0,1024.3,1419.2,1351.9,10024.0,1765.0,10519.0,958.5,213.4,282.0,147.1,1312.0,422.0,2033.1,1874.2,392.2,411.6,1696.0,39095.0,317.6,5230.5,4004.0,807.0,135.2,1290.1,964.0,1681.4,1350.2,455.95,1512.0,1468.0,2030.0,,276.0,5825.5,428.5,452.7,6659.5,12840.0,623.8,4300.0,1269.0,7510.0,257.85,322.2,18670.0,950.0,174.98,2138.4,109.09,2247.0,1021.3,1788.0,3160.8,5130.0,4484.0,1198.7,1165.0,2713.0,787.0,582.9,5021.0,1008.9,402.3,2199.3,572.0,1976.4,1336.5,1797.0,502.95,14.9,77.27,124.11,700.0,875.9,4885.0,934.1,414.3,1156.0,91.0,145.48,126.7,100.43,290.9,1134.2,242.86,571.8,1286.8,423.1,382.2,3249.0,5641.0,898.0,404.0,751.4,1368.0,551.0,418.0,913.8,4205.0,294.25,3991.0,2276.5,3132.0,318.9,2369.3,805.9,13633.0,1029.4,2561.0,2856.0,1633.2,144.79,943.0,2340.0,3175.0,1154.4,372.0,1015.85,113.01,1406.0,74.44,88.05,355.5,282.15,1697.0,9428.5,417.75,245.45,39300.0,418.9,1116.6,5041.0,292.8,432.25,545.0,1872.0,1579.0,2833.2,108.91,1004.3,1622.0,9920.0,286.1,35920.0,1058.0,1517.2,3561.0,368.9,358.9,1332.1,245.6,179.77,624.55,1801.9,1026.5,24990.0,1005.0,3722.0,17597.0,603.1,2715.0,1821.0,3530.0,59.23,259.6,1123.9,4089.9,401.35,198.83,2221.0,1457.6,3266.9,4386.0,361.7,4445.0,3108.0,3443.0,11380.0,173.66,1308.6,1090.0,613.8,544.25,306.1,119.06,1350.9,3078.0,184.3,25.14,1063.0
2026-06-18,1140.2,7244.0,370.75,1535.8,3032.0,1517.0,1845.1,231.9,5380.0,7948.5,432.65,353.8,1863.7,8415.0,158.12,2752.9,1564.9,1025.85,1446.0,1358.5,10096.0,1770.8,10690.0,958.7,214.6,282.85,147.93,1310.1,428.1,2017.2,1874.2,405.0,414.4,1704.3,39990.0,316.25,5227.5,4017.0,832.5,135.0,1351.9,953.0,1688.6,1358.5,452.3,1469.9,1480.4,2022.8,,277.0,5853.0,428.0,457.5,6768.0,12667.0,642.0,4306.0,1272.0,7593.5,258.9,321.3,18640.0,959.0,176.0,2154.9,110.36,2268.0,1008.4,1811.0,3142.9,5241.0,4420.0,1194.5,1159.6,2730.1,800.8,591.2,5030.0,1012.0,401.75,2213.5,572.0,1975.0,1341.5,1840.0,523.1,15.06,78.01,123.58,711.5,874.65,5014.0,939.05,415.25,1127.4,89.33,146.3,128.28,100.05,290.95,1134.0,244.65,575.0,1296.0,423.15,382.5,3385.0,5625.0,908.5,403.0,746.0,1374.0,548.55,430.55,923.0,4196.0,287.0,3987.0,2330.1,3116.5,321.6,2409.9,820.0,13505.0,1092.45,2530.0,2820.8,1686.9,144.65,946.35,2334.0,3171.9,1172.0,367.6,1007.95,109.94,1400.0,75.9,88.48,362.0,298.0,1691.7,9430.0,420.5,245.45,40225.0,422.0,1093.8,4940.0,287.65,429.95,562.0,1857.0,1580.0,2848.0,109.5,1001.1,1626.7,9940.5,289.2,36215.0,1059.0,1530.0,3675.5,370.1,357.9,1331.0,247.0,182.15,624.9,1807.4,1042.5,25445.0,1006.5,3746.1,17770.0,605.4,2702.2,1826.5,3538.5,58.38,256.4,1111.0,4109.8,402.9,200.5,2202.5,1447.8,3248.0,4389.0,364.55,4443.5,3182.0,3456.9,11444.0,176.25,1352.6,1098.8,610.05,532.35,306.0,117.98,1358.2,3070.0,182.95,25.48,1074.0
2026-06-19,1149.1,7234.0,373.4,1510.6,3030.0,1506.0,1836.8,231.7,5381.0,7870.0,424.6,353.2,1872.5,8486.0,156.75,2736.0,1544.8,1034.45,1499.5,1360.1,10080.0,1768.3,10695.0,965.0,207.9,281.0,146.46,1372.0,427.0,2036.0,1906.9,417.0,415.6,1670.0,40265.0,306.9,5198.0,4024.8,823.95,133.67,1370.0,962.5,1692.7,1353.0,452.05,1463.0,1468.0,2002.0,,276.0,5860.5,424.4,461.75,6749.5,12571.0,625.0,4297.6,1267.1,7649.0,263.85,324.0,18700.0,963.1,174.1,2204.9,108.5,2290.0,1003.0,1799.9,3158.0,5485.0,4397.0,1179.8,1135.9,2717.9,781.0,593.8,4984.9,1014.2,392.75,2202.0,563.45,1979.2,1347.8,1877.0,503.3,14.89,78.6,123.2,722.3,870.05,5022.0,943.95,410.95,1054.2,91.25,143.58,127.43,99.74,293.9,1141.8,244.56,571.6,1295.0,418.6,384.0,3268.0,5630.0,915.1,399.5,765.0,1411.2,550.35,441.5,921.5,4210.0,286.75,3840.0,2352.3,3079.7,318.6,2418.0,818.45,13422.0,1097.0,2525.0,2804.5,1675.6,144.95,954.95,2268.0,3124.5,1187.0,376.0,984.5,111.79,1417.5,75.82,88.58,365.75,302.4,1688.5,9669.0,417.95,246.45,40000.0,421.0,1091.4,4837.0,288.25,430.5,562.5,1877.0,1580.0,2812.3,108.74,1004.1,1642.0,10105.0,292.6,36740.0,1078.6,1500.5,3765.0,379.85,355.65,1311.5,244.31,180.0,618.8,1804.9,1036.0,25100.0,1001.0,3762.8,18060.0,614.7,2712.0,1840.4,3535.0,59.3,253.9,1113.0,4084.5,403.0,199.28,2135.9,1414.0,3290.0,4411.0,359.4,4424.3,3203.6,3460.0,11375.0,175.85,1322.0,1112.0,608.85,530.0,300.7,119.0,1349.2,3126.1,180.5,25.42,1072.2
